method,query_id,k,n_retrieved,n_judged,n_unjudged,n_explicit_minus1,judged_fraction,hole_fraction
bm25,46,100,100,81,19,0,0.81,0.19
bm25,47,100,100,61,39,0,0.61,0.39
bm25,48,100,100,60,40,0,0.6,0.4
bm25,49,100,100,77,23,0,0.77,0.23
bm25,50,100,100,76,24,0,0.76,0.24
bm25,1,1000,1000,319,681,0,0.319,0.681
bm25,2,1000,1000,207,793,0,0.207,0.793
bm25,3,1000,1000,410,590,0,0.41,0.59
bm25,4,1000,1000,290,710,0,0.29,0.71
bm25,5,1000,1000,422,578,0,0.422,0.578
bm25,6,1000,1000,381,619,0,0.381,0.619
bm25,7,1000,1000,501,499,0,0.501,0.499
bm25,8,1000,1000,261,739,0,0.261,0.739
bm25,9,1000,1000,266,734,0,0.266,0.734
bm25,10,1000,1000,429,571,0,0.429,0.571
bm25,11,1000,1000,356,644,0,0.356,0.644
bm25,12,1000,1000,317,683,0,0.317,0.683
bm25,13,1000,1000,366,634,0,0.366,0.634
bm25,14,1000,1000,226,774,0,0.226,0.774
bm25,15,1000,1000,236,764,0,0.236,0.764
bm25,16,1000,1000,274,726,0,0.274,0.726
bm25,17,1000,1000,403,597,0,0.403,0.597
bm25,18,1000,1000,420,580,0,0.42,0.58
bm25,19,1000,1000,275,725,0,0.275,0.725
bm25,20,1000,1000,467,533,0,0.467,0.533
bm25,21,1000,1000,331,669,0,0.331,0.669
bm25,22,1000,1000,305,695,0,0.305,0.695
bm25,23,1000,1000,262,738,0,0.262,0.738
bm25,24,1000,1000,317,683,0,0.317,0.683
bm25,25,1000,1000,348,652,0,0.348,0.652
bm25,26,1000,1000,334,666,0,0.334,0.666
bm25,27,1000,1000,413,587,0,0.413,0.587
bm25,28,1000,1000,359,641,0,0.359,0.641
bm25,29,1000,1000,479,521,0,0.479,0.521
bm25,30,1000,1000,305,695,0,0.305,0.695
bm25,31,1000,1000,434,566,0,0.434,0.566
bm25,32,1000,1000,242,758,0,0.242,0.758
bm25,33,1000,1000,426,574,0,0.426,0.574
bm25,34,1000,1000,227,773,0,0.227,0.773
bm25,35,1000,1000,350,650,0,0.35,0.65
bm25,36,1000,1000,568,432,0,0.568,0.432
bm25,37,1000,1000,569,431,0,0.569,0.431
bm25,38,1000,1000,513,487,0,0.513,0.487
bm25,39,1000,1000,580,420,0,0.58,0.42
bm25,40,1000,1000,553,447,0,0.553,0.447
bm25,41,1000,1000,291,709,0,0.291,0.709
bm25,42,1000,1000,265,735,0,0.265,0.735
bm25,43,1000,1000,292,708,0,0.292,0.708
bm25,44,1000,1000,412,588,0,0.412,0.588
bm25,45,1000,1000,556,444,0,0.556,0.444
bm25,46,1000,1000,218,782,0,0.218,0.782
bm25,47,1000,1000,348,652,0,0.348,0.652
bm25,48,1000,1000,266,734,0,0.266,0.734
bm25,49,1000,1000,322,678,0,0.322,0.678
bm25,50,1000,1000,359,641,0,0.359,0.641
mpnet,1,20,20,13,7,0,0.65,0.35
mpnet,2,20,20,15,5,0,0.75,0.25
mpnet,3,20,20,14,6,0,0.7,0.3
mpnet,4,20,20,14,6,0,0.7,0.3
mpnet,5,20,20,9,11,0,0.45,0.55
mpnet,6,20,20,16,4,0,0.8,0.2
mpnet,7,20,20,16,4,0,0.8,0.2
mpnet,8,20,20,14,6,0,0.7,0.3
mpnet,9,20,20,16,4,0,0.8,0.2
mpnet,10,20,20,20,0,0,1,0
mpnet,11,20,20,11,9,0,0.55,0.45
mpnet,12,20,20,8,12,0,0.4,0.6
mpnet,13,20,20,8,12,0,0.4,0.6
mpnet,14,20,20,14,6,0,0.7,0.3
mpnet,15,20,20,11,9,0,0.55,0.45
mpnet,16,20,20,19,1,0,0.95,0.05
mpnet,17,20,20,14,6,0,0.7,0.3
mpnet,18,20,20,17,3,0,0.85,0.15
mpnet,19,20,20,18,2,0,0.9,0.1
mpnet,20,20,20,19,1,0,0.95,0.05
mpnet,21,20,20,10,10,0,0.5,0.5
mpnet,22,20,20,16,4,0,0.8,0.2
mpnet,23,20,20,18,2,0,0.9,0.1
mpnet,24,20,20,15,5,0,0.75,0.25
mpnet,25,20,20,12,8,0,0.6,0.4
mpnet,26,20,20,10,10,0,0.5,0.5
mpnet,27,20,20,18,2,0,0.9,0.1
mpnet,28,20,20,16,4,0,0.8,0.2
mpnet,29,20,20,15,5,0,0.75,0.25
mpnet,30,20,20,19,1,0,0.95,0.05
mpnet,31,20,20,14,6,0,0.7,0.3
mpnet,32,20,20,4,16,0,0.2,0.8
mpnet,33,20,20,16,4,0,0.8,0.2
mpnet,34,20,20,13,7,0,0.65,0.35
mpnet,35,20,20,17,3,0,0.85,0.15
mpnet,36,20,20,19,1,0,0.95,0.05
mpnet,37,20,20,20,0,0,1,0
mpnet,38,20,20,15,5,0,0.75,0.25
mpnet,39,20,20,20,0,0,1,0
mpnet,40,20,20,20,0,0,1,0
mpnet,41,20,20,20,0,0,1,0
mpnet,42,20,20,20,0,0,1,0
mpnet,43,20,20,18,2,0,0.9,0.1
mpnet,44,20,20,20,0,0,1,0
mpnet,45,20,20,15,5,0,0.75,0.25
mpnet,46,20,20,19,1,0,0.95,0.05
mpnet,47,20,20,16,4,0,0.8,0.2
mpnet,48,20,20,20,0,0,1,0
mpnet,49,20,20,17,3,0,0.85,0.15
mpnet,50,20,20,16,4,0,0.8,0.2
mpnet,1,50,50,28,22,0,0.56,0.44
mpnet,2,50,50,27,23,0,0.54,0.46
mpnet,3,50,50,35,15,0,0.7,0.3
mpnet,4,50,50,29,21,0,0.58,0.42
mpnet,5,50,50,20,30,0,0.4,0.6
mpnet,6,50,50,31,19,0,0.62,0.38
mpnet,7,50,50,38,12,0,0.76,0.24
mpnet,8,50,50,32,18,0,0.64,0.36
mpnet,9,50,50,33,17,0,0.66,0.34
mpnet,10,50,50,47,3,0,0.94,0.06
mpnet,11,50,50,16,34,0,0.32,0.68
mpnet,12,50,50,16,34,0,0.32,0.68
mpnet,13,50,50,19,31,0,0.38,0.62
mpnet,14,50,50,20,30,0,0.4,0.6
mpnet,15,50,50,23,27,0,0.46,0.54
mpnet,16,50,50,45,5,0,0.9,0.1
mpnet,17,50,50,41,9,0,0.82,0.18
mpnet,18,50,50,45,5,0,0.9,0.1
mpnet,19,50,50,39,11,0,0.78,0.22
mpnet,20,50,50,47,3,0,0.94,0.06
mpnet,21,50,50,25,25,0,0.5,0.5
mpnet,22,50,50,35,15,0,0.7,0.3
mpnet,23,50,50,41,9,0,0.82,0.18
mpnet,24,50,50,41,9,0,0.82,0.18
mpnet,25,50,50,35,15,0,0.7,0.3
mpnet,26,50,50,17,33,0,0.34,0.66
mpnet,27,50,50,35,15,0,0.7,0.3
mpnet,28,50,50,44,6,0,0.88,0.12
mpnet,29,50,50,30,20,0,0.6,0.4
mpnet,30,50,50,45,5,0,0.9,0.1
mpnet,31,50,50,36,14,0,0.72,0.28
mpnet,32,50,50,10,40,0,0.2,0.8
mpnet,33,50,50,32,18,0,0.64,0.36
mpnet,34,50,50,22,28,0,0.44,0.56
mpnet,35,50,50,28,22,0,0.56,0.44
mpnet,36,50,50,42,8,0,0.84,0.16
mpnet,37,50,50,50,0,0,1,0
mpnet,38,50,50,35,15,0,0.7,0.3
mpnet,39,50,50,46,4,0,0.92,0.08
mpnet,40,50,50,50,0,0,1,0
mpnet,41,50,50,49,1,0,0.98,0.02
mpnet,42,50,50,50,0,0,1,0
mpnet,43,50,50,36,14,0,0.72,0.28
mpnet,44,50,50,50,0,0,1,0
mpnet,45,50,50,43,7,0,0.86,0.14
mpnet,46,50,50,34,16,0,0.68,0.32
mpnet,47,50,50,41,9,0,0.82,0.18
mpnet,48,50,50,48,2,0,0.96,0.04
mpnet,49,50,50,36,14,0,0.72,0.28
mpnet,50,50,50,39,11,0,0.78,0.22
mpnet,1,100,100,41,59,0,0.41,0.59
mpnet,2,100,100,50,50,0,0.5,0.5
mpnet,3,100,100,57,43,0,0.57,0.43
mpnet,4,100,100,52,48,0,0.52,0.48
mpnet,5,100,100,42,58,0,0.42,0.58
mpnet,6,100,100,52,48,0,0.52,0.48
mpnet,7,100,100,75,25,0,0.75,0.25
mpnet,8,100,100,51,49,0,0.51,0.49
mpnet,9,100,100,47,53,0,0.47,0.53
mpnet,10,100,100,94,6,0,0.94,0.06
mpnet,11,100,100,24,76,0,0.24,0.76
mpnet,12,100,100,30,70,0,0.3,0.7
mpnet,13,100,100,42,58,0,0.42,0.58
mpnet,14,100,100,29,71,0,0.29,0.71
mpnet,15,100,100,38,62,0,0.38,0.62
mpnet,16,100,100,80,20,0,0.8,0.2
mpnet,17,100,100,73,27,0,0.73,0.27
mpnet,18,100,100,88,12,0,0.88,0.12
mpnet,19,100,100,61,39,0,0.61,0.39
mpnet,20,100,100,93,7,0,0.93,0.07
mpnet,21,100,100,51,49,0,0.51,0.49
mpnet,22,100,100,73,27,0,0.73,0.27
mpnet,23,100,100,78,22,0,0.78,0.22
mpnet,24,100,100,82,18,0,0.82,0.18
mpnet,25,100,100,62,38,0,0.62,0.38
mpnet,26,100,100,44,56,0,0.44,0.56
mpnet,27,100,100,50,50,0,0.5,0.5
mpnet,28,100,100,86,14,0,0.86,0.14
mpnet,29,100,100,52,48,0,0.52,0.48
mpnet,30,100,100,84,16,0,0.84,0.16
mpnet,31,100,100,52,48,0,0.52,0.48
mpnet,32,100,100,20,80,0,0.2,0.8
mpnet,33,100,100,54,46,0,0.54,0.46
mpnet,34,100,100,31,69,0,0.31,0.69
mpnet,35,100,100,40,60,0,0.4,0.6
mpnet,36,100,100,78,22,0,0.78,0.22
mpnet,37,100,100,92,8,0,0.92,0.08
mpnet,38,100,100,68,32,0,0.68,0.32
mpnet,39,100,100,90,10,0,0.9,0.1
mpnet,40,100,100,94,6,0,0.94,0.06
mpnet,41,100,100,97,3,0,0.97,0.03
mpnet,42,100,100,100,0,0,1,0
mpnet,43,100,100,53,47,0,0.53,0.47
mpnet,44,100,100,97,3,0,0.97,0.03
mpnet,45,100,100,81,19,0,0.81,0.19
mpnet,46,100,100,47,53,0,0.47,0.53
mpnet,47,100,100,71,29,0,0.71,0.29
mpnet,48,100,100,73,27,0,0.73,0.27
mpnet,49,100,100,61,39,0,0.61,0.39
mpnet,50,100,100,73,27,0,0.73,0.27
mpnet,1,1000,1000,217,783,0,0.217,0.783
mpnet,2,1000,1000,227,773,0,0.227,0.773
mpnet,3,1000,1000,246,754,0,0.246,0.754
mpnet,4,1000,1000,222,778,0,0.222,0.778
mpnet,5,1000,1000,286,714,0,0.286,0.714
mpnet,6,1000,1000,336,664,0,0.336,0.664
mpnet,7,1000,1000,456,544,0,0.456,0.544
mpnet,8,1000,1000,241,759,0,0.241,0.759
mpnet,9,1000,1000,160,840,0,0.16,0.84
mpnet,10,1000,1000,421,579,0,0.421,0.579
mpnet,11,1000,1000,168,832,0,0.168,0.832
mpnet,12,1000,1000,140,860,0,0.14,0.86
mpnet,13,1000,1000,275,725,0,0.275,0.725
mpnet,14,1000,1000,129,871,0,0.129,0.871
mpnet,15,1000,1000,170,830,0,0.17,0.83
mpnet,16,1000,1000,286,714,0,0.286,0.714
mpnet,17,1000,1000,288,712,0,0.288,0.712
mpnet,18,1000,1000,388,612,0,0.388,0.612
mpnet,19,1000,1000,222,778,0,0.222,0.778
mpnet,20,1000,1000,370,630,0,0.37,0.63
mpnet,21,1000,1000,308,692,0,0.308,0.692
mpnet,22,1000,1000,329,671,0,0.329,0.671
mpnet,23,1000,1000,301,699,0,0.301,0.699
mpnet,24,1000,1000,309,691,0,0.309,0.691
mpnet,25,1000,1000,295,705,0,0.295,0.705
mpnet,26,1000,1000,280,720,0,0.28,0.72
mpnet,27,1000,1000,165,835,0,0.165,0.835
mpnet,28,1000,1000,401,599,0,0.401,0.599
mpnet,29,1000,1000,336,664,0,0.336,0.664
mpnet,30,1000,1000,265,735,0,0.265,0.735
mpnet,31,1000,1000,208,792,0,0.208,0.792
mpnet,32,1000,1000,146,854,0,0.146,0.854
mpnet,33,1000,1000,247,753,0,0.247,0.753
mpnet,34,1000,1000,128,872,0,0.128,0.872
mpnet,35,1000,1000,168,832,0,0.168,0.832
mpnet,36,1000,1000,464,536,0,0.464,0.536
mpnet,37,1000,1000,542,458,0,0.542,0.458
mpnet,38,1000,1000,429,571,0,0.429,0.571
mpnet,39,1000,1000,375,625,0,0.375,0.625
mpnet,40,1000,1000,452,548,0,0.452,0.548
mpnet,41,1000,1000,314,686,0,0.314,0.686
mpnet,42,1000,1000,223,777,0,0.223,0.777
mpnet,43,1000,1000,151,849,0,0.151,0.849
mpnet,44,1000,1000,404,596,0,0.404,0.596
mpnet,45,1000,1000,529,471,0,0.529,0.471
mpnet,46,1000,1000,153,847,0,0.153,0.847
mpnet,47,1000,1000,338,662,0,0.338,0.662
mpnet,48,1000,1000,204,796,0,0.204,0.796
mpnet,49,1000,1000,286,714,0,0.286,0.714
mpnet,50,1000,1000,275,725,0,0.275,0.725
