method_a,method_b,query_id,k,judged_count_delta_a_minus_b,judged_fraction_delta_a_minus_b,hole_count_delta_a_minus_b,hole_fraction_delta_a_minus_b
mpnet,bm25,35,100,-60,-0.6,60,0.6
mpnet,bm25,36,100,-23,-0.23,23,0.23
mpnet,bm25,37,100,-12,-0.12,12,0.12
mpnet,bm25,38,100,-20,-0.2,20,0.2
mpnet,bm25,39,100,-6,-0.06,6,0.06
mpnet,bm25,40,100,-7,-0.07,7,0.07
mpnet,bm25,41,100,-8,-0.08,8,0.08
mpnet,bm25,42,100,5,0.05,-5,-0.05
mpnet,bm25,43,100,-39,-0.39,39,0.39
mpnet,bm25,44,100,-8,-0.08,8,0.08
mpnet,bm25,45,100,-18,-0.18,18,0.18
mpnet,bm25,46,100,-40,-0.4,40,0.4
mpnet,bm25,47,100,-21,-0.21,21,0.21
mpnet,bm25,48,100,26,0.26,-26,-0.26
mpnet,bm25,49,100,-30,-0.3,30,0.3
mpnet,bm25,50,100,-10,-0.1,10,0.1
mpnet,bm25,1,1000,-199,-0.199,199,0.199
mpnet,bm25,2,1000,-45,-0.045,45,0.045
mpnet,bm25,3,1000,-238,-0.238,238,0.238
mpnet,bm25,4,1000,-124,-0.124,124,0.124
mpnet,bm25,5,1000,-181,-0.181,181,0.181
mpnet,bm25,6,1000,-76,-0.076,76,0.076
mpnet,bm25,7,1000,-69,-0.069,69,0.069
mpnet,bm25,8,1000,-82,-0.082,82,0.082
mpnet,bm25,9,1000,-157,-0.157,157,0.157
mpnet,bm25,10,1000,-23,-0.023,23,0.023
mpnet,bm25,11,1000,-213,-0.213,213,0.213
mpnet,bm25,12,1000,-185,-0.185,185,0.185
mpnet,bm25,13,1000,-160,-0.16,160,0.16
mpnet,bm25,14,1000,-149,-0.149,149,0.149
mpnet,bm25,15,1000,-113,-0.113,113,0.113
mpnet,bm25,16,1000,-24,-0.024,24,0.024
mpnet,bm25,17,1000,-177,-0.177,177,0.177
mpnet,bm25,18,1000,-37,-0.037,37,0.037
mpnet,bm25,19,1000,-57,-0.057,57,0.057
mpnet,bm25,20,1000,-94,-0.094,94,0.094
mpnet,bm25,21,1000,-57,-0.057,57,0.057
mpnet,bm25,22,1000,30,0.03,-30,-0.03
mpnet,bm25,23,1000,18,0.018,-18,-0.018
mpnet,bm25,24,1000,6,0.006,-6,-0.006
mpnet,bm25,25,1000,-66,-0.066,66,0.066
mpnet,bm25,26,1000,-122,-0.122,122,0.122
mpnet,bm25,27,1000,-312,-0.312,312,0.312
mpnet,bm25,28,1000,37,0.037,-37,-0.037
mpnet,bm25,29,1000,-171,-0.171,171,0.171
mpnet,bm25,30,1000,-72,-0.072,72,0.072
mpnet,bm25,31,1000,-276,-0.276,276,0.276
mpnet,bm25,32,1000,-145,-0.145,145,0.145
mpnet,bm25,33,1000,-212,-0.212,212,0.212
mpnet,bm25,34,1000,-131,-0.131,131,0.131
mpnet,bm25,35,1000,-232,-0.232,232,0.232
mpnet,bm25,36,1000,-123,-0.123,123,0.123
mpnet,bm25,37,1000,-35,-0.035,35,0.035
mpnet,bm25,38,1000,-108,-0.108,108,0.108
mpnet,bm25,39,1000,-219,-0.219,219,0.219
mpnet,bm25,40,1000,-119,-0.119,119,0.119
mpnet,bm25,41,1000,48,0.048,-48,-0.048
mpnet,bm25,42,1000,-51,-0.051,51,0.051
mpnet,bm25,43,1000,-164,-0.164,164,0.164
mpnet,bm25,44,1000,23,0.023,-23,-0.023
mpnet,bm25,45,1000,-142,-0.142,142,0.142
mpnet,bm25,46,1000,-103,-0.103,103,0.103
mpnet,bm25,47,1000,-46,-0.046,46,0.046
mpnet,bm25,48,1000,-74,-0.074,74,0.074
mpnet,bm25,49,1000,-74,-0.074,74,0.074
mpnet,bm25,50,1000,-90,-0.09,90,0.09
direct,bm25,1,20,0,0,0,0
direct,bm25,2,20,0,0,0,0
direct,bm25,3,20,1,0.05,-1,-0.05
direct,bm25,4,20,-3,-0.15,3,0.15
direct,bm25,5,20,-2,-0.1,2,0.1
direct,bm25,6,20,1,0.05,-1,-0.05
direct,bm25,7,20,0,0,0,0
direct,bm25,8,20,1,0.05,-1,-0.05
direct,bm25,9,20,0,0,0,0
direct,bm25,10,20,0,0,0,0
direct,bm25,11,20,1,0.05,-1,-0.05
direct,bm25,12,20,2,0.1,-2,-0.1
direct,bm25,13,20,-1,-0.05,1,0.05
direct,bm25,14,20,0,0,0,0
direct,bm25,15,20,0,0,0,0
direct,bm25,16,20,2,0.1,-2,-0.1
direct,bm25,17,20,0,0,0,0
direct,bm25,18,20,0,0,0,0
direct,bm25,19,20,0,0,0,0
direct,bm25,20,20,1,0.05,-1,-0.05
direct,bm25,21,20,0,0,0,0
direct,bm25,22,20,1,0.05,-1,-0.05
direct,bm25,23,20,1,0.05,-1,-0.05
direct,bm25,24,20,2,0.1,-2,-0.1
direct,bm25,25,20,2,0.1,-2,-0.1
direct,bm25,26,20,1,0.05,-1,-0.05
direct,bm25,27,20,2,0.1,-2,-0.1
direct,bm25,28,20,-3,-0.15,3,0.15
direct,bm25,29,20,-1,-0.05,1,0.05
direct,bm25,30,20,0,0,0,0
direct,bm25,31,20,0,0,0,0
direct,bm25,32,20,-4,-0.2,4,0.2
direct,bm25,33,20,0,0,0,0
direct,bm25,34,20,4,0.2,-4,-0.2
direct,bm25,35,20,0,0,0,0
direct,bm25,36,20,0,0,0,0
direct,bm25,37,20,0,0,0,0
direct,bm25,38,20,-1,-0.05,1,0.05
direct,bm25,39,20,0,0,0,0
direct,bm25,40,20,0,0,0,0
direct,bm25,41,20,0,0,0,0
direct,bm25,42,20,0,0,0,0
direct,bm25,43,20,0,0,0,0
direct,bm25,44,20,1,0.05,-1,-0.05
direct,bm25,45,20,0,0,0,0
direct,bm25,46,20,0,0,0,0
direct,bm25,47,20,6,0.3,-6,-0.3
direct,bm25,48,20,3,0.15,-3,-0.15
direct,bm25,49,20,1,0.05,-1,-0.05
direct,bm25,50,20,0,0,0,0
direct,bm25,1,50,9,0.18,-9,-0.18
direct,bm25,2,50,-2,-0.04,2,0.04
direct,bm25,3,50,3,0.06,-3,-0.06
direct,bm25,4,50,4,0.08,-4,-0.08
direct,bm25,5,50,1,0.02,-1,-0.02
direct,bm25,6,50,8,0.16,-8,-0.16
direct,bm25,7,50,1,0.02,-1,-0.02
direct,bm25,8,50,5,0.1,-5,-0.1
direct,bm25,9,50,0,0,0,0
direct,bm25,10,50,4,0.08,-4,-0.08
direct,bm25,11,50,-1,-0.02,1,0.02
direct,bm25,12,50,4,0.08,-4,-0.08
direct,bm25,13,50,2,0.04,-2,-0.04
direct,bm25,14,50,0,0,0,0
direct,bm25,15,50,-8,-0.16,8,0.16
direct,bm25,16,50,13,0.26,-13,-0.26
direct,bm25,17,50,2,0.04,-2,-0.04
direct,bm25,18,50,1,0.02,-1,-0.02
direct,bm25,19,50,0,0,0,0
direct,bm25,20,50,3,0.06,-3,-0.06
direct,bm25,21,50,-3,-0.06,3,0.06
direct,bm25,22,50,7,0.14,-7,-0.14
direct,bm25,23,50,6,0.12,-6,-0.12
direct,bm25,24,50,3,0.06,-3,-0.06
direct,bm25,25,50,4,0.08,-4,-0.08
direct,bm25,26,50,3,0.06,-3,-0.06
direct,bm25,27,50,2,0.04,-2,-0.04
direct,bm25,28,50,-1,-0.02,1,0.02
direct,bm25,29,50,-2,-0.04,2,0.04
direct,bm25,30,50,1,0.02,-1,-0.02
direct,bm25,31,50,0,0,0,0
direct,bm25,32,50,-20,-0.4,20,0.4
direct,bm25,33,50,3,0.06,-3,-0.06
direct,bm25,34,50,16,0.32,-16,-0.32
direct,bm25,35,50,2,0.04,-2,-0.04
direct,bm25,36,50,-1,-0.02,1,0.02
direct,bm25,37,50,0,0,0,0
direct,bm25,38,50,4,0.08,-4,-0.08
direct,bm25,39,50,0,0,0,0
direct,bm25,40,50,0,0,0,0
direct,bm25,41,50,2,0.04,-2,-0.04
direct,bm25,42,50,0,0,0,0
direct,bm25,43,50,0,0,0,0
direct,bm25,44,50,5,0.1,-5,-0.1
direct,bm25,45,50,2,0.04,-2,-0.04
direct,bm25,46,50,-1,-0.02,1,0.02
direct,bm25,47,50,17,0.34,-17,-0.34
direct,bm25,48,50,18,0.36,-18,-0.36
direct,bm25,49,50,3,0.06,-3,-0.06
direct,bm25,50,50,6,0.12,-6,-0.12
direct,bm25,1,100,19,0.19,-19,-0.19
direct,bm25,2,100,10,0.1,-10,-0.1
direct,bm25,3,100,4,0.04,-4,-0.04
direct,bm25,4,100,3,0.03,-3,-0.03
direct,bm25,5,100,1,0.01,-1,-0.01
direct,bm25,6,100,13,0.13,-13,-0.13
direct,bm25,7,100,6,0.06,-6,-0.06
direct,bm25,8,100,8,0.08,-8,-0.08
direct,bm25,9,100,-2,-0.02,2,0.02
direct,bm25,10,100,4,0.04,-4,-0.04
direct,bm25,11,100,-6,-0.06,6,0.06
direct,bm25,12,100,-1,-0.01,1,0.01
direct,bm25,13,100,5,0.05,-5,-0.05
direct,bm25,14,100,-4,-0.04,4,0.04
direct,bm25,15,100,2,0.02,-2,-0.02
direct,bm25,16,100,27,0.27,-27,-0.27
direct,bm25,17,100,3,0.03,-3,-0.03
direct,bm25,18,100,7,0.07,-7,-0.07
direct,bm25,19,100,10,0.1,-10,-0.1
direct,bm25,20,100,0,0,0,0
direct,bm25,21,100,8,0.08,-8,-0.08
direct,bm25,22,100,11,0.11,-11,-0.11
direct,bm25,23,100,21,0.21,-21,-0.21
direct,bm25,24,100,11,0.11,-11,-0.11
direct,bm25,25,100,0,0,0,0
direct,bm25,26,100,3,0.03,-3,-0.03
direct,bm25,27,100,-3,-0.03,3,0.03
direct,bm25,28,100,4,0.04,-4,-0.04
direct,bm25,29,100,-1,-0.01,1,0.01
direct,bm25,30,100,-8,-0.08,8,0.08
direct,bm25,31,100,-6,-0.06,6,0.06
direct,bm25,32,100,-36,-0.36,36,0.36
direct,bm25,33,100,12,0.12,-12,-0.12
direct,bm25,34,100,18,0.18,-18,-0.18
direct,bm25,35,100,2,0.02,-2,-0.02
direct,bm25,36,100,-2,-0.02,2,0.02
direct,bm25,37,100,0,0,0,0
direct,bm25,38,100,10,0.1,-10,-0.1
direct,bm25,39,100,-1,-0.01,1,0.01
direct,bm25,40,100,0,0,0,0
direct,bm25,41,100,-1,-0.01,1,0.01
direct,bm25,42,100,5,0.05,-5,-0.05
direct,bm25,43,100,-2,-0.02,2,0.02
direct,bm25,44,100,12,0.12,-12,-0.12
direct,bm25,45,100,2,0.02,-2,-0.02
direct,bm25,46,100,-9,-0.09,9,0.09
direct,bm25,47,100,22,0.22,-22,-0.22
direct,bm25,48,100,36,0.36,-36,-0.36
direct,bm25,49,100,20,0.2,-20,-0.2
direct,bm25,50,100,11,0.11,-11,-0.11
direct,bm25,1,1000,14,0.014,-14,-0.014
direct,bm25,2,1000,36,0.036,-36,-0.036
direct,bm25,3,1000,18,0.018,-18,-0.018
direct,bm25,4,1000,33,0.033,-33,-0.033
direct,bm25,5,1000,4,0.004,-4,-0.004
direct,bm25,6,1000,57,0.057,-57,-0.057
direct,bm25,7,1000,42,0.042,-42,-0.042
direct,bm25,8,1000,59,0.059,-59,-0.059
direct,bm25,9,1000,4,0.004,-4,-0.004
direct,bm25,10,1000,38,0.038,-38,-0.038
direct,bm25,11,1000,-1,-0.001,1,0.001
direct,bm25,12,1000,23,0.023,-23,-0.023
direct,bm25,13,1000,49,0.049,-49,-0.049
direct,bm25,14,1000,-17,-0.017,17,0.017
direct,bm25,15,1000,-20,-0.02,20,0.02
direct,bm25,16,1000,95,0.095,-95,-0.095
direct,bm25,17,1000,32,0.032,-32,-0.032
direct,bm25,18,1000,38,0.038,-38,-0.038
direct,bm25,19,1000,40,0.04,-40,-0.04
direct,bm25,20,1000,6,0.006,-6,-0.006
direct,bm25,21,1000,101,0.101,-101,-0.101
direct,bm25,22,1000,56,0.056,-56,-0.056
direct,bm25,23,1000,66,0.066,-66,-0.066
direct,bm25,24,1000,52,0.052,-52,-0.052
direct,bm25,25,1000,60,0.06,-60,-0.06
direct,bm25,26,1000,72,0.072,-72,-0.072
direct,bm25,27,1000,-8,-0.008,8,0.008
direct,bm25,28,1000,58,0.058,-58,-0.058
direct,bm25,29,1000,21,0.021,-21,-0.021
direct,bm25,30,1000,15,0.015,-15,-0.015
direct,bm25,31,1000,-10,-0.01,10,0.01
direct,bm25,32,1000,-52,-0.052,52,0.052
direct,bm25,33,1000,19,0.019,-19,-0.019
direct,bm25,34,1000,43,0.043,-43,-0.043
direct,bm25,35,1000,16,0.016,-16,-0.016
direct,bm25,36,1000,-3,-0.003,3,0.003
direct,bm25,37,1000,37,0.037,-37,-0.037
direct,bm25,38,1000,103,0.103,-103,-0.103
direct,bm25,39,1000,0,0,0,0
direct,bm25,40,1000,21,0.021,-21,-0.021
direct,bm25,41,1000,133,0.133,-133,-0.133
direct,bm25,42,1000,21,0.021,-21,-0.021
direct,bm25,43,1000,-27,-0.027,27,0.027
direct,bm25,44,1000,103,0.103,-103,-0.103
direct,bm25,45,1000,-22,-0.022,22,0.022
direct,bm25,46,1000,7,0.007,-7,-0.007
direct,bm25,47,1000,68,0.068,-68,-0.068
direct,bm25,48,1000,27,0.027,-27,-0.027
direct,bm25,49,1000,78,0.078,-78,-0.078
direct,bm25,50,1000,3,0.003,-3,-0.003
mpnet,direct,1,20,-15,-0.75,15,0.75
mpnet,direct,2,20,-17,-0.85,17,0.85
mpnet,direct,3,20,-14,-0.7,14,0.7
mpnet,direct,4,20,-7,-0.35,7,0.35
mpnet,direct,5,20,-8,-0.4,8,0.4
mpnet,direct,6,20,-9,-0.45,9,0.45
mpnet,direct,7,20,-10,-0.5,10,0.5
mpnet,direct,8,20,-7,-0.35,7,0.35
mpnet,direct,9,20,-7,-0.35,7,0.35
mpnet,direct,10,20,-7,-0.35,7,0.35
mpnet,direct,11,20,-11,-0.55,11,0.55
mpnet,direct,12,20,-13,-0.65,13,0.65
mpnet,direct,13,20,-14,-0.7,14,0.7
mpnet,direct,14,20,-8,-0.4,8,0.4
mpnet,direct,15,20,-12,-0.6,12,0.6
mpnet,direct,16,20,0,0,0,0
mpnet,direct,17,20,-8,-0.4,8,0.4
mpnet,direct,18,20,-5,-0.25,5,0.25
mpnet,direct,19,20,-3,-0.15,3,0.15
mpnet,direct,20,20,0,0,0,0
mpnet,direct,21,20,-12,-0.6,12,0.6
mpnet,direct,22,20,-3,-0.15,3,0.15
mpnet,direct,23,20,-3,-0.15,3,0.15
mpnet,direct,24,20,-7,-0.35,7,0.35
mpnet,direct,25,20,-7,-0.35,7,0.35
mpnet,direct,26,20,-15,-0.75,15,0.75
mpnet,direct,27,20,-4,-0.2,4,0.2
mpnet,direct,28,20,-7,-0.35,7,0.35
mpnet,direct,29,20,-6,-0.3,6,0.3
mpnet,direct,30,20,-5,-0.25,5,0.25
mpnet,direct,31,20,-17,-0.85,17,0.85
mpnet,direct,32,20,-13,-0.65,13,0.65
mpnet,direct,33,20,-9,-0.45,9,0.45
mpnet,direct,34,20,-11,-0.55,11,0.55
mpnet,direct,35,20,-16,-0.8,16,0.8
mpnet,direct,36,20,-3,-0.15,3,0.15
mpnet,direct,37,20,0,0,0,0
mpnet,direct,38,20,-7,-0.35,7,0.35
mpnet,direct,39,20,0,0,0,0
mpnet,direct,40,20,0,0,0,0
mpnet,direct,41,20,-1,-0.05,1,0.05
mpnet,direct,42,20,0,0,0,0
mpnet,direct,43,20,0,0,0,0
mpnet,direct,44,20,-1,-0.05,1,0.05
mpnet,direct,45,20,0,0,0,0
mpnet,direct,46,20,0,0,0,0
mpnet,direct,47,20,-11,-0.55,11,0.55
mpnet,direct,48,20,-2,-0.1,2,0.1
mpnet,direct,49,20,-8,-0.4,8,0.4
mpnet,direct,50,20,-6,-0.3,6,0.3
mpnet,direct,1,50,-36,-0.72,36,0.72
mpnet,direct,2,50,-44,-0.88,44,0.88
mpnet,direct,3,50,-36,-0.72,36,0.72
mpnet,direct,4,50,-27,-0.54,27,0.54
mpnet,direct,5,50,-25,-0.5,25,0.5
mpnet,direct,6,50,-22,-0.44,22,0.44
mpnet,direct,7,50,-17,-0.34,17,0.34
mpnet,direct,8,50,-21,-0.42,21,0.42
mpnet,direct,9,50,-15,-0.3,15,0.3
mpnet,direct,10,50,-10,-0.2,10,0.2
mpnet,direct,11,50,-22,-0.44,22,0.44
mpnet,direct,12,50,-26,-0.52,26,0.52
mpnet,direct,13,50,-39,-0.78,39,0.78
mpnet,direct,14,50,-31,-0.62,31,0.62
mpnet,direct,15,50,-18,-0.36,18,0.36
mpnet,direct,16,50,-8,-0.16,8,0.16
mpnet,direct,17,50,-19,-0.38,19,0.38
mpnet,direct,18,50,-15,-0.3,15,0.3
mpnet,direct,19,50,-8,-0.16,8,0.16
mpnet,direct,20,50,-4,-0.08,4,0.08
mpnet,direct,21,50,-22,-0.44,22,0.44
mpnet,direct,22,50,-20,-0.4,20,0.4
mpnet,direct,23,50,-6,-0.12,6,0.12
mpnet,direct,24,50,-22,-0.44,22,0.44
mpnet,direct,25,50,-7,-0.14,7,0.14
mpnet,direct,26,50,-23,-0.46,23,0.46
mpnet,direct,27,50,-18,-0.36,18,0.36
mpnet,direct,28,50,-17,-0.34,17,0.34
mpnet,direct,29,50,-21,-0.42,21,0.42
mpnet,direct,30,50,-11,-0.22,11,0.22
mpnet,direct,31,50,-42,-0.84,42,0.84
mpnet,direct,32,50,-26,-0.52,26,0.52
mpnet,direct,33,50,-26,-0.52,26,0.52
mpnet,direct,34,50,-21,-0.42,21,0.42
mpnet,direct,35,50,-38,-0.76,38,0.76
mpnet,direct,36,50,-11,-0.22,11,0.22
mpnet,direct,37,50,-1,-0.02,1,0.02
mpnet,direct,38,50,-18,-0.36,18,0.36
mpnet,direct,39,50,-1,-0.02,1,0.02
mpnet,direct,40,50,0,0,0,0
mpnet,direct,41,50,-5,-0.1,5,0.1
mpnet,direct,42,50,0,0,0,0
mpnet,direct,43,50,-10,-0.2,10,0.2
mpnet,direct,44,50,-5,-0.1,5,0.1
mpnet,direct,45,50,-8,-0.16,8,0.16
mpnet,direct,46,50,-14,-0.28,14,0.28
mpnet,direct,47,50,-27,-0.54,27,0.54
mpnet,direct,48,50,-4,-0.08,4,0.08
mpnet,direct,49,50,-24,-0.48,24,0.48
mpnet,direct,50,50,-10,-0.2,10,0.2
mpnet,direct,1,100,-59,-0.59,59,0.59
mpnet,direct,2,100,-75,-0.75,75,0.75
mpnet,direct,3,100,-57,-0.57,57,0.57
mpnet,direct,4,100,-44,-0.44,44,0.44
mpnet,direct,5,100,-36,-0.36,36,0.36
mpnet,direct,6,100,-38,-0.38,38,0.38
mpnet,direct,7,100,-35,-0.35,35,0.35
mpnet,direct,8,100,-37,-0.37,37,0.37
mpnet,direct,9,100,-37,-0.37,37,0.37
mpnet,direct,10,100,-14,-0.14,14,0.14
mpnet,direct,11,100,-53,-0.53,53,0.53
mpnet,direct,12,100,-46,-0.46,46,0.46
mpnet,direct,13,100,-69,-0.69,69,0.69
mpnet,direct,14,100,-68,-0.68,68,0.68
mpnet,direct,15,100,-41,-0.41,41,0.41
mpnet,direct,16,100,-22,-0.22,22,0.22
mpnet,direct,17,100,-28,-0.28,28,0.28
mpnet,direct,18,100,-20,-0.2,20,0.2
mpnet,direct,19,100,-33,-0.33,33,0.33
mpnet,direct,20,100,-3,-0.03,3,0.03
mpnet,direct,21,100,-51,-0.51,51,0.51
mpnet,direct,22,100,-42,-0.42,42,0.42
mpnet,direct,23,100,-18,-0.18,18,0.18
mpnet,direct,24,100,-42,-0.42,42,0.42
mpnet,direct,25,100,-10,-0.1,10,0.1
mpnet,direct,26,100,-42,-0.42,42,0.42
mpnet,direct,27,100,-45,-0.45,45,0.45
mpnet,direct,28,100,-28,-0.28,28,0.28
mpnet,direct,29,100,-51,-0.51,51,0.51
mpnet,direct,30,100,-6,-0.06,6,0.06
mpnet,direct,31,100,-73,-0.73,73,0.73
mpnet,direct,32,100,-31,-0.31,31,0.31
mpnet,direct,33,100,-55,-0.55,55,0.55
mpnet,direct,34,100,-42,-0.42,42,0.42
mpnet,direct,35,100,-62,-0.62,62,0.62
mpnet,direct,36,100,-21,-0.21,21,0.21
mpnet,direct,37,100,-12,-0.12,12,0.12
mpnet,direct,38,100,-30,-0.3,30,0.3
mpnet,direct,39,100,-5,-0.05,5,0.05
mpnet,direct,40,100,-7,-0.07,7,0.07
mpnet,direct,41,100,-7,-0.07,7,0.07
mpnet,direct,42,100,0,0,0,0
mpnet,direct,43,100,-37,-0.37,37,0.37
