method,query_id,k,label_rule,n_observed_relevant,observed_precision
bm25,26,50,strict_eq2,24,0.48
bm25,27,50,strict_eq2,35,0.7
bm25,28,50,strict_eq2,39,0.78
bm25,29,50,strict_eq2,27,0.54
bm25,30,50,strict_eq2,38,0.76
bm25,31,50,strict_eq2,4,0.08
bm25,32,50,strict_eq2,12,0.24
bm25,33,50,strict_eq2,21,0.42
bm25,34,50,strict_eq2,6,0.12
bm25,35,50,strict_eq2,23,0.46
bm25,36,50,strict_eq2,42,0.84
bm25,37,50,strict_eq2,25,0.5
bm25,38,50,strict_eq2,18,0.36
bm25,39,50,strict_eq2,38,0.76
bm25,40,50,strict_eq2,46,0.92
bm25,41,50,strict_eq2,31,0.62
bm25,42,50,strict_eq2,34,0.68
bm25,43,50,strict_eq2,37,0.74
bm25,44,50,strict_eq2,29,0.58
bm25,45,50,strict_eq2,19,0.38
bm25,46,50,strict_eq2,22,0.44
bm25,47,50,strict_eq2,13,0.26
bm25,48,50,strict_eq2,20,0.4
bm25,49,50,strict_eq2,5,0.1
bm25,50,50,strict_eq2,8,0.16
bm25,1,50,relaxed_ge1,16,0.32
bm25,2,50,relaxed_ge1,28,0.56
bm25,3,50,relaxed_ge1,24,0.48
bm25,4,50,relaxed_ge1,12,0.24
bm25,5,50,relaxed_ge1,32,0.64
bm25,6,50,relaxed_ge1,33,0.66
bm25,7,50,relaxed_ge1,34,0.68
bm25,8,50,relaxed_ge1,23,0.46
bm25,9,50,relaxed_ge1,17,0.34
bm25,10,50,relaxed_ge1,38,0.76
bm25,11,50,relaxed_ge1,19,0.38
bm25,12,50,relaxed_ge1,21,0.42
bm25,13,50,relaxed_ge1,34,0.68
bm25,14,50,relaxed_ge1,40,0.8
bm25,15,50,relaxed_ge1,6,0.12
bm25,16,50,relaxed_ge1,12,0.24
bm25,17,50,relaxed_ge1,34,0.68
bm25,18,50,relaxed_ge1,41,0.82
bm25,19,50,relaxed_ge1,20,0.4
bm25,20,50,relaxed_ge1,34,0.68
bm25,21,50,relaxed_ge1,26,0.52
bm25,22,50,relaxed_ge1,33,0.66
bm25,23,50,relaxed_ge1,34,0.68
bm25,24,50,relaxed_ge1,40,0.8
bm25,25,50,relaxed_ge1,8,0.16
bm25,26,50,relaxed_ge1,26,0.52
bm25,27,50,relaxed_ge1,44,0.88
bm25,28,50,relaxed_ge1,40,0.8
bm25,29,50,relaxed_ge1,40,0.8
bm25,30,50,relaxed_ge1,48,0.96
bm25,31,50,relaxed_ge1,10,0.2
bm25,32,50,relaxed_ge1,16,0.32
bm25,33,50,relaxed_ge1,31,0.62
bm25,34,50,relaxed_ge1,9,0.18
bm25,35,50,relaxed_ge1,25,0.5
bm25,36,50,relaxed_ge1,45,0.9
bm25,37,50,relaxed_ge1,42,0.84
bm25,38,50,relaxed_ge1,27,0.54
bm25,39,50,relaxed_ge1,49,0.98
bm25,40,50,relaxed_ge1,50,1
bm25,41,50,relaxed_ge1,35,0.7
bm25,42,50,relaxed_ge1,38,0.76
bm25,43,50,relaxed_ge1,41,0.82
bm25,44,50,relaxed_ge1,35,0.7
bm25,45,50,relaxed_ge1,40,0.8
bm25,46,50,relaxed_ge1,30,0.6
bm25,47,50,relaxed_ge1,17,0.34
bm25,48,50,relaxed_ge1,26,0.52
bm25,49,50,relaxed_ge1,13,0.26
bm25,50,50,relaxed_ge1,17,0.34
bm25,1,100,strict_eq2,14,0.14
bm25,2,100,strict_eq2,37,0.37
bm25,3,100,strict_eq2,28,0.28
bm25,4,100,strict_eq2,18,0.18
bm25,5,100,strict_eq2,27,0.27
bm25,6,100,strict_eq2,52,0.52
bm25,7,100,strict_eq2,52,0.52
bm25,8,100,strict_eq2,29,0.29
bm25,9,100,strict_eq2,17,0.17
bm25,10,100,strict_eq2,42,0.42
bm25,11,100,strict_eq2,20,0.2
bm25,12,100,strict_eq2,13,0.13
bm25,13,100,strict_eq2,28,0.28
bm25,14,100,strict_eq2,35,0.35
bm25,15,100,strict_eq2,4,0.04
bm25,16,100,strict_eq2,10,0.1
bm25,17,100,strict_eq2,27,0.27
bm25,18,100,strict_eq2,47,0.47
bm25,19,100,strict_eq2,10,0.1
bm25,20,100,strict_eq2,60,0.6
bm25,21,100,strict_eq2,42,0.42
bm25,22,100,strict_eq2,49,0.49
bm25,23,100,strict_eq2,40,0.4
bm25,24,100,strict_eq2,59,0.59
bm25,25,100,strict_eq2,14,0.14
bm25,26,100,strict_eq2,40,0.4
bm25,27,100,strict_eq2,62,0.62
bm25,28,100,strict_eq2,71,0.71
bm25,29,100,strict_eq2,46,0.46
bm25,30,100,strict_eq2,68,0.68
bm25,31,100,strict_eq2,12,0.12
bm25,32,100,strict_eq2,13,0.13
bm25,33,100,strict_eq2,30,0.3
bm25,34,100,strict_eq2,9,0.09
bm25,35,100,strict_eq2,43,0.43
bm25,36,100,strict_eq2,78,0.78
bm25,37,100,strict_eq2,49,0.49
bm25,38,100,strict_eq2,36,0.36
bm25,39,100,strict_eq2,64,0.64
bm25,40,100,strict_eq2,86,0.86
bm25,41,100,strict_eq2,55,0.55
bm25,42,100,strict_eq2,61,0.61
bm25,43,100,strict_eq2,69,0.69
bm25,44,100,strict_eq2,52,0.52
bm25,45,100,strict_eq2,32,0.32
bm25,46,100,strict_eq2,30,0.3
bm25,47,100,strict_eq2,25,0.25
bm25,48,100,strict_eq2,32,0.32
bm25,49,100,strict_eq2,7,0.07
bm25,50,100,strict_eq2,12,0.12
bm25,1,100,relaxed_ge1,31,0.31
bm25,2,100,relaxed_ge1,43,0.43
bm25,3,100,relaxed_ge1,48,0.48
bm25,4,100,relaxed_ge1,26,0.26
bm25,5,100,relaxed_ge1,56,0.56
bm25,6,100,relaxed_ge1,60,0.6
bm25,7,100,relaxed_ge1,57,0.57
bm25,8,100,relaxed_ge1,43,0.43
bm25,9,100,relaxed_ge1,30,0.3
bm25,10,100,relaxed_ge1,70,0.7
bm25,11,100,relaxed_ge1,34,0.34
bm25,12,100,relaxed_ge1,43,0.43
bm25,13,100,relaxed_ge1,58,0.58
bm25,14,100,relaxed_ge1,65,0.65
bm25,15,100,relaxed_ge1,7,0.07
bm25,16,100,relaxed_ge1,18,0.18
bm25,17,100,relaxed_ge1,57,0.57
bm25,18,100,relaxed_ge1,75,0.75
bm25,19,100,relaxed_ge1,26,0.26
bm25,20,100,relaxed_ge1,70,0.7
bm25,21,100,relaxed_ge1,45,0.45
bm25,22,100,relaxed_ge1,62,0.62
bm25,23,100,relaxed_ge1,52,0.52
bm25,24,100,relaxed_ge1,70,0.7
bm25,25,100,relaxed_ge1,17,0.17
bm25,26,100,relaxed_ge1,44,0.44
bm25,27,100,relaxed_ge1,87,0.87
bm25,28,100,relaxed_ge1,74,0.74
bm25,29,100,relaxed_ge1,64,0.64
bm25,30,100,relaxed_ge1,87,0.87
bm25,31,100,relaxed_ge1,21,0.21
bm25,32,100,relaxed_ge1,17,0.17
bm25,33,100,relaxed_ge1,44,0.44
bm25,34,100,relaxed_ge1,16,0.16
bm25,35,100,relaxed_ge1,45,0.45
bm25,36,100,relaxed_ge1,85,0.85
bm25,37,100,relaxed_ge1,73,0.73
bm25,38,100,relaxed_ge1,55,0.55
bm25,39,100,relaxed_ge1,97,0.97
bm25,40,100,relaxed_ge1,97,0.97
bm25,41,100,relaxed_ge1,62,0.62
bm25,42,100,relaxed_ge1,69,0.69
bm25,43,100,relaxed_ge1,78,0.78
bm25,44,100,relaxed_ge1,67,0.67
bm25,45,100,relaxed_ge1,81,0.81
bm25,46,100,relaxed_ge1,40,0.4
bm25,47,100,relaxed_ge1,31,0.31
bm25,48,100,relaxed_ge1,46,0.46
bm25,49,100,relaxed_ge1,20,0.2
bm25,50,100,relaxed_ge1,31,0.31
bm25,1,1000,strict_eq2,77,0.077
bm25,2,1000,strict_eq2,73,0.073
bm25,3,1000,strict_eq2,92,0.092
bm25,4,1000,strict_eq2,64,0.064
bm25,5,1000,strict_eq2,138,0.138
bm25,6,1000,strict_eq2,249,0.249
bm25,7,1000,strict_eq2,296,0.296
bm25,8,1000,strict_eq2,81,0.081
bm25,9,1000,strict_eq2,59,0.059
bm25,10,1000,strict_eq2,162,0.162
bm25,11,1000,strict_eq2,78,0.078
bm25,12,1000,strict_eq2,68,0.068
bm25,13,1000,strict_eq2,98,0.098
bm25,14,1000,strict_eq2,47,0.047
bm25,15,1000,strict_eq2,7,0.007
bm25,16,1000,strict_eq2,53,0.053
bm25,17,1000,strict_eq2,144,0.144
bm25,18,1000,strict_eq2,190,0.19
bm25,19,1000,strict_eq2,23,0.023
bm25,20,1000,strict_eq2,313,0.313
bm25,21,1000,strict_eq2,172,0.172
bm25,22,1000,strict_eq2,186,0.186
bm25,23,1000,strict_eq2,118,0.118
bm25,24,1000,strict_eq2,216,0.216
bm25,25,1000,strict_eq2,87,0.087
bm25,26,1000,strict_eq2,209,0.209
bm25,27,1000,strict_eq2,227,0.227
bm25,28,1000,strict_eq2,363,0.363
bm25,29,1000,strict_eq2,199,0.199
bm25,30,1000,strict_eq2,150,0.15
bm25,31,1000,strict_eq2,34,0.034
bm25,32,1000,strict_eq2,28,0.028
bm25,33,1000,strict_eq2,94,0.094
bm25,34,1000,strict_eq2,36,0.036
bm25,35,1000,strict_eq2,111,0.111
bm25,36,1000,strict_eq2,379,0.379
bm25,37,1000,strict_eq2,231,0.231
bm25,38,1000,strict_eq2,214,0.214
bm25,39,1000,strict_eq2,349,0.349
bm25,40,1000,strict_eq2,278,0.278
bm25,41,1000,strict_eq2,97,0.097
bm25,42,1000,strict_eq2,170,0.17
bm25,43,1000,strict_eq2,127,0.127
bm25,44,1000,strict_eq2,216,0.216
bm25,45,1000,strict_eq2,281,0.281
bm25,46,1000,strict_eq2,49,0.049
bm25,47,1000,strict_eq2,143,0.143
bm25,48,1000,strict_eq2,142,0.142
bm25,49,1000,strict_eq2,46,0.046
bm25,50,1000,strict_eq2,29,0.029
bm25,1,1000,relaxed_ge1,165,0.165
bm25,2,1000,relaxed_ge1,94,0.094
bm25,3,1000,relaxed_ge1,216,0.216
bm25,4,1000,relaxed_ge1,133,0.133
bm25,5,1000,relaxed_ge1,271,0.271
bm25,6,1000,relaxed_ge1,309,0.309
bm25,7,1000,relaxed_ge1,313,0.313
bm25,8,1000,relaxed_ge1,156,0.156
bm25,9,1000,relaxed_ge1,110,0.11
bm25,10,1000,relaxed_ge1,271,0.271
bm25,11,1000,relaxed_ge1,143,0.143
bm25,12,1000,relaxed_ge1,166,0.166
bm25,13,1000,relaxed_ge1,246,0.246
bm25,14,1000,relaxed_ge1,90,0.09
bm25,15,1000,relaxed_ge1,17,0.017
bm25,16,1000,relaxed_ge1,95,0.095
bm25,17,1000,relaxed_ge1,307,0.307
bm25,18,1000,relaxed_ge1,345,0.345
bm25,19,1000,relaxed_ge1,62,0.062
bm25,20,1000,relaxed_ge1,415,0.415
bm25,21,1000,relaxed_ge1,190,0.19
bm25,22,1000,relaxed_ge1,254,0.254
bm25,23,1000,relaxed_ge1,183,0.183
bm25,24,1000,relaxed_ge1,272,0.272
bm25,25,1000,relaxed_ge1,117,0.117
bm25,26,1000,relaxed_ge1,243,0.243
bm25,27,1000,relaxed_ge1,388,0.388
bm25,28,1000,relaxed_ge1,383,0.383
bm25,29,1000,relaxed_ge1,306,0.306
bm25,30,1000,relaxed_ge1,252,0.252
bm25,31,1000,relaxed_ge1,99,0.099
bm25,32,1000,relaxed_ge1,47,0.047
bm25,33,1000,relaxed_ge1,140,0.14
bm25,34,1000,relaxed_ge1,57,0.057
bm25,35,1000,relaxed_ge1,118,0.118
bm25,36,1000,relaxed_ge1,430,0.43
bm25,37,1000,relaxed_ge1,307,0.307
bm25,38,1000,relaxed_ge1,392,0.392
bm25,39,1000,relaxed_ge1,594,0.594
bm25,40,1000,relaxed_ge1,374,0.374
bm25,41,1000,relaxed_ge1,121,0.121
bm25,42,1000,relaxed_ge1,188,0.188
bm25,43,1000,relaxed_ge1,162,0.162
bm25,44,1000,relaxed_ge1,298,0.298
bm25,45,1000,relaxed_ge1,505,0.505
bm25,46,1000,relaxed_ge1,88,0.088
bm25,47,1000,relaxed_ge1,188,0.188
bm25,48,1000,relaxed_ge1,222,0.222
bm25,49,1000,relaxed_ge1,93,0.093
bm25,50,1000,relaxed_ge1,76,0.076
mpnet,1,20,strict_eq2,0,0
mpnet,2,20,strict_eq2,1,0.05
mpnet,3,20,strict_eq2,4,0.2
mpnet,4,20,strict_eq2,4,0.2
mpnet,5,20,strict_eq2,5,0.25
mpnet,6,20,strict_eq2,7,0.35
mpnet,7,20,strict_eq2,7,0.35
mpnet,8,20,strict_eq2,9,0.45
mpnet,9,20,strict_eq2,4,0.2
mpnet,10,20,strict_eq2,9,0.45
mpnet,11,20,strict_eq2,2,0.1
mpnet,12,20,strict_eq2,2,0.1
mpnet,13,20,strict_eq2,0,0
mpnet,14,20,strict_eq2,9,0.45
mpnet,15,20,strict_eq2,2,0.1
mpnet,16,20,strict_eq2,17,0.85
mpnet,17,20,strict_eq2,6,0.3
mpnet,18,20,strict_eq2,11,0.55
mpnet,19,20,strict_eq2,6,0.3
mpnet,20,20,strict_eq2,19,0.95
mpnet,21,20,strict_eq2,4,0.2
mpnet,22,20,strict_eq2,13,0.65
mpnet,23,20,strict_eq2,13,0.65
mpnet,24,20,strict_eq2,8,0.4
mpnet,25,20,strict_eq2,9,0.45
mpnet,26,20,strict_eq2,3,0.15
mpnet,27,20,strict_eq2,15,0.75
mpnet,28,20,strict_eq2,10,0.5
mpnet,29,20,strict_eq2,11,0.55
mpnet,30,20,strict_eq2,14,0.7
mpnet,31,20,strict_eq2,0,0
mpnet,32,20,strict_eq2,0,0
mpnet,33,20,strict_eq2,5,0.25
mpnet,34,20,strict_eq2,2,0.1
mpnet,35,20,strict_eq2,2,0.1
mpnet,36,20,strict_eq2,15,0.75
mpnet,37,20,strict_eq2,9,0.45
mpnet,38,20,strict_eq2,6,0.3
mpnet,39,20,strict_eq2,16,0.8
mpnet,40,20,strict_eq2,18,0.9
mpnet,41,20,strict_eq2,18,0.9
mpnet,42,20,strict_eq2,19,0.95
mpnet,43,20,strict_eq2,19,0.95
mpnet,44,20,strict_eq2,17,0.85
mpnet,45,20,strict_eq2,4,0.2
mpnet,46,20,strict_eq2,17,0.85
mpnet,47,20,strict_eq2,6,0.3
mpnet,48,20,strict_eq2,15,0.75
mpnet,49,20,strict_eq2,10,0.5
mpnet,50,20,strict_eq2,4,0.2
mpnet,1,20,relaxed_ge1,2,0.1
mpnet,2,20,relaxed_ge1,1,0.05
mpnet,3,20,relaxed_ge1,5,0.25
mpnet,4,20,relaxed_ge1,7,0.35
mpnet,5,20,relaxed_ge1,6,0.3
mpnet,6,20,relaxed_ge1,10,0.5
mpnet,7,20,relaxed_ge1,7,0.35
mpnet,8,20,relaxed_ge1,9,0.45
mpnet,9,20,relaxed_ge1,6,0.3
mpnet,10,20,relaxed_ge1,9,0.45
mpnet,11,20,relaxed_ge1,3,0.15
mpnet,12,20,relaxed_ge1,3,0.15
mpnet,13,20,relaxed_ge1,4,0.2
mpnet,14,20,relaxed_ge1,12,0.6
mpnet,15,20,relaxed_ge1,2,0.1
mpnet,16,20,relaxed_ge1,19,0.95
mpnet,17,20,relaxed_ge1,10,0.5
mpnet,18,20,relaxed_ge1,14,0.7
mpnet,19,20,relaxed_ge1,11,0.55
mpnet,20,20,relaxed_ge1,19,0.95
mpnet,21,20,relaxed_ge1,6,0.3
mpnet,22,20,relaxed_ge1,14,0.7
mpnet,23,20,relaxed_ge1,17,0.85
mpnet,24,20,relaxed_ge1,12,0.6
mpnet,25,20,relaxed_ge1,10,0.5
mpnet,26,20,relaxed_ge1,3,0.15
mpnet,27,20,relaxed_ge1,16,0.8
mpnet,28,20,relaxed_ge1,10,0.5
mpnet,29,20,relaxed_ge1,12,0.6
mpnet,30,20,relaxed_ge1,15,0.75
mpnet,31,20,relaxed_ge1,1,0.05
mpnet,32,20,relaxed_ge1,0,0
mpnet,33,20,relaxed_ge1,7,0.35
mpnet,34,20,relaxed_ge1,3,0.15
mpnet,35,20,relaxed_ge1,4,0.2
mpnet,36,20,relaxed_ge1,16,0.8
mpnet,37,20,relaxed_ge1,11,0.55
mpnet,38,20,relaxed_ge1,10,0.5
mpnet,39,20,relaxed_ge1,20,1
mpnet,40,20,relaxed_ge1,20,1
mpnet,41,20,relaxed_ge1,19,0.95
mpnet,42,20,relaxed_ge1,20,1
mpnet,43,20,relaxed_ge1,20,1
mpnet,44,20,relaxed_ge1,19,0.95
mpnet,45,20,relaxed_ge1,19,0.95
mpnet,46,20,relaxed_ge1,20,1
mpnet,47,20,relaxed_ge1,6,0.3
mpnet,48,20,relaxed_ge1,18,0.9
mpnet,49,20,relaxed_ge1,11,0.55
mpnet,50,20,relaxed_ge1,8,0.4
mpnet,1,50,strict_eq2,0,0
mpnet,2,50,strict_eq2,1,0.02
mpnet,3,50,strict_eq2,5,0.1
mpnet,4,50,strict_eq2,7,0.14
mpnet,5,50,strict_eq2,8,0.16
mpnet,6,50,strict_eq2,19,0.38
mpnet,7,50,strict_eq2,26,0.52
mpnet,8,50,strict_eq2,13,0.26
mpnet,9,50,strict_eq2,9,0.18
mpnet,10,50,strict_eq2,25,0.5
mpnet,11,50,strict_eq2,6,0.12
mpnet,12,50,strict_eq2,7,0.14
mpnet,13,50,strict_eq2,2,0.04
mpnet,14,50,strict_eq2,11,0.22
mpnet,15,50,strict_eq2,2,0.04
mpnet,16,50,strict_eq2,30,0.6
mpnet,17,50,strict_eq2,13,0.26
mpnet,18,50,strict_eq2,24,0.48
mpnet,19,50,strict_eq2,9,0.18
mpnet,20,50,strict_eq2,44,0.88
mpnet,21,50,strict_eq2,14,0.28
mpnet,22,50,strict_eq2,20,0.4
mpnet,23,50,strict_eq2,29,0.58
mpnet,24,50,strict_eq2,22,0.44
mpnet,25,50,strict_eq2,21,0.42
mpnet,26,50,strict_eq2,15,0.3
mpnet,27,50,strict_eq2,26,0.52
mpnet,28,50,strict_eq2,28,0.56
mpnet,29,50,strict_eq2,22,0.44
mpnet,30,50,strict_eq2,35,0.7
mpnet,31,50,strict_eq2,3,0.06
mpnet,32,50,strict_eq2,0,0
mpnet,33,50,strict_eq2,12,0.24
mpnet,34,50,strict_eq2,4,0.08
mpnet,35,50,strict_eq2,4,0.08
mpnet,36,50,strict_eq2,32,0.64
mpnet,37,50,strict_eq2,24,0.48
mpnet,38,50,strict_eq2,22,0.44
mpnet,39,50,strict_eq2,41,0.82
mpnet,40,50,strict_eq2,43,0.86
mpnet,41,50,strict_eq2,41,0.82
mpnet,42,50,strict_eq2,47,0.94
mpnet,43,50,strict_eq2,34,0.68
mpnet,44,50,strict_eq2,42,0.84
mpnet,45,50,strict_eq2,15,0.3
mpnet,46,50,strict_eq2,24,0.48
mpnet,47,50,strict_eq2,16,0.32
mpnet,48,50,strict_eq2,36,0.72
mpnet,49,50,strict_eq2,17,0.34
mpnet,50,50,strict_eq2,8,0.16
mpnet,1,50,relaxed_ge1,4,0.08
mpnet,2,50,relaxed_ge1,1,0.02
mpnet,3,50,relaxed_ge1,8,0.16
mpnet,4,50,relaxed_ge1,11,0.22
mpnet,5,50,relaxed_ge1,12,0.24
mpnet,6,50,relaxed_ge1,23,0.46
mpnet,7,50,relaxed_ge1,26,0.52
mpnet,8,50,relaxed_ge1,16,0.32
mpnet,9,50,relaxed_ge1,14,0.28
mpnet,10,50,relaxed_ge1,30,0.6
mpnet,11,50,relaxed_ge1,9,0.18
mpnet,12,50,relaxed_ge1,13,0.26
mpnet,13,50,relaxed_ge1,9,0.18
mpnet,14,50,relaxed_ge1,16,0.32
mpnet,15,50,relaxed_ge1,3,0.06
mpnet,16,50,relaxed_ge1,40,0.8
mpnet,17,50,relaxed_ge1,21,0.42
mpnet,18,50,relaxed_ge1,33,0.66
mpnet,19,50,relaxed_ge1,20,0.4
mpnet,20,50,relaxed_ge1,44,0.88
mpnet,21,50,relaxed_ge1,18,0.36
mpnet,22,50,relaxed_ge1,22,0.44
mpnet,23,50,relaxed_ge1,35,0.7
mpnet,24,50,relaxed_ge1,26,0.52
mpnet,25,50,relaxed_ge1,26,0.52
mpnet,26,50,relaxed_ge1,15,0.3
mpnet,27,50,relaxed_ge1,30,0.6
mpnet,28,50,relaxed_ge1,28,0.56
mpnet,29,50,relaxed_ge1,25,0.5
mpnet,30,50,relaxed_ge1,38,0.76
mpnet,31,50,relaxed_ge1,4,0.08
mpnet,32,50,relaxed_ge1,0,0
mpnet,33,50,relaxed_ge1,18,0.36
mpnet,34,50,relaxed_ge1,8,0.16
mpnet,35,50,relaxed_ge1,7,0.14
mpnet,36,50,relaxed_ge1,33,0.66
mpnet,37,50,relaxed_ge1,33,0.66
mpnet,38,50,relaxed_ge1,29,0.58
mpnet,39,50,relaxed_ge1,49,0.98
mpnet,40,50,relaxed_ge1,48,0.96
mpnet,41,50,relaxed_ge1,42,0.84
mpnet,42,50,relaxed_ge1,50,1
mpnet,43,50,relaxed_ge1,37,0.74
mpnet,44,50,relaxed_ge1,45,0.9
mpnet,45,50,relaxed_ge1,39,0.78
mpnet,46,50,relaxed_ge1,32,0.64
mpnet,47,50,relaxed_ge1,16,0.32
mpnet,48,50,relaxed_ge1,40,0.8
mpnet,49,50,relaxed_ge1,22,0.44
mpnet,50,50,relaxed_ge1,20,0.4
mpnet,1,100,strict_eq2,3,0.03
mpnet,2,100,strict_eq2,11,0.11
mpnet,3,100,strict_eq2,16,0.16
mpnet,4,100,strict_eq2,14,0.14
mpnet,5,100,strict_eq2,19,0.19
mpnet,6,100,strict_eq2,35,0.35
mpnet,7,100,strict_eq2,46,0.46
mpnet,8,100,strict_eq2,25,0.25
mpnet,9,100,strict_eq2,15,0.15
mpnet,10,100,strict_eq2,46,0.46
mpnet,11,100,strict_eq2,9,0.09
mpnet,12,100,strict_eq2,12,0.12
mpnet,13,100,strict_eq2,2,0.02
mpnet,14,100,strict_eq2,13,0.13
mpnet,15,100,strict_eq2,4,0.04
mpnet,16,100,strict_eq2,42,0.42
mpnet,17,100,strict_eq2,29,0.29
mpnet,18,100,strict_eq2,53,0.53
mpnet,19,100,strict_eq2,13,0.13
mpnet,20,100,strict_eq2,86,0.86
mpnet,21,100,strict_eq2,26,0.26
