method,baseline,k,stratum,n_queries,n_nonempty_queries,n_pairs,n_judged,n_unjudged,n_explicit_minus1,n_relevant_strict,n_relevant_relaxed,pooled_judged_fraction,pooled_hole_fraction,pooled_observed_precision_strict,pooled_observed_precision_relaxed,macro_nonempty_judged_fraction,macro_nonempty_hole_fraction,macro_nonempty_observed_precision_strict,macro_nonempty_observed_precision_relaxed
direct_minmax,bm25,1000,method_only,50,50,14714,3351,11363,0,1618,2401,0.227742286258,0.772257713742,0.109963300258,0.163177925785,0.239435909778,0.760564090222,0.118316876662,0.176344482211
direct_minmax,bm25,1000,bm25_only,50,50,14714,1796,12918,0,176,423,0.122060622536,0.877939377464,0.0119613973087,0.0287481310317,0.126283497758,0.873716502242,0.0151838089394,0.0345877477127
uniform_random,bm25,20,shared,50,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1
uniform_random,bm25,20,method_only,50,50,999,3,996,0,0,0,0.003003003003,0.996996996997,0,0,0.003,0.997,0,0
uniform_random,bm25,20,bm25_only,50,50,999,927,72,0,486,641,0.927927927928,0.0720720720721,0.486486486486,0.641641641642,0.927894736842,0.0721052631579,0.486789473684,0.641842105263
uniform_random,bm25,50,shared,50,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1
uniform_random,bm25,50,method_only,50,50,2499,12,2487,0,1,4,0.00480192076831,0.995198079232,0.000400160064026,0.0016006402561,0.0048,0.9952,0.0004,0.0016
uniform_random,bm25,50,bm25_only,50,50,2499,2165,334,0,1053,1452,0.866346538615,0.133653461385,0.421368547419,0.581032412965,0.866367346939,0.133632653061,0.42147755102,0.581151020408
uniform_random,bm25,100,shared,50,3,3,3,0,0,2,2,1,0,0.666666666667,0.666666666667,1,0,0.666666666667,0.666666666667
uniform_random,bm25,100,method_only,50,50,4997,30,4967,0,2,9,0.0060036021613,0.993996397839,0.000400240144086,0.00180108064839,0.00600202020202,0.993997979798,0.0004,0.0018
uniform_random,bm25,100,bm25_only,50,50,4997,4017,980,0,1854,2592,0.803882329398,0.196117670602,0.371022613568,0.518711226736,0.803945454545,0.196054545455,0.371119191919,0.518812121212
uniform_random,bm25,1000,shared,50,50,300,117,183,0,50,75,0.39,0.61,0.166666666667,0.25,0.394802974803,0.605197025197,0.163270784771,0.235868908869
uniform_random,bm25,1000,method_only,50,50,49700,291,49409,0,35,76,0.00585513078471,0.994144869215,0.000704225352113,0.0015291750503,0.00585316082155,0.994146839178,0.00070386375918,0.00152835169008
uniform_random,bm25,1000,bm25_only,50,50,49700,18493,31207,0,7243,10936,0.372092555332,0.627907444668,0.145734406439,0.220040241449,0.37209050625,0.62790949375,0.145722867798,0.220042190863
direct_mmr,bm25,20,shared,50,11,15,11,4,0,3,5,0.733333333333,0.266666666667,0.2,0.333333333333,0.742424242424,0.257575757576,0.272727272727,0.409090909091
direct_mmr,bm25,20,method_only,50,50,985,138,847,0,32,45,0.140101522843,0.859898477157,0.0324873096447,0.0456852791878,0.140787753698,0.859212246302,0.0325507395941,0.045603371173
direct_mmr,bm25,20,bm25_only,50,50,985,917,68,0,484,637,0.930964467005,0.0690355329949,0.491370558376,0.646700507614,0.930205366357,0.0697946336429,0.489674578603,0.644910560716
direct_mmr,bm25,50,shared,50,31,63,47,16,0,9,17,0.746031746032,0.253968253968,0.142857142857,0.269841269841,0.725268817204,0.274731182796,0.198924731183,0.35752688172
direct_mmr,bm25,50,method_only,50,50,2437,279,2158,0,53,77,0.114485022569,0.885514977431,0.0217480508822,0.0315962248666,0.114509674527,0.885490325473,0.0217559549506,0.0316067220659
direct_mmr,bm25,50,bm25_only,50,50,2437,2119,318,0,1045,1436,0.869511694707,0.130488305293,0.428805908904,0.589249076734,0.868752900019,0.131247099981,0.426664811703,0.586931409357
direct_mmr,bm25,100,shared,50,46,184,109,75,0,19,34,0.592391304348,0.407608695652,0.103260869565,0.184782608696,0.629209799862,0.370790200138,0.146264665286,0.274482401656
direct_mmr,bm25,100,method_only,50,50,4816,511,4305,0,93,161,0.106104651163,0.893895348837,0.0193106312292,0.0334302325581,0.105969169709,0.894030830291,0.0191333703851,0.033148518485
direct_mmr,bm25,100,bm25_only,50,50,4816,3911,905,0,1837,2560,0.812084717608,0.187915282392,0.381436877076,0.531561461794,0.810471811879,0.189528188121,0.378302201147,0.527863303053
direct_mmr,bm25,1000,shared,50,50,11162,4077,7085,0,1432,2211,0.36525712238,0.63474287762,0.128292420713,0.198082780864,0.36230667501,0.63769332499,0.124892287242,0.193183280773
direct_mmr,bm25,1000,method_only,50,50,38838,2727,36111,0,727,1281,0.0702147381431,0.929785261857,0.0187187805757,0.0329831608219,0.0703508813292,0.929649118671,0.0187732365751,0.0331184615307
direct_mmr,bm25,1000,bm25_only,50,50,38838,14533,24305,0,5861,8800,0.374195375663,0.625804624337,0.150908903651,0.226582213296,0.376057985014,0.623942014986,0.152254862622,0.228803521786
direct_mmr_rerank,bm25,20,shared,50,22,38,31,7,0,7,10,0.815789473684,0.184210526316,0.184210526316,0.263157894737,0.791666666667,0.208333333333,0.185606060606,0.227272727273
direct_mmr_rerank,bm25,20,method_only,50,50,962,309,653,0,71,117,0.321205821206,0.678794178794,0.0738045738046,0.121621621622,0.320542397661,0.679457602339,0.0725864293086,0.119733660131
direct_mmr_rerank,bm25,20,bm25_only,50,50,962,897,65,0,480,632,0.932432432432,0.0675675675676,0.49896049896,0.656964656965,0.931343395253,0.0686566047472,0.496234692122,0.653729360165
direct_mmr_rerank,bm25,50,shared,50,46,187,143,44,0,25,44,0.764705882353,0.235294117647,0.133689839572,0.235294117647,0.788992408558,0.211007591442,0.148455831608,0.307936507937
direct_mmr_rerank,bm25,50,method_only,50,50,2313,684,1629,0,166,277,0.295719844358,0.704280155642,0.0717682663208,0.119757890186,0.296199472956,0.703800527044,0.0707759352697,0.119000386513
direct_mmr_rerank,bm25,50,bm25_only,50,50,2313,2023,290,0,1029,1409,0.874621703415,0.125378296585,0.444876783398,0.609165585819,0.873885550642,0.126114449358,0.441634827048,0.605457335801
direct_mmr_rerank,bm25,100,shared,50,50,606,419,187,0,108,166,0.691419141914,0.308580858086,0.178217821782,0.273927392739,0.696925224705,0.303074775295,0.200158450392,0.314733071476
direct_mmr_rerank,bm25,100,method_only,50,50,4394,1266,3128,0,391,628,0.28812016386,0.71187983614,0.0889849795175,0.142922166591,0.286322370823,0.713677629177,0.0872832601266,0.140716853262
direct_mmr_rerank,bm25,100,bm25_only,50,50,4394,3601,793,0,1748,2428,0.819526627219,0.180473372781,0.397815202549,0.552571688666,0.818405067305,0.181594932695,0.394199334922,0.547612555945
direct_mmr_rerank,bm25,1000,shared,50,50,35598,16950,18648,0,7152,10665,0.476150345525,0.523849654475,0.200910163492,0.299595482892,0.472153250832,0.527846749168,0.193205244878,0.2882334357
direct_mmr_rerank,bm25,1000,method_only,50,50,14402,3268,11134,0,1563,2321,0.22691292876,0.77308707124,0.108526593529,0.161158172476,0.243472206388,0.756527793612,0.119803591017,0.178616728877
direct_mmr_rerank,bm25,1000,bm25_only,50,50,14402,1660,12742,0,141,346,0.115261769199,0.884738230801,0.00979030690182,0.0240244410499,0.123835405014,0.876164594986,0.0134250715666,0.0320810989651
query_expansion,bm25,20,shared,50,50,591,570,21,0,366,465,0.964467005076,0.0355329949239,0.619289340102,0.786802030457,0.966382565147,0.0336174348527,0.616447185168,0.780576299517
query_expansion,bm25,20,method_only,50,50,409,370,39,0,256,323,0.904645476773,0.0953545232274,0.625916870416,0.789731051345,0.914247113997,0.0857528860029,0.628750721501,0.80029004329
query_expansion,bm25,20,bm25_only,50,50,409,358,51,0,121,177,0.875305623472,0.124694376528,0.295843520782,0.432762836186,0.8852496115,0.1147503885,0.31869011544,0.471847485847
query_expansion,bm25,50,shared,50,50,1456,1383,73,0,842,1087,0.949862637363,0.0501373626374,0.578296703297,0.746565934066,0.944710143175,0.0552898568253,0.562069462701,0.733688542636
query_expansion,bm25,50,method_only,50,50,1044,887,157,0,561,714,0.849616858238,0.150383141762,0.537356321839,0.683908045977,0.8668035989,0.1331964011,0.564325638596,0.704824899506
query_expansion,bm25,50,bm25_only,50,50,1044,783,261,0,212,366,0.75,0.25,0.2030651341,0.350574712644,0.782907621702,0.217092378298,0.228905955548,0.387137530979
query_expansion,bm25,100,shared,50,50,2979,2712,267,0,1533,2020,0.910372608258,0.0896273917422,0.514602215509,0.678079892581,0.903263143259,0.0967368567412,0.496343560245,0.662099223962
query_expansion,bm25,100,method_only,50,50,2021,1503,518,0,855,1150,0.743691241959,0.256308758041,0.423057892133,0.569025235032,0.763131296053,0.236868703947,0.440204565089,0.585053180382
query_expansion,bm25,100,bm25_only,50,50,2021,1308,713,0,323,574,0.64720435428,0.35279564572,0.159821870361,0.284017812964,0.679178847655,0.320821152345,0.187383744839,0.319526796135
query_expansion,bm25,1000,shared,50,50,30960,15830,15130,0,6831,10058,0.511304909561,0.488695090439,0.220639534884,0.324870801034,0.509319878339,0.490680121661,0.215286727513,0.316614002137
query_expansion,bm25,1000,method_only,50,50,19040,2784,16256,0,1148,1751,0.146218487395,0.853781512605,0.0602941176471,0.0919642857143,0.144292017602,0.855707982398,0.0595614164792,0.0920813731669
query_expansion,bm25,1000,bm25_only,50,50,19040,2780,16260,0,462,953,0.146008403361,0.853991596639,0.0242647058824,0.0500525210084,0.153018683525,0.846981316475,0.0274276268885,0.0571687890199
retrieval_random,bm25,20,shared,50,49,202,195,7,0,111,136,0.965346534653,0.0346534653465,0.549504950495,0.673267326733,0.959669582119,0.0403304178814,0.566982507289,0.691253644315
retrieval_random,bm25,20,method_only,50,50,798,658,140,0,392,502,0.824561403509,0.175438596491,0.491228070175,0.629072681704,0.828333649924,0.171666350076,0.49358825892,0.6320610236
retrieval_random,bm25,20,bm25_only,50,50,798,733,65,0,376,506,0.918546365915,0.0814536340852,0.471177944862,0.634085213033,0.922867828508,0.0771321714921,0.475986361076,0.637979389462
retrieval_random,bm25,50,shared,50,50,492,452,40,0,248,315,0.918699186992,0.0813008130081,0.50406504065,0.640243902439,0.901306915307,0.0986930846931,0.485249000999,0.617985098235
retrieval_random,bm25,50,method_only,50,50,2008,1368,640,0,712,965,0.681274900398,0.318725099602,0.354581673307,0.480577689243,0.686071263098,0.313928736902,0.358114694094,0.484592017328
retrieval_random,bm25,50,bm25_only,50,50,2008,1714,294,0,806,1138,0.853585657371,0.146414342629,0.401394422311,0.566733067729,0.858733764498,0.141266235502,0.407705087547,0.573793037829
retrieval_random,bm25,100,shared,50,50,942,811,131,0,410,542,0.86093418259,0.13906581741,0.435244161359,0.575371549894,0.848507878824,0.151492121176,0.422471127519,0.560586435727
retrieval_random,bm25,100,method_only,50,50,4058,2075,1983,0,1015,1431,0.511335633317,0.488664366683,0.250123213406,0.35263676688,0.513621615365,0.486378384635,0.251736367049,0.354521222803
retrieval_random,bm25,100,bm25_only,50,50,4058,3209,849,0,1446,2052,0.79078363726,0.20921636274,0.356333169049,0.505667816658,0.794738659011,0.205261340989,0.360101664873,0.510420398525
retrieval_random,bm25,1000,shared,50,50,9348,3742,5606,0,1548,2226,0.400299529311,0.599700470689,0.165596919127,0.238125802311,0.395446911301,0.604553088699,0.16072211506,0.232176373297
retrieval_random,bm25,1000,method_only,50,50,40652,3245,37407,0,969,1658,0.0798238709043,0.920176129096,0.0238364656105,0.0407852012201,0.0799260808223,0.920073919178,0.0239653232542,0.0409365860985
retrieval_random,bm25,1000,bm25_only,50,50,40652,14868,25784,0,5745,8785,0.365738463052,0.634261536948,0.141321460199,0.216102528781,0.367346960974,0.632653039026,0.142573637299,0.217650932262
splade,bm25,20,shared,50,47,261,257,4,0,195,228,0.984674329502,0.0153256704981,0.747126436782,0.873563218391,0.978014184397,0.0219858156028,0.736693684566,0.86757852077
splade,bm25,20,method_only,50,50,739,635,104,0,405,512,0.859269282815,0.140730717185,0.548037889039,0.692828146143,0.867646213608,0.132353786392,0.558527066071,0.701114920425
splade,bm25,20,bm25_only,50,50,739,671,68,0,292,414,0.90798376184,0.0920162381597,0.395128552097,0.560216508796,0.913890981224,0.0861090187762,0.418224296258,0.587750095793
splade,bm25,50,shared,50,50,744,731,13,0,515,638,0.98252688172,0.0174731182796,0.692204301075,0.85752688172,0.970489177489,0.0295108225108,0.649985846219,0.82521342072
splade,bm25,50,method_only,50,50,1756,1339,417,0,771,993,0.762528473804,0.237471526196,0.439066059226,0.565489749431,0.780184082807,0.219815917193,0.461485762137,0.586671694283
splade,bm25,50,bm25_only,50,50,1756,1435,321,0,539,815,0.817198177677,0.182801822323,0.3069476082,0.464123006834,0.832121430823,0.167878569177,0.33035193036,0.493815289998
splade,bm25,100,shared,50,50,1610,1551,59,0,991,1263,0.963354037267,0.0366459627329,0.615527950311,0.784472049689,0.956606818304,0.0433931816959,0.573905290864,0.750217100058
splade,bm25,100,method_only,50,50,3390,2131,1259,0,1168,1542,0.628613569322,0.371386430678,0.344542772861,0.454867256637,0.650408051329,0.349591948671,0.366553878845,0.478412718255
splade,bm25,100,bm25_only,50,50,3390,2469,921,0,865,1331,0.728318584071,0.271681415929,0.255162241888,0.392625368732,0.745210413706,0.254789586294,0.275642144368,0.420536872364
splade,bm25,1000,shared,50,50,19332,11128,8204,0,5643,7989,0.575625905235,0.424374094765,0.291899441341,0.413252638113,0.57303497644,0.42696502356,0.268379998254,0.383947338075
splade,bm25,1000,method_only,50,50,30668,4805,25863,0,1891,2908,0.156677970523,0.843322029477,0.0616603625929,0.0948219642624,0.160443482079,0.839556517921,0.0651787011446,0.100437769763
splade,bm25,1000,bm25_only,50,50,30668,7482,23186,0,1650,3022,0.24396765358,0.75603234642,0.0538020086083,0.0985391939481,0.253619895083,0.746380104917,0.0620378279677,0.112312032215
bge,bm25,20,shared,50,47,221,217,4,0,171,201,0.981900452489,0.0180995475113,0.773755656109,0.909502262443,0.989039329465,0.0109606705351,0.804859384115,0.915572134721
bge,bm25,20,method_only,50,50,779,665,114,0,497,583,0.853658536585,0.146341463415,0.637997432606,0.748395378691,0.857505839448,0.142494160552,0.64589768685,0.751506414982
bge,bm25,20,bm25_only,50,50,779,711,68,0,316,441,0.91270860077,0.0872913992298,0.405648267009,0.566110397946,0.918033372458,0.0819666275417,0.419395751995,0.588987970578
bge,bm25,50,shared,50,49,611,594,17,0,444,529,0.972176759411,0.0278232405892,0.726677577741,0.865793780687,0.969894090275,0.0301059097246,0.72211764597,0.856744978693
bge,bm25,50,method_only,50,50,1889,1417,472,0,956,1183,0.750132345156,0.249867654844,0.506087877184,0.626257278984,0.75710291742,0.24289708258,0.512813039419,0.633741498842
bge,bm25,50,bm25_only,50,50,1889,1572,317,0,610,924,0.83218634198,0.16781365802,0.322922181048,0.489147697194,0.842556787598,0.157443212402,0.339919784025,0.511325874141
bge,bm25,100,shared,50,50,1368,1312,56,0,943,1144,0.959064327485,0.0409356725146,0.68932748538,0.836257309942,0.946447815134,0.0535521848662,0.643099600644,0.80263896269
bge,bm25,100,method_only,50,50,3632,2294,1338,0,1437,1836,0.631607929515,0.368392070485,0.395649779736,0.50550660793,0.644609256396,0.355390743604,0.411578112034,0.521467830036
bge,bm25,100,bm25_only,50,50,3632,2708,924,0,913,1450,0.745594713656,0.254405286344,0.251376651982,0.39922907489,0.758037571206,0.241962428794,0.27267071162,0.427551015839
bge,bm25,1000,shared,50,50,15775,10108,5667,0,5650,7688,0.640760697306,0.359239302694,0.358161648177,0.48735340729,0.640948405871,0.359051594129,0.333445025419,0.46163471846
bge,bm25,1000,method_only,50,50,34225,5382,28843,0,2371,3579,0.157253469686,0.842746530314,0.069276844412,0.104572680789,0.158126458566,0.841873541434,0.0711599575379,0.107000431754
bge,bm25,1000,bm25_only,50,50,34225,8502,25723,0,1643,3323,0.248414901388,0.751585098612,0.0480058436815,0.0970927684441,0.253931021939,0.746068978061,0.0542200569936,0.106982178109
bm25_ce,bm25,20,shared,50,50,299,293,6,0,208,250,0.979933110368,0.0200668896321,0.695652173913,0.836120401338,0.975333333333,0.0246666666667,0.701085137085,0.850826118326
bm25_ce,bm25,20,method_only,50,50,701,619,82,0,373,490,0.88302425107,0.11697574893,0.53209700428,0.699001426534,0.886232963631,0.113767036369,0.535619776336,0.699466503655
bm25_ce,bm25,20,bm25_only,50,50,701,635,66,0,279,392,0.905848787447,0.0941512125535,0.398002853067,0.559201141227,0.909154147796,0.0908458522042,0.414832748005,0.575162110937
bm25_ce,bm25,50,shared,50,50,851,809,42,0,553,698,0.950646298472,0.0493537015276,0.64982373678,0.820211515864,0.943616552608,0.056383447392,0.616485015889,0.790826598758
bm25_ce,bm25,50,method_only,50,50,1649,1288,361,0,698,936,0.781079442086,0.218920557914,0.423286840509,0.567616737417,0.795271155156,0.204728844844,0.445794069306,0.586806696069
bm25_ce,bm25,50,bm25_only,50,50,1649,1357,292,0,501,755,0.822922983626,0.177077016374,0.303820497271,0.457853244391,0.835216384269,0.164783615731,0.328181689096,0.485053972262
bm25_ce,bm25,100,shared,50,50,1911,1783,128,0,1099,1413,0.933019361591,0.0669806384092,0.575091575092,0.739403453689,0.926866551986,0.0731334480144,0.539346163047,0.708657000318
bm25_ce,bm25,100,method_only,50,50,3089,2009,1080,0,1028,1398,0.650372288767,0.349627711233,0.332793784396,0.45257364843,0.66656832668,0.33343167332,0.354660227067,0.473934515734
bm25_ce,bm25,100,bm25_only,50,50,3089,2237,852,0,757,1181,0.72418258336,0.27581741664,0.245063127226,0.382324376821,0.74069682185,0.25930317815,0.270425791124,0.412154597477
bm25_ce,bm25,1000,shared,50,50,50000,18610,31390,0,7293,11011,0.3722,0.6278,0.14586,0.22022,0.3722,0.6278,0.14586,0.22022
bm25_ce,bm25,1000,method_only,50,0,0,0,0,0,0,0,,,,,,,,
bm25_ce,bm25,1000,bm25_only,50,0,0,0,0,0,0,0,,,,,,,,
