method,query_id,label_rule,precision_k,recall_k,n_qrel_relevant,n_observed_relevant_at_precision_k,n_observed_relevant_at_recall_k,observed_precision,observed_recall
bm25,31,strict_eq2,20,1000,148,2,34,0.1,0.22972972973
bm25,32,strict_eq2,20,1000,144,6,28,0.3,0.194444444444
bm25,33,strict_eq2,20,1000,168,8,94,0.4,0.559523809524
bm25,34,strict_eq2,20,1000,104,5,36,0.25,0.346153846154
bm25,35,strict_eq2,20,1000,188,9,111,0.45,0.590425531915
bm25,36,strict_eq2,20,1000,508,18,379,0.9,0.746062992126
bm25,37,strict_eq2,20,1000,317,9,231,0.45,0.728706624606
bm25,38,strict_eq2,20,1000,689,11,214,0.55,0.310595065312
bm25,39,strict_eq2,20,1000,460,17,349,0.85,0.758695652174
bm25,40,strict_eq2,20,1000,348,20,278,1,0.798850574713
bm25,41,strict_eq2,20,1000,230,15,97,0.75,0.421739130435
bm25,42,strict_eq2,20,1000,222,12,170,0.6,0.765765765766
bm25,43,strict_eq2,20,1000,166,13,127,0.65,0.765060240964
bm25,44,strict_eq2,20,1000,318,14,216,0.7,0.679245283019
bm25,45,strict_eq2,20,1000,490,11,281,0.55,0.573469387755
bm25,46,strict_eq2,20,1000,85,9,49,0.45,0.576470588235
bm25,47,strict_eq2,20,1000,317,4,143,0.2,0.451104100946
bm25,48,strict_eq2,20,1000,257,15,142,0.75,0.552529182879
bm25,49,strict_eq2,20,1000,126,3,46,0.15,0.365079365079
bm25,50,strict_eq2,20,1000,47,7,29,0.35,0.617021276596
bm25,1,relaxed_ge1,20,1000,637,11,165,0.55,0.259026687598
bm25,2,relaxed_ge1,20,1000,314,7,94,0.35,0.299363057325
bm25,3,relaxed_ge1,20,1000,628,7,216,0.35,0.343949044586
bm25,4,relaxed_ge1,20,1000,529,3,133,0.15,0.251417769376
bm25,5,relaxed_ge1,20,1000,614,16,271,0.8,0.441368078176
bm25,6,relaxed_ge1,20,1000,959,17,309,0.85,0.322210636079
bm25,7,relaxed_ge1,20,1000,481,14,313,0.7,0.650727650728
bm25,8,relaxed_ge1,20,1000,632,12,156,0.6,0.246835443038
bm25,9,relaxed_ge1,20,1000,191,4,110,0.2,0.575916230366
bm25,10,relaxed_ge1,20,1000,475,18,271,0.9,0.570526315789
bm25,11,relaxed_ge1,20,1000,415,10,143,0.5,0.344578313253
bm25,12,relaxed_ge1,20,1000,616,10,166,0.5,0.269480519481
bm25,13,relaxed_ge1,20,1000,867,16,246,0.8,0.283737024221
bm25,14,relaxed_ge1,20,1000,255,16,90,0.8,0.352941176471
bm25,15,relaxed_ge1,20,1000,423,4,17,0.2,0.0401891252955
bm25,16,relaxed_ge1,20,1000,387,6,95,0.3,0.245478036176
bm25,17,relaxed_ge1,20,1000,668,12,307,0.6,0.459580838323
bm25,18,relaxed_ge1,20,1000,628,15,345,0.75,0.549363057325
bm25,19,relaxed_ge1,20,1000,111,14,62,0.7,0.558558558559
bm25,20,relaxed_ge1,20,1000,702,17,415,0.85,0.591168091168
bm25,21,relaxed_ge1,20,1000,630,9,190,0.45,0.301587301587
bm25,22,relaxed_ge1,20,1000,546,16,254,0.8,0.465201465201
bm25,23,relaxed_ge1,20,1000,371,16,183,0.8,0.493261455526
bm25,24,relaxed_ge1,20,1000,404,15,272,0.75,0.673267326733
bm25,25,relaxed_ge1,20,1000,529,3,117,0.15,0.221172022684
bm25,26,relaxed_ge1,20,1000,778,12,243,0.6,0.31233933162
bm25,27,relaxed_ge1,20,1000,849,17,388,0.85,0.457008244994
bm25,28,relaxed_ge1,20,1000,551,18,383,0.9,0.695099818512
bm25,29,relaxed_ge1,20,1000,604,17,306,0.85,0.506622516556
bm25,30,relaxed_ge1,20,1000,370,20,252,1,0.681081081081
bm25,31,relaxed_ge1,20,1000,353,4,99,0.2,0.28045325779
bm25,32,relaxed_ge1,20,1000,216,9,47,0.45,0.217592592593
bm25,33,relaxed_ge1,20,1000,281,14,140,0.7,0.498220640569
bm25,34,relaxed_ge1,20,1000,172,7,57,0.35,0.331395348837
bm25,35,relaxed_ge1,20,1000,218,9,118,0.45,0.54128440367
bm25,36,relaxed_ge1,20,1000,611,19,430,0.95,0.703764320786
bm25,37,relaxed_ge1,20,1000,450,16,307,0.8,0.682222222222
bm25,38,relaxed_ge1,20,1000,1266,12,392,0.6,0.309636650869
bm25,39,relaxed_ge1,20,1000,860,20,594,1,0.690697674419
bm25,40,relaxed_ge1,20,1000,556,20,374,1,0.672661870504
bm25,41,relaxed_ge1,20,1000,311,15,121,0.75,0.389067524116
bm25,42,relaxed_ge1,20,1000,243,15,188,0.75,0.77366255144
bm25,43,relaxed_ge1,20,1000,253,16,162,0.8,0.640316205534
bm25,44,relaxed_ge1,20,1000,483,18,298,0.9,0.616977225673
bm25,45,relaxed_ge1,20,1000,806,18,505,0.9,0.626550868486
bm25,46,relaxed_ge1,20,1000,182,14,88,0.7,0.483516483516
bm25,47,relaxed_ge1,20,1000,420,6,188,0.3,0.447619047619
bm25,48,relaxed_ge1,20,1000,444,16,222,0.8,0.5
bm25,49,relaxed_ge1,20,1000,247,7,93,0.35,0.376518218623
bm25,50,relaxed_ge1,20,1000,137,15,76,0.75,0.554744525547
mpnet,1,strict_eq2,20,1000,305,0,27,0,0.0885245901639
mpnet,2,strict_eq2,20,1000,243,1,97,0.05,0.399176954733
mpnet,3,strict_eq2,20,1000,198,4,70,0.2,0.353535353535
mpnet,4,strict_eq2,20,1000,218,4,71,0.2,0.325688073394
mpnet,5,strict_eq2,20,1000,294,5,95,0.25,0.323129251701
mpnet,6,strict_eq2,20,1000,638,7,244,0.35,0.382445141066
mpnet,7,strict_eq2,20,1000,433,7,316,0.35,0.729792147806
mpnet,8,strict_eq2,20,1000,247,9,104,0.45,0.421052631579
mpnet,9,strict_eq2,20,1000,92,4,34,0.2,0.369565217391
mpnet,10,strict_eq2,20,1000,278,9,186,0.45,0.669064748201
mpnet,11,strict_eq2,20,1000,203,2,28,0.1,0.137931034483
mpnet,12,strict_eq2,20,1000,347,2,53,0.1,0.152737752161
mpnet,13,strict_eq2,20,1000,235,0,54,0,0.229787234043
mpnet,14,strict_eq2,20,1000,92,9,27,0.45,0.29347826087
mpnet,15,strict_eq2,20,1000,165,2,28,0.1,0.169696969697
mpnet,16,strict_eq2,20,1000,156,17,105,0.85,0.673076923077
mpnet,17,strict_eq2,20,1000,311,6,87,0.3,0.279742765273
mpnet,18,strict_eq2,20,1000,325,11,203,0.55,0.624615384615
mpnet,19,strict_eq2,20,1000,45,6,31,0.3,0.688888888889
mpnet,20,strict_eq2,20,1000,419,19,354,0.95,0.844868735084
mpnet,21,strict_eq2,20,1000,554,4,191,0.2,0.34476534296
mpnet,22,strict_eq2,20,1000,340,13,253,0.65,0.744117647059
mpnet,23,strict_eq2,20,1000,190,13,141,0.65,0.742105263158
mpnet,24,strict_eq2,20,1000,264,8,236,0.4,0.893939393939
mpnet,25,strict_eq2,20,1000,375,9,184,0.45,0.490666666667
mpnet,26,strict_eq2,20,1000,635,3,158,0.15,0.248818897638
mpnet,27,strict_eq2,20,1000,289,15,84,0.75,0.290657439446
mpnet,28,strict_eq2,20,1000,481,10,393,0.5,0.817047817048
mpnet,29,strict_eq2,20,1000,342,11,157,0.55,0.459064327485
mpnet,30,strict_eq2,20,1000,171,14,133,0.7,0.777777777778
mpnet,31,strict_eq2,20,1000,148,0,31,0,0.209459459459
mpnet,32,strict_eq2,20,1000,144,0,21,0,0.145833333333
mpnet,33,strict_eq2,20,1000,168,5,68,0.25,0.404761904762
mpnet,34,strict_eq2,20,1000,104,2,19,0.1,0.182692307692
mpnet,35,strict_eq2,20,1000,188,2,42,0.1,0.223404255319
mpnet,36,strict_eq2,20,1000,508,15,313,0.75,0.616141732283
mpnet,37,strict_eq2,20,1000,317,9,225,0.45,0.709779179811
mpnet,38,strict_eq2,20,1000,689,6,315,0.3,0.457184325109
mpnet,39,strict_eq2,20,1000,460,16,262,0.8,0.569565217391
mpnet,40,strict_eq2,20,1000,348,18,280,0.9,0.804597701149
mpnet,41,strict_eq2,20,1000,230,18,187,0.9,0.813043478261
mpnet,42,strict_eq2,20,1000,222,19,171,0.95,0.77027027027
mpnet,43,strict_eq2,20,1000,166,19,101,0.95,0.60843373494
mpnet,44,strict_eq2,20,1000,318,17,283,0.85,0.889937106918
mpnet,45,strict_eq2,20,1000,490,4,210,0.2,0.428571428571
mpnet,46,strict_eq2,20,1000,85,17,54,0.85,0.635294117647
mpnet,47,strict_eq2,20,1000,317,6,194,0.3,0.611987381703
mpnet,48,strict_eq2,20,1000,257,15,136,0.75,0.529182879377
mpnet,49,strict_eq2,20,1000,126,10,89,0.5,0.706349206349
mpnet,50,strict_eq2,20,1000,47,4,27,0.2,0.574468085106
mpnet,1,relaxed_ge1,20,1000,637,2,80,0.1,0.125588697017
mpnet,2,relaxed_ge1,20,1000,314,1,106,0.05,0.337579617834
mpnet,3,relaxed_ge1,20,1000,628,5,138,0.25,0.21974522293
mpnet,4,relaxed_ge1,20,1000,529,7,119,0.35,0.224952741021
mpnet,5,relaxed_ge1,20,1000,614,6,167,0.3,0.271986970684
mpnet,6,relaxed_ge1,20,1000,959,10,284,0.5,0.29614181439
mpnet,7,relaxed_ge1,20,1000,481,7,332,0.35,0.690228690229
mpnet,8,relaxed_ge1,20,1000,632,9,161,0.45,0.254746835443
mpnet,9,relaxed_ge1,20,1000,191,6,51,0.3,0.267015706806
mpnet,10,relaxed_ge1,20,1000,475,9,295,0.45,0.621052631579
mpnet,11,relaxed_ge1,20,1000,415,3,54,0.15,0.130120481928
mpnet,12,relaxed_ge1,20,1000,616,3,91,0.15,0.147727272727
mpnet,13,relaxed_ge1,20,1000,867,4,157,0.2,0.181084198385
mpnet,14,relaxed_ge1,20,1000,255,12,42,0.6,0.164705882353
mpnet,15,relaxed_ge1,20,1000,423,2,60,0.1,0.141843971631
mpnet,16,relaxed_ge1,20,1000,387,19,167,0.95,0.431524547804
mpnet,17,relaxed_ge1,20,1000,668,10,188,0.5,0.281437125749
mpnet,18,relaxed_ge1,20,1000,628,14,356,0.7,0.566878980892
mpnet,19,relaxed_ge1,20,1000,111,11,61,0.55,0.54954954955
mpnet,20,relaxed_ge1,20,1000,702,19,397,0.95,0.565527065527
mpnet,21,relaxed_ge1,20,1000,630,6,212,0.3,0.336507936508
mpnet,22,relaxed_ge1,20,1000,546,14,321,0.7,0.587912087912
mpnet,23,relaxed_ge1,20,1000,371,17,231,0.85,0.622641509434
mpnet,24,relaxed_ge1,20,1000,404,12,306,0.6,0.757425742574
mpnet,25,relaxed_ge1,20,1000,529,10,227,0.5,0.429111531191
mpnet,26,relaxed_ge1,20,1000,778,3,180,0.15,0.231362467866
mpnet,27,relaxed_ge1,20,1000,849,16,117,0.8,0.137809187279
mpnet,28,relaxed_ge1,20,1000,551,10,423,0.5,0.767695099819
mpnet,29,relaxed_ge1,20,1000,604,12,234,0.6,0.387417218543
mpnet,30,relaxed_ge1,20,1000,370,15,216,0.75,0.583783783784
mpnet,31,relaxed_ge1,20,1000,353,1,68,0.05,0.192634560907
mpnet,32,relaxed_ge1,20,1000,216,0,29,0,0.134259259259
mpnet,33,relaxed_ge1,20,1000,281,7,119,0.35,0.423487544484
mpnet,34,relaxed_ge1,20,1000,172,3,32,0.15,0.186046511628
mpnet,35,relaxed_ge1,20,1000,218,4,51,0.2,0.233944954128
mpnet,36,relaxed_ge1,20,1000,611,16,341,0.8,0.558101472995
mpnet,37,relaxed_ge1,20,1000,450,11,317,0.55,0.704444444444
mpnet,38,relaxed_ge1,20,1000,1266,10,398,0.5,0.314375987362
mpnet,39,relaxed_ge1,20,1000,860,20,399,1,0.463953488372
mpnet,40,relaxed_ge1,20,1000,556,20,382,1,0.687050359712
mpnet,41,relaxed_ge1,20,1000,311,19,232,0.95,0.745980707395
mpnet,42,relaxed_ge1,20,1000,243,20,189,1,0.777777777778
mpnet,43,relaxed_ge1,20,1000,253,20,123,1,0.486166007905
mpnet,44,relaxed_ge1,20,1000,483,19,380,0.95,0.786749482402
mpnet,45,relaxed_ge1,20,1000,806,19,401,0.95,0.497518610422
mpnet,46,relaxed_ge1,20,1000,182,20,97,1,0.532967032967
mpnet,47,relaxed_ge1,20,1000,420,6,232,0.3,0.552380952381
mpnet,48,relaxed_ge1,20,1000,444,18,190,0.9,0.427927927928
mpnet,49,relaxed_ge1,20,1000,247,11,148,0.55,0.599190283401
mpnet,50,relaxed_ge1,20,1000,137,8,79,0.4,0.576642335766
direct,1,strict_eq2,20,1000,305,5,83,0.25,0.272131147541
direct,2,strict_eq2,20,1000,243,14,103,0.7,0.423868312757
direct,3,strict_eq2,20,1000,198,12,115,0.6,0.580808080808
direct,4,strict_eq2,20,1000,218,4,91,0.2,0.417431192661
direct,5,strict_eq2,20,1000,294,9,149,0.45,0.506802721088
direct,6,strict_eq2,20,1000,638,18,302,0.9,0.473354231975
direct,7,strict_eq2,20,1000,433,16,345,0.8,0.796766743649
direct,8,strict_eq2,20,1000,247,11,133,0.55,0.538461538462
direct,9,strict_eq2,20,1000,92,5,63,0.25,0.684782608696
direct,10,strict_eq2,20,1000,278,18,188,0.9,0.676258992806
direct,11,strict_eq2,20,1000,203,15,72,0.75,0.354679802956
direct,12,strict_eq2,20,1000,347,4,81,0.2,0.233429394813
direct,13,strict_eq2,20,1000,235,9,113,0.45,0.48085106383
direct,14,strict_eq2,20,1000,92,12,48,0.6,0.521739130435
direct,15,strict_eq2,20,1000,165,4,25,0.2,0.151515151515
direct,16,strict_eq2,20,1000,156,11,92,0.55,0.589743589744
direct,17,strict_eq2,20,1000,311,10,161,0.5,0.51768488746
direct,18,strict_eq2,20,1000,325,14,216,0.7,0.664615384615
direct,19,strict_eq2,20,1000,45,7,32,0.35,0.711111111111
direct,20,strict_eq2,20,1000,419,19,345,0.95,0.82338902148
direct,21,strict_eq2,20,1000,554,12,255,0.6,0.460288808664
direct,22,strict_eq2,20,1000,340,13,241,0.65,0.708823529412
direct,23,strict_eq2,20,1000,190,17,135,0.85,0.710526315789
direct,24,strict_eq2,20,1000,264,19,248,0.95,0.939393939394
direct,25,strict_eq2,20,1000,375,9,170,0.45,0.453333333333
direct,26,strict_eq2,20,1000,635,12,277,0.6,0.436220472441
direct,27,strict_eq2,20,1000,289,17,227,0.85,0.785467128028
direct,28,strict_eq2,20,1000,481,17,409,0.85,0.850311850312
direct,29,strict_eq2,20,1000,342,14,220,0.7,0.643274853801
direct,30,strict_eq2,20,1000,171,20,154,1,0.900584795322
direct,31,strict_eq2,20,1000,148,3,41,0.15,0.277027027027
direct,32,strict_eq2,20,1000,144,7,37,0.35,0.256944444444
direct,33,strict_eq2,20,1000,168,9,112,0.45,0.666666666667
direct,34,strict_eq2,20,1000,104,5,47,0.25,0.451923076923
direct,35,strict_eq2,20,1000,188,13,116,0.65,0.617021276596
direct,36,strict_eq2,20,1000,508,19,390,0.95,0.767716535433
direct,37,strict_eq2,20,1000,317,10,251,0.5,0.791798107256
direct,38,strict_eq2,20,1000,689,16,345,0.8,0.500725689405
direct,39,strict_eq2,20,1000,460,18,356,0.9,0.773913043478
direct,40,strict_eq2,20,1000,348,19,312,0.95,0.896551724138
direct,41,strict_eq2,20,1000,230,17,185,0.85,0.804347826087
direct,42,strict_eq2,20,1000,222,17,181,0.85,0.815315315315
direct,43,strict_eq2,20,1000,166,15,132,0.75,0.795180722892
direct,44,strict_eq2,20,1000,318,19,287,0.95,0.90251572327
direct,45,strict_eq2,20,1000,490,9,275,0.45,0.561224489796
direct,46,strict_eq2,20,1000,85,17,64,0.85,0.752941176471
direct,47,strict_eq2,20,1000,317,16,209,0.8,0.659305993691
direct,48,strict_eq2,20,1000,257,19,166,0.95,0.645914396887
direct,49,strict_eq2,20,1000,126,8,84,0.4,0.666666666667
direct,50,strict_eq2,20,1000,47,7,32,0.35,0.68085106383
direct,1,relaxed_ge1,20,1000,637,14,184,0.7,0.28885400314
direct,2,relaxed_ge1,20,1000,314,16,125,0.8,0.398089171975
direct,3,relaxed_ge1,20,1000,628,17,256,0.85,0.407643312102
direct,4,relaxed_ge1,20,1000,529,8,170,0.4,0.321361058601
direct,5,relaxed_ge1,20,1000,614,15,283,0.75,0.460912052117
direct,6,relaxed_ge1,20,1000,959,19,381,0.95,0.397288842544
direct,7,relaxed_ge1,20,1000,481,17,364,0.85,0.756756756757
direct,8,relaxed_ge1,20,1000,632,14,237,0.7,0.375
direct,9,relaxed_ge1,20,1000,191,9,117,0.45,0.612565445026
direct,10,relaxed_ge1,20,1000,475,19,313,0.95,0.658947368421
direct,11,relaxed_ge1,20,1000,415,18,136,0.9,0.327710843373
direct,12,relaxed_ge1,20,1000,616,12,185,0.6,0.300324675325
direct,13,relaxed_ge1,20,1000,867,16,296,0.8,0.341407151096
direct,14,relaxed_ge1,20,1000,255,17,92,0.85,0.360784313725
direct,15,relaxed_ge1,20,1000,423,6,52,0.3,0.12293144208
direct,16,relaxed_ge1,20,1000,387,19,167,0.95,0.431524547804
direct,17,relaxed_ge1,20,1000,668,16,339,0.8,0.50748502994
direct,18,relaxed_ge1,20,1000,628,19,389,0.95,0.619426751592
direct,19,relaxed_ge1,20,1000,111,12,75,0.6,0.675675675676
direct,20,relaxed_ge1,20,1000,702,19,435,0.95,0.619658119658
direct,21,relaxed_ge1,20,1000,630,14,284,0.7,0.450793650794
direct,22,relaxed_ge1,20,1000,546,17,323,0.85,0.591575091575
direct,23,relaxed_ge1,20,1000,371,20,229,1,0.617250673854
direct,24,relaxed_ge1,20,1000,404,20,323,1,0.799504950495
direct,25,relaxed_ge1,20,1000,529,10,217,0.5,0.410207939509
direct,26,relaxed_ge1,20,1000,778,13,318,0.65,0.408740359897
direct,27,relaxed_ge1,20,1000,849,20,390,1,0.459363957597
direct,28,relaxed_ge1,20,1000,551,17,440,0.85,0.798548094374
direct,29,relaxed_ge1,20,1000,604,18,341,0.9,0.564569536424
direct,30,relaxed_ge1,20,1000,370,20,266,1,0.718918918919
direct,31,relaxed_ge1,20,1000,353,7,109,0.35,0.308781869688
direct,32,relaxed_ge1,20,1000,216,9,54,0.45,0.25
direct,33,relaxed_ge1,20,1000,281,17,177,0.85,0.629893238434
direct,34,relaxed_ge1,20,1000,172,8,75,0.4,0.436046511628
direct,35,relaxed_ge1,20,1000,218,14,129,0.7,0.591743119266
direct,36,relaxed_ge1,20,1000,611,19,435,0.95,0.711947626841
direct,37,relaxed_ge1,20,1000,450,17,342,0.85,0.76
direct,38,relaxed_ge1,20,1000,1266,18,536,0.9,0.423380726698
direct,39,relaxed_ge1,20,1000,860,20,598,1,0.695348837209
direct,40,relaxed_ge1,20,1000,556,20,431,1,0.775179856115
direct,41,relaxed_ge1,20,1000,311,18,228,0.9,0.733118971061
direct,42,relaxed_ge1,20,1000,243,20,200,1,0.82304526749
direct,43,relaxed_ge1,20,1000,253,16,170,0.8,0.671936758893
direct,44,relaxed_ge1,20,1000,483,20,398,1,0.824016563147
direct,45,relaxed_ge1,20,1000,806,19,503,0.95,0.624069478908
direct,46,relaxed_ge1,20,1000,182,19,114,0.95,0.626373626374
direct,47,relaxed_ge1,20,1000,420,16,265,0.8,0.630952380952
direct,48,relaxed_ge1,20,1000,444,20,257,1,0.578828828829
direct,49,relaxed_ge1,20,1000,247,15,151,0.75,0.611336032389
direct,50,relaxed_ge1,20,1000,137,14,87,0.7,0.63503649635
direct_minmax,1,strict_eq2,20,1000,305,5,82,0.25,0.268852459016
direct_minmax,2,strict_eq2,20,1000,243,14,101,0.7,0.415637860082
direct_minmax,3,strict_eq2,20,1000,198,12,116,0.6,0.585858585859
direct_minmax,4,strict_eq2,20,1000,218,4,90,0.2,0.412844036697
direct_minmax,5,strict_eq2,20,1000,294,8,145,0.4,0.493197278912
direct_minmax,6,strict_eq2,20,1000,638,18,304,0.9,0.476489028213
direct_minmax,7,strict_eq2,20,1000,433,16,350,0.8,0.80831408776
direct_minmax,8,strict_eq2,20,1000,247,11,133,0.55,0.538461538462
direct_minmax,9,strict_eq2,20,1000,92,5,64,0.25,0.695652173913
direct_minmax,10,strict_eq2,20,1000,278,17,197,0.85,0.708633093525
direct_minmax,11,strict_eq2,20,1000,203,15,70,0.75,0.344827586207
direct_minmax,12,strict_eq2,20,1000,347,4,81,0.2,0.233429394813
direct_minmax,13,strict_eq2,20,1000,235,9,113,0.45,0.48085106383
direct_minmax,14,strict_eq2,20,1000,92,12,48,0.6,0.521739130435
direct_minmax,15,strict_eq2,20,1000,165,4,24,0.2,0.145454545455
direct_minmax,16,strict_eq2,20,1000,156,11,92,0.55,0.589743589744
direct_minmax,17,strict_eq2,20,1000,311,10,161,0.5,0.51768488746
direct_minmax,18,strict_eq2,20,1000,325,14,216,0.7,0.664615384615
direct_minmax,19,strict_eq2,20,1000,45,7,32,0.35,0.711111111111
direct_minmax,20,strict_eq2,20,1000,419,19,348,0.95,0.830548926014
direct_minmax,21,strict_eq2,20,1000,554,11,258,0.55,0.465703971119
direct_minmax,22,strict_eq2,20,1000,340,13,241,0.65,0.708823529412
direct_minmax,23,strict_eq2,20,1000,190,17,135,0.85,0.710526315789
direct_minmax,24,strict_eq2,20,1000,264,19,248,0.95,0.939393939394
direct_minmax,25,strict_eq2,20,1000,375,9,171,0.45,0.456
direct_minmax,26,strict_eq2,20,1000,635,12,277,0.6,0.436220472441
direct_minmax,27,strict_eq2,20,1000,289,17,227,0.85,0.785467128028
direct_minmax,28,strict_eq2,20,1000,481,18,409,0.9,0.850311850312
direct_minmax,29,strict_eq2,20,1000,342,14,221,0.7,0.646198830409
direct_minmax,30,strict_eq2,20,1000,171,20,153,1,0.894736842105
direct_minmax,31,strict_eq2,20,1000,148,3,41,0.15,0.277027027027
direct_minmax,32,strict_eq2,20,1000,144,7,37,0.35,0.256944444444
direct_minmax,33,strict_eq2,20,1000,168,9,113,0.45,0.672619047619
direct_minmax,34,strict_eq2,20,1000,104,5,47,0.25,0.451923076923
direct_minmax,35,strict_eq2,20,1000,188,14,117,0.7,0.622340425532
direct_minmax,36,strict_eq2,20,1000,508,19,387,0.95,0.761811023622
direct_minmax,37,strict_eq2,20,1000,317,10,251,0.5,0.791798107256
direct_minmax,38,strict_eq2,20,1000,689,15,356,0.75,0.516690856313
direct_minmax,39,strict_eq2,20,1000,460,18,350,0.9,0.760869565217
direct_minmax,40,strict_eq2,20,1000,348,18,314,0.9,0.902298850575
direct_minmax,41,strict_eq2,20,1000,230,17,185,0.85,0.804347826087
direct_minmax,42,strict_eq2,20,1000,222,17,181,0.85,0.815315315315
direct_minmax,43,strict_eq2,20,1000,166,16,132,0.8,0.795180722892
direct_minmax,44,strict_eq2,20,1000,318,19,287,0.95,0.90251572327
direct_minmax,45,strict_eq2,20,1000,490,10,275,0.5,0.561224489796
direct_minmax,46,strict_eq2,20,1000,85,17,65,0.85,0.764705882353
direct_minmax,47,strict_eq2,20,1000,317,15,207,0.75,0.652996845426
direct_minmax,48,strict_eq2,20,1000,257,19,166,0.95,0.645914396887
direct_minmax,49,strict_eq2,20,1000,126,8,85,0.4,0.674603174603
direct_minmax,50,strict_eq2,20,1000,47,7,32,0.35,0.68085106383
direct_minmax,1,relaxed_ge1,20,1000,637,14,183,0.7,0.287284144427
direct_minmax,2,relaxed_ge1,20,1000,314,16,124,0.8,0.394904458599
direct_minmax,3,relaxed_ge1,20,1000,628,17,259,0.85,0.412420382166
direct_minmax,4,relaxed_ge1,20,1000,529,8,169,0.4,0.319470699433
direct_minmax,5,relaxed_ge1,20,1000,614,14,268,0.7,0.436482084691
direct_minmax,6,relaxed_ge1,20,1000,959,19,383,0.95,0.399374348279
direct_minmax,7,relaxed_ge1,20,1000,481,17,369,0.85,0.767151767152
direct_minmax,8,relaxed_ge1,20,1000,632,14,237,0.7,0.375
direct_minmax,9,relaxed_ge1,20,1000,191,9,118,0.45,0.61780104712
direct_minmax,10,relaxed_ge1,20,1000,475,19,322,0.95,0.677894736842
direct_minmax,11,relaxed_ge1,20,1000,415,18,134,0.9,0.322891566265
direct_minmax,12,relaxed_ge1,20,1000,616,12,185,0.6,0.300324675325
direct_minmax,13,relaxed_ge1,20,1000,867,16,298,0.8,0.343713956171
direct_minmax,14,relaxed_ge1,20,1000,255,17,92,0.85,0.360784313725
direct_minmax,15,relaxed_ge1,20,1000,423,6,48,0.3,0.113475177305
direct_minmax,16,relaxed_ge1,20,1000,387,19,167,0.95,0.431524547804
direct_minmax,17,relaxed_ge1,20,1000,668,15,341,0.75,0.510479041916
direct_minmax,18,relaxed_ge1,20,1000,628,19,389,0.95,0.619426751592
direct_minmax,19,relaxed_ge1,20,1000,111,12,75,0.6,0.675675675676
direct_minmax,20,relaxed_ge1,20,1000,702,19,438,0.95,0.623931623932
direct_minmax,21,relaxed_ge1,20,1000,630,13,288,0.65,0.457142857143
direct_minmax,22,relaxed_ge1,20,1000,546,17,322,0.85,0.589743589744
direct_minmax,23,relaxed_ge1,20,1000,371,20,229,1,0.617250673854
direct_minmax,24,relaxed_ge1,20,1000,404,20,322,1,0.79702970297
direct_minmax,25,relaxed_ge1,20,1000,529,10,218,0.5,0.412098298677
direct_minmax,26,relaxed_ge1,20,1000,778,13,318,0.65,0.408740359897
direct_minmax,27,relaxed_ge1,20,1000,849,20,387,1,0.455830388693
direct_minmax,28,relaxed_ge1,20,1000,551,18,440,0.9,0.798548094374
direct_minmax,29,relaxed_ge1,20,1000,604,18,343,0.9,0.567880794702
direct_minmax,30,relaxed_ge1,20,1000,370,20,262,1,0.708108108108
