method,baseline,query_id,k,stratum,n_pairs,n_judged,n_unjudged,n_explicit_minus1,n_relevant_strict,n_relevant_relaxed,judged_fraction,hole_fraction,observed_precision_strict,observed_precision_relaxed
mpnet,bm25,15,20,bm25_only,19,13,6,0,1,3,0.684210526316,0.315789473684,0.0526315789474,0.157894736842
mpnet,bm25,16,20,shared,2,2,0,0,2,2,1,0,1,1
mpnet,bm25,16,20,method_only,18,17,1,0,15,17,0.944444444444,0.0555555555556,0.833333333333,0.944444444444
mpnet,bm25,16,20,bm25_only,18,15,3,0,2,4,0.833333333333,0.166666666667,0.111111111111,0.222222222222
mpnet,bm25,17,20,shared,2,2,0,0,1,2,1,0,0.5,1
mpnet,bm25,17,20,method_only,18,8,10,0,5,8,0.444444444444,0.555555555556,0.277777777778,0.444444444444
mpnet,bm25,17,20,bm25_only,18,16,2,0,6,10,0.888888888889,0.111111111111,0.333333333333,0.555555555556
mpnet,bm25,18,20,shared,2,2,0,0,2,2,1,0,1,1
mpnet,bm25,18,20,method_only,18,13,5,0,9,12,0.722222222222,0.277777777778,0.5,0.666666666667
mpnet,bm25,18,20,bm25_only,18,18,0,0,8,13,1,0,0.444444444444,0.722222222222
mpnet,bm25,19,20,shared,3,3,0,0,2,3,1,0,0.666666666667,1
mpnet,bm25,19,20,method_only,17,14,3,0,4,8,0.823529411765,0.176470588235,0.235294117647,0.470588235294
mpnet,bm25,19,20,bm25_only,17,17,0,0,3,11,1,0,0.176470588235,0.647058823529
mpnet,bm25,20,20,shared,4,3,1,0,3,3,0.75,0.25,0.75,0.75
mpnet,bm25,20,20,method_only,16,16,0,0,16,16,1,0,1,1
mpnet,bm25,20,20,bm25_only,16,15,1,0,14,14,0.9375,0.0625,0.875,0.875
mpnet,bm25,21,20,shared,1,1,0,0,1,1,1,0,1,1
mpnet,bm25,21,20,method_only,19,5,14,0,3,5,0.263157894737,0.736842105263,0.157894736842,0.263157894737
mpnet,bm25,21,20,bm25_only,19,17,2,0,6,8,0.894736842105,0.105263157895,0.315789473684,0.421052631579
mpnet,bm25,22,20,shared,4,4,0,0,4,4,1,0,1,1
mpnet,bm25,22,20,method_only,16,10,6,0,9,10,0.625,0.375,0.5625,0.625
mpnet,bm25,22,20,bm25_only,16,12,4,0,10,12,0.75,0.25,0.625,0.75
mpnet,bm25,23,20,shared,3,3,0,0,3,3,1,0,1,1
mpnet,bm25,23,20,method_only,17,14,3,0,10,14,0.823529411765,0.176470588235,0.588235294118,0.823529411765
mpnet,bm25,23,20,bm25_only,17,16,1,0,12,13,0.941176470588,0.0588235294118,0.705882352941,0.764705882353
mpnet,bm25,24,20,shared,0,0,0,0,0,0,,,,
mpnet,bm25,24,20,method_only,20,13,7,0,8,12,0.65,0.35,0.4,0.6
mpnet,bm25,24,20,bm25_only,20,18,2,0,13,15,0.9,0.1,0.65,0.75
mpnet,bm25,25,20,shared,3,3,0,0,3,3,1,0,1,1
mpnet,bm25,25,20,method_only,17,7,10,0,6,7,0.411764705882,0.588235294118,0.352941176471,0.411764705882
mpnet,bm25,25,20,bm25_only,17,12,5,0,0,0,0.705882352941,0.294117647059,0,0
mpnet,bm25,26,20,shared,0,0,0,0,0,0,,,,
mpnet,bm25,26,20,method_only,20,3,17,0,3,3,0.15,0.85,0.15,0.15
mpnet,bm25,26,20,bm25_only,20,17,3,0,12,12,0.85,0.15,0.6,0.6
mpnet,bm25,27,20,shared,4,4,0,0,4,4,1,0,1,1
mpnet,bm25,27,20,method_only,16,12,4,0,11,12,0.75,0.25,0.6875,0.75
mpnet,bm25,27,20,bm25_only,16,14,2,0,12,13,0.875,0.125,0.75,0.8125
mpnet,bm25,28,20,shared,0,0,0,0,0,0,,,,
mpnet,bm25,28,20,method_only,20,10,10,0,10,10,0.5,0.5,0.5,0.5
mpnet,bm25,28,20,bm25_only,20,20,0,0,17,18,1,0,0.85,0.9
mpnet,bm25,29,20,shared,4,4,0,0,3,4,1,0,0.75,1
mpnet,bm25,29,20,method_only,16,9,7,0,8,8,0.5625,0.4375,0.5,0.5
mpnet,bm25,29,20,bm25_only,16,16,0,0,10,13,1,0,0.625,0.8125
mpnet,bm25,30,20,shared,2,2,0,0,2,2,1,0,1,1
mpnet,bm25,30,20,method_only,18,13,5,0,12,13,0.722222222222,0.277777777778,0.666666666667,0.722222222222
mpnet,bm25,30,20,bm25_only,18,18,0,0,17,18,1,0,0.944444444444,1
mpnet,bm25,31,20,shared,0,0,0,0,0,0,,,,
mpnet,bm25,31,20,method_only,20,2,18,0,0,1,0.1,0.9,0,0.05
mpnet,bm25,31,20,bm25_only,20,19,1,0,2,4,0.95,0.05,0.1,0.2
mpnet,bm25,32,20,shared,0,0,0,0,0,0,,,,
mpnet,bm25,32,20,method_only,20,3,17,0,0,0,0.15,0.85,0,0
mpnet,bm25,32,20,bm25_only,20,20,0,0,6,9,1,0,0.3,0.45
mpnet,bm25,33,20,shared,2,2,0,0,2,2,1,0,1,1
mpnet,bm25,33,20,method_only,18,9,9,0,3,5,0.5,0.5,0.166666666667,0.277777777778
mpnet,bm25,33,20,bm25_only,18,18,0,0,6,12,1,0,0.333333333333,0.666666666667
mpnet,bm25,34,20,shared,0,0,0,0,0,0,,,,
mpnet,bm25,34,20,method_only,20,7,13,0,2,3,0.35,0.65,0.1,0.15
mpnet,bm25,34,20,bm25_only,20,14,6,0,5,7,0.7,0.3,0.25,0.35
mpnet,bm25,35,20,shared,0,0,0,0,0,0,,,,
mpnet,bm25,35,20,method_only,20,4,16,0,2,4,0.2,0.8,0.1,0.2
mpnet,bm25,35,20,bm25_only,20,20,0,0,9,9,1,0,0.45,0.45
mpnet,bm25,36,20,shared,4,4,0,0,3,3,1,0,0.75,0.75
mpnet,bm25,36,20,method_only,16,13,3,0,12,13,0.8125,0.1875,0.75,0.8125
mpnet,bm25,36,20,bm25_only,16,16,0,0,15,16,1,0,0.9375,1
mpnet,bm25,37,20,shared,4,4,0,0,1,3,1,0,0.25,0.75
mpnet,bm25,37,20,method_only,16,16,0,0,8,8,1,0,0.5,0.5
mpnet,bm25,37,20,bm25_only,16,16,0,0,8,13,1,0,0.5,0.8125
mpnet,bm25,38,20,shared,0,0,0,0,0,0,,,,
mpnet,bm25,38,20,method_only,20,12,8,0,6,10,0.6,0.4,0.3,0.5
mpnet,bm25,38,20,bm25_only,20,20,0,0,11,12,1,0,0.55,0.6
mpnet,bm25,39,20,shared,9,9,0,0,7,9,1,0,0.777777777778,1
mpnet,bm25,39,20,method_only,11,11,0,0,9,11,1,0,0.818181818182,1
mpnet,bm25,39,20,bm25_only,11,11,0,0,10,11,1,0,0.909090909091,1
mpnet,bm25,40,20,shared,6,6,0,0,6,6,1,0,1,1
mpnet,bm25,40,20,method_only,14,14,0,0,12,14,1,0,0.857142857143,1
mpnet,bm25,40,20,bm25_only,14,14,0,0,14,14,1,0,1,1
mpnet,bm25,41,20,shared,3,3,0,0,3,3,1,0,1,1
mpnet,bm25,41,20,method_only,17,16,1,0,15,16,0.941176470588,0.0588235294118,0.882352941176,0.941176470588
mpnet,bm25,41,20,bm25_only,17,17,0,0,12,12,1,0,0.705882352941,0.705882352941
mpnet,bm25,42,20,shared,0,0,0,0,0,0,,,,
mpnet,bm25,42,20,method_only,20,20,0,0,19,20,1,0,0.95,1
mpnet,bm25,42,20,bm25_only,20,20,0,0,12,15,1,0,0.6,0.75
mpnet,bm25,43,20,shared,3,3,0,0,2,3,1,0,0.666666666667,1
mpnet,bm25,43,20,method_only,17,17,0,0,17,17,1,0,1,1
mpnet,bm25,43,20,bm25_only,17,17,0,0,11,13,1,0,0.647058823529,0.764705882353
mpnet,bm25,44,20,shared,1,1,0,0,1,1,1,0,1,1
mpnet,bm25,44,20,method_only,19,18,1,0,16,18,0.947368421053,0.0526315789474,0.842105263158,0.947368421053
mpnet,bm25,44,20,bm25_only,19,18,1,0,13,17,0.947368421053,0.0526315789474,0.684210526316,0.894736842105
mpnet,bm25,45,20,shared,0,0,0,0,0,0,,,,
mpnet,bm25,45,20,method_only,20,19,1,0,4,19,0.95,0.05,0.2,0.95
mpnet,bm25,45,20,bm25_only,20,19,1,0,11,18,0.95,0.05,0.55,0.9
mpnet,bm25,46,20,shared,9,9,0,0,7,9,1,0,0.777777777778,1
mpnet,bm25,46,20,method_only,11,11,0,0,10,11,1,0,0.909090909091,1
mpnet,bm25,46,20,bm25_only,11,11,0,0,2,5,1,0,0.181818181818,0.454545454545
mpnet,bm25,47,20,shared,0,0,0,0,0,0,,,,
mpnet,bm25,47,20,method_only,20,9,11,0,6,6,0.45,0.55,0.3,0.3
mpnet,bm25,47,20,bm25_only,20,14,6,0,4,6,0.7,0.3,0.2,0.3
mpnet,bm25,48,20,shared,0,0,0,0,0,0,,,,
mpnet,bm25,48,20,method_only,20,18,2,0,15,18,0.9,0.1,0.75,0.9
mpnet,bm25,48,20,bm25_only,20,17,3,0,15,16,0.85,0.15,0.75,0.8
mpnet,bm25,49,20,shared,0,0,0,0,0,0,,,,
mpnet,bm25,49,20,method_only,20,12,8,0,10,11,0.6,0.4,0.5,0.55
mpnet,bm25,49,20,bm25_only,20,19,1,0,3,7,0.95,0.05,0.15,0.35
mpnet,bm25,50,20,shared,6,6,0,0,4,6,1,0,0.666666666667,1
mpnet,bm25,50,20,method_only,14,8,6,0,0,2,0.571428571429,0.428571428571,0,0.142857142857
mpnet,bm25,50,20,bm25_only,14,14,0,0,3,9,1,0,0.214285714286,0.642857142857
mpnet,bm25,1,50,shared,4,2,2,0,0,2,0.5,0.5,0,0.5
mpnet,bm25,1,50,method_only,46,3,43,0,0,2,0.0652173913043,0.934782608696,0,0.0434782608696
mpnet,bm25,1,50,bm25_only,46,30,16,0,6,14,0.652173913043,0.347826086957,0.130434782609,0.304347826087
mpnet,bm25,2,50,shared,0,0,0,0,0,0,,,,
mpnet,bm25,2,50,method_only,50,3,47,0,1,1,0.06,0.94,0.02,0.02
mpnet,bm25,2,50,bm25_only,50,49,1,0,23,28,0.98,0.02,0.46,0.56
mpnet,bm25,3,50,shared,1,1,0,0,1,1,1,0,1,1
mpnet,bm25,3,50,method_only,49,9,40,0,4,7,0.183673469388,0.816326530612,0.0816326530612,0.142857142857
mpnet,bm25,3,50,bm25_only,49,42,7,0,11,23,0.857142857143,0.142857142857,0.224489795918,0.469387755102
mpnet,bm25,4,50,shared,4,2,2,0,1,1,0.5,0.5,0.25,0.25
mpnet,bm25,4,50,method_only,46,14,32,0,6,10,0.304347826087,0.695652173913,0.130434782609,0.217391304348
mpnet,bm25,4,50,bm25_only,46,37,9,0,8,11,0.804347826087,0.195652173913,0.173913043478,0.239130434783
mpnet,bm25,5,50,shared,4,4,0,0,2,3,1,0,0.5,0.75
mpnet,bm25,5,50,method_only,46,13,33,0,6,9,0.282608695652,0.717391304348,0.130434782609,0.195652173913
mpnet,bm25,5,50,bm25_only,46,37,9,0,11,29,0.804347826087,0.195652173913,0.239130434783,0.630434782609
mpnet,bm25,6,50,shared,7,7,0,0,6,6,1,0,0.857142857143,0.857142857143
mpnet,bm25,6,50,method_only,43,18,25,0,13,17,0.418604651163,0.581395348837,0.302325581395,0.395348837209
mpnet,bm25,6,50,bm25_only,43,32,11,0,22,27,0.744186046512,0.255813953488,0.511627906977,0.627906976744
mpnet,bm25,7,50,shared,8,8,0,0,6,6,1,0,0.75,0.75
mpnet,bm25,7,50,method_only,42,22,20,0,20,20,0.52380952381,0.47619047619,0.47619047619,0.47619047619
mpnet,bm25,7,50,bm25_only,42,38,4,0,25,28,0.904761904762,0.0952380952381,0.595238095238,0.666666666667
mpnet,bm25,8,50,shared,3,2,1,0,2,2,0.666666666667,0.333333333333,0.666666666667,0.666666666667
mpnet,bm25,8,50,method_only,47,15,32,0,11,14,0.31914893617,0.68085106383,0.234042553191,0.297872340426
mpnet,bm25,8,50,bm25_only,47,31,16,0,14,21,0.659574468085,0.340425531915,0.297872340426,0.446808510638
mpnet,bm25,9,50,shared,11,11,0,0,1,2,1,0,0.0909090909091,0.181818181818
mpnet,bm25,9,50,method_only,39,22,17,0,8,12,0.564102564103,0.435897435897,0.205128205128,0.307692307692
mpnet,bm25,9,50,bm25_only,39,37,2,0,8,15,0.948717948718,0.0512820512821,0.205128205128,0.384615384615
mpnet,bm25,10,50,shared,5,5,0,0,4,4,1,0,0.8,0.8
mpnet,bm25,10,50,method_only,45,34,11,0,21,26,0.755555555556,0.244444444444,0.466666666667,0.577777777778
mpnet,bm25,10,50,bm25_only,45,40,5,0,23,34,0.888888888889,0.111111111111,0.511111111111,0.755555555556
mpnet,bm25,11,50,shared,1,0,1,0,0,0,0,1,0,0
mpnet,bm25,11,50,method_only,49,20,29,0,6,9,0.408163265306,0.591836734694,0.122448979592,0.183673469388
mpnet,bm25,11,50,bm25_only,49,43,6,0,12,19,0.877551020408,0.122448979592,0.244897959184,0.387755102041
mpnet,bm25,12,50,shared,1,1,0,0,0,1,1,0,0,1
mpnet,bm25,12,50,method_only,49,16,33,0,7,12,0.326530612245,0.673469387755,0.142857142857,0.244897959184
mpnet,bm25,12,50,bm25_only,49,38,11,0,5,20,0.775510204082,0.224489795918,0.102040816327,0.408163265306
mpnet,bm25,13,50,shared,4,4,0,0,2,4,1,0,0.5,1
mpnet,bm25,13,50,method_only,46,5,41,0,0,5,0.108695652174,0.891304347826,0,0.108695652174
mpnet,bm25,13,50,bm25_only,46,42,4,0,14,30,0.913043478261,0.0869565217391,0.304347826087,0.652173913043
mpnet,bm25,14,50,shared,9,9,0,0,6,8,1,0,0.666666666667,0.888888888889
mpnet,bm25,14,50,method_only,41,10,31,0,5,8,0.243902439024,0.756097560976,0.121951219512,0.19512195122
mpnet,bm25,14,50,bm25_only,41,41,0,0,17,32,1,0,0.414634146341,0.780487804878
mpnet,bm25,15,50,shared,1,1,0,0,1,1,1,0,1,1
mpnet,bm25,15,50,method_only,49,5,44,0,1,2,0.102040816327,0.897959183673,0.0204081632653,0.0408163265306
mpnet,bm25,15,50,bm25_only,49,31,18,0,2,5,0.632653061224,0.367346938776,0.0408163265306,0.102040816327
mpnet,bm25,16,50,shared,4,4,0,0,4,4,1,0,1,1
mpnet,bm25,16,50,method_only,46,37,9,0,26,36,0.804347826087,0.195652173913,0.565217391304,0.782608695652
mpnet,bm25,16,50,bm25_only,46,32,14,0,3,8,0.695652173913,0.304347826087,0.0652173913043,0.173913043478
mpnet,bm25,17,50,shared,5,5,0,0,4,5,1,0,0.8,1
mpnet,bm25,17,50,method_only,45,21,24,0,9,16,0.466666666667,0.533333333333,0.2,0.355555555556
mpnet,bm25,17,50,bm25_only,45,38,7,0,13,29,0.844444444444,0.155555555556,0.288888888889,0.644444444444
mpnet,bm25,18,50,shared,10,10,0,0,9,10,1,0,0.9,1
mpnet,bm25,18,50,method_only,40,25,15,0,15,23,0.625,0.375,0.375,0.575
mpnet,bm25,18,50,bm25_only,40,39,1,0,18,31,0.975,0.025,0.45,0.775
mpnet,bm25,19,50,shared,14,14,0,0,5,10,1,0,0.357142857143,0.714285714286
mpnet,bm25,19,50,method_only,36,26,10,0,4,10,0.722222222222,0.277777777778,0.111111111111,0.277777777778
mpnet,bm25,19,50,bm25_only,36,34,2,0,3,10,0.944444444444,0.0555555555556,0.0833333333333,0.277777777778
mpnet,bm25,20,50,shared,8,7,1,0,7,7,0.875,0.125,0.875,0.875
mpnet,bm25,20,50,method_only,42,37,5,0,37,37,0.880952380952,0.119047619048,0.880952380952,0.880952380952
mpnet,bm25,20,50,bm25_only,42,38,4,0,22,27,0.904761904762,0.0952380952381,0.52380952381,0.642857142857
mpnet,bm25,21,50,shared,5,5,0,0,4,5,1,0,0.8,1
mpnet,bm25,21,50,method_only,45,16,29,0,10,13,0.355555555556,0.644444444444,0.222222222222,0.288888888889
mpnet,bm25,21,50,bm25_only,45,41,4,0,20,21,0.911111111111,0.0888888888889,0.444444444444,0.466666666667
mpnet,bm25,22,50,shared,7,6,1,0,6,6,0.857142857143,0.142857142857,0.857142857143,0.857142857143
mpnet,bm25,22,50,method_only,43,18,25,0,14,16,0.418604651163,0.581395348837,0.325581395349,0.372093023256
mpnet,bm25,22,50,bm25_only,43,31,12,0,21,27,0.720930232558,0.279069767442,0.488372093023,0.627906976744
mpnet,bm25,23,50,shared,12,12,0,0,10,12,1,0,0.833333333333,1
mpnet,bm25,23,50,method_only,38,30,8,0,19,23,0.789473684211,0.210526315789,0.5,0.605263157895
mpnet,bm25,23,50,bm25_only,38,30,8,0,16,22,0.789473684211,0.210526315789,0.421052631579,0.578947368421
mpnet,bm25,24,50,shared,1,1,0,0,1,1,1,0,1,1
mpnet,bm25,24,50,method_only,49,26,23,0,21,25,0.530612244898,0.469387755102,0.428571428571,0.510204081633
mpnet,bm25,24,50,bm25_only,49,45,4,0,33,39,0.918367346939,0.0816326530612,0.673469387755,0.795918367347
mpnet,bm25,25,50,shared,3,3,0,0,3,3,1,0,1,1
mpnet,bm25,25,50,method_only,47,25,22,0,18,23,0.531914893617,0.468085106383,0.382978723404,0.489361702128
mpnet,bm25,25,50,bm25_only,47,28,19,0,3,5,0.595744680851,0.404255319149,0.063829787234,0.106382978723
mpnet,bm25,26,50,shared,0,0,0,0,0,0,,,,
mpnet,bm25,26,50,method_only,50,15,35,0,15,15,0.3,0.7,0.3,0.3
mpnet,bm25,26,50,bm25_only,50,35,15,0,24,26,0.7,0.3,0.48,0.52
mpnet,bm25,27,50,shared,8,8,0,0,7,8,1,0,0.875,1
mpnet,bm25,27,50,method_only,42,22,20,0,19,22,0.52380952381,0.47619047619,0.452380952381,0.52380952381
mpnet,bm25,27,50,bm25_only,42,38,4,0,28,36,0.904761904762,0.0952380952381,0.666666666667,0.857142857143
mpnet,bm25,28,50,shared,4,4,0,0,4,4,1,0,1,1
mpnet,bm25,28,50,method_only,46,24,22,0,24,24,0.521739130435,0.478260869565,0.521739130435,0.521739130435
mpnet,bm25,28,50,bm25_only,46,42,4,0,35,36,0.913043478261,0.0869565217391,0.760869565217,0.782608695652
mpnet,bm25,29,50,shared,10,10,0,0,8,10,1,0,0.8,1
mpnet,bm25,29,50,method_only,40,17,23,0,14,15,0.425,0.575,0.35,0.375
mpnet,bm25,29,50,bm25_only,40,40,0,0,19,30,1,0,0.475,0.75
mpnet,bm25,30,50,shared,16,16,0,0,16,16,1,0,1,1
mpnet,bm25,30,50,method_only,34,22,12,0,19,22,0.647058823529,0.352941176471,0.558823529412,0.647058823529
mpnet,bm25,30,50,bm25_only,34,32,2,0,22,32,0.941176470588,0.0588235294118,0.647058823529,0.941176470588
mpnet,bm25,31,50,shared,0,0,0,0,0,0,,,,
mpnet,bm25,31,50,method_only,50,7,43,0,3,4,0.14,0.86,0.06,0.08
mpnet,bm25,31,50,bm25_only,50,49,1,0,4,10,0.98,0.02,0.08,0.2
mpnet,bm25,32,50,shared,0,0,0,0,0,0,,,,
mpnet,bm25,32,50,method_only,50,4,46,0,0,0,0.08,0.92,0,0
mpnet,bm25,32,50,bm25_only,50,50,0,0,12,16,1,0,0.24,0.32
mpnet,bm25,33,50,shared,4,4,0,0,4,4,1,0,1,1
mpnet,bm25,33,50,method_only,46,20,26,0,8,14,0.434782608696,0.565217391304,0.173913043478,0.304347826087
mpnet,bm25,33,50,bm25_only,46,43,3,0,17,27,0.934782608696,0.0652173913043,0.369565217391,0.586956521739
mpnet,bm25,34,50,shared,0,0,0,0,0,0,,,,
mpnet,bm25,34,50,method_only,50,18,32,0,4,8,0.36,0.64,0.08,0.16
mpnet,bm25,34,50,bm25_only,50,23,27,0,6,9,0.46,0.54,0.12,0.18
mpnet,bm25,35,50,shared,0,0,0,0,0,0,,,,
mpnet,bm25,35,50,method_only,50,10,40,0,4,7,0.2,0.8,0.08,0.14
mpnet,bm25,35,50,bm25_only,50,46,4,0,23,25,0.92,0.08,0.46,0.5
mpnet,bm25,36,50,shared,12,12,0,0,11,11,1,0,0.916666666667,0.916666666667
mpnet,bm25,36,50,method_only,38,26,12,0,21,22,0.684210526316,0.315789473684,0.552631578947,0.578947368421
mpnet,bm25,36,50,bm25_only,38,38,0,0,31,34,1,0,0.815789473684,0.894736842105
mpnet,bm25,37,50,shared,20,20,0,0,10,16,1,0,0.5,0.8
mpnet,bm25,37,50,method_only,30,29,1,0,14,17,0.966666666667,0.0333333333333,0.466666666667,0.566666666667
mpnet,bm25,37,50,bm25_only,30,30,0,0,15,26,1,0,0.5,0.866666666667
mpnet,bm25,38,50,shared,0,0,0,0,0,0,,,,
mpnet,bm25,38,50,method_only,50,31,19,0,22,29,0.62,0.38,0.44,0.58
mpnet,bm25,38,50,bm25_only,50,45,5,0,18,27,0.9,0.1,0.36,0.54
mpnet,bm25,39,50,shared,16,16,0,0,14,16,1,0,0.875,1
mpnet,bm25,39,50,method_only,34,33,1,0,27,33,0.970588235294,0.0294117647059,0.794117647059,0.970588235294
mpnet,bm25,39,50,bm25_only,34,34,0,0,24,33,1,0,0.705882352941,0.970588235294
mpnet,bm25,40,50,shared,17,17,0,0,16,17,1,0,0.941176470588,1
mpnet,bm25,40,50,method_only,33,33,0,0,27,31,1,0,0.818181818182,0.939393939394
mpnet,bm25,40,50,bm25_only,33,33,0,0,30,33,1,0,0.909090909091,1
mpnet,bm25,41,50,shared,9,9,0,0,8,9,1,0,0.888888888889,1
mpnet,bm25,41,50,method_only,41,36,5,0,33,33,0.878048780488,0.121951219512,0.80487804878,0.80487804878
mpnet,bm25,41,50,bm25_only,41,39,2,0,23,26,0.951219512195,0.0487804878049,0.560975609756,0.634146341463
mpnet,bm25,42,50,shared,8,8,0,0,8,8,1,0,1,1
mpnet,bm25,42,50,method_only,42,42,0,0,39,42,1,0,0.928571428571,1
mpnet,bm25,42,50,bm25_only,42,42,0,0,26,30,1,0,0.619047619048,0.714285714286
mpnet,bm25,43,50,shared,12,12,0,0,9,10,1,0,0.75,0.833333333333
mpnet,bm25,43,50,method_only,38,28,10,0,25,27,0.736842105263,0.263157894737,0.657894736842,0.710526315789
mpnet,bm25,43,50,bm25_only,38,38,0,0,28,31,1,0,0.736842105263,0.815789473684
mpnet,bm25,44,50,shared,5,5,0,0,5,5,1,0,1,1
mpnet,bm25,44,50,method_only,45,40,5,0,37,40,0.888888888889,0.111111111111,0.822222222222,0.888888888889
mpnet,bm25,44,50,bm25_only,45,40,5,0,24,30,0.888888888889,0.111111111111,0.533333333333,0.666666666667
mpnet,bm25,45,50,shared,8,7,1,0,3,7,0.875,0.125,0.375,0.875
mpnet,bm25,45,50,method_only,42,33,9,0,12,32,0.785714285714,0.214285714286,0.285714285714,0.761904761905
mpnet,bm25,45,50,bm25_only,42,39,3,0,16,33,0.928571428571,0.0714285714286,0.380952380952,0.785714285714
mpnet,bm25,46,50,shared,21,21,0,0,19,21,1,0,0.904761904762,1
mpnet,bm25,46,50,method_only,29,14,15,0,5,11,0.48275862069,0.51724137931,0.172413793103,0.379310344828
mpnet,bm25,46,50,bm25_only,29,29,0,0,3,9,1,0,0.103448275862,0.310344827586
mpnet,bm25,47,50,shared,0,0,0,0,0,0,,,,
mpnet,bm25,47,50,method_only,50,20,30,0,16,16,0.4,0.6,0.32,0.32
mpnet,bm25,47,50,bm25_only,50,30,20,0,13,17,0.6,0.4,0.26,0.34
mpnet,bm25,48,50,shared,7,7,0,0,6,7,1,0,0.857142857143,1
mpnet,bm25,48,50,method_only,43,35,8,0,30,33,0.813953488372,0.186046511628,0.697674418605,0.767441860465
mpnet,bm25,48,50,bm25_only,43,21,22,0,14,19,0.488372093023,0.511627906977,0.325581395349,0.441860465116
