method,query_id,k,bm25_candidate_depth,stratum,n_pairs,n_judged,n_unjudged,retrieved_fraction,judged_fraction
mpnet,32,20,1000,in_bm25_top1000,2,0,2,0.1,0
mpnet,32,20,1000,outside_bm25_top1000,18,3,15,0.9,0.166666666667
mpnet,33,20,1000,in_bm25_top1000,7,7,0,0.35,1
mpnet,33,20,1000,outside_bm25_top1000,13,4,9,0.65,0.307692307692
mpnet,34,20,1000,in_bm25_top1000,5,5,0,0.25,1
mpnet,34,20,1000,outside_bm25_top1000,15,2,13,0.75,0.133333333333
mpnet,35,20,1000,in_bm25_top1000,1,1,0,0.05,1
mpnet,35,20,1000,outside_bm25_top1000,19,3,16,0.95,0.157894736842
mpnet,36,20,1000,in_bm25_top1000,18,17,1,0.9,0.944444444444
mpnet,36,20,1000,outside_bm25_top1000,2,0,2,0.1,0
mpnet,37,20,1000,in_bm25_top1000,20,20,0,1,1
mpnet,37,20,1000,outside_bm25_top1000,0,0,0,0,
mpnet,38,20,1000,in_bm25_top1000,3,3,0,0.15,1
mpnet,38,20,1000,outside_bm25_top1000,17,9,8,0.85,0.529411764706
mpnet,39,20,1000,in_bm25_top1000,20,20,0,1,1
mpnet,39,20,1000,outside_bm25_top1000,0,0,0,0,
mpnet,40,20,1000,in_bm25_top1000,19,19,0,0.95,1
mpnet,40,20,1000,outside_bm25_top1000,1,1,0,0.05,1
mpnet,41,20,1000,in_bm25_top1000,16,16,0,0.8,1
mpnet,41,20,1000,outside_bm25_top1000,4,3,1,0.2,0.75
mpnet,42,20,1000,in_bm25_top1000,20,20,0,1,1
mpnet,42,20,1000,outside_bm25_top1000,0,0,0,0,
mpnet,43,20,1000,in_bm25_top1000,20,20,0,1,1
mpnet,43,20,1000,outside_bm25_top1000,0,0,0,0,
mpnet,44,20,1000,in_bm25_top1000,18,17,1,0.9,0.944444444444
mpnet,44,20,1000,outside_bm25_top1000,2,2,0,0.1,1
mpnet,45,20,1000,in_bm25_top1000,15,14,1,0.75,0.933333333333
mpnet,45,20,1000,outside_bm25_top1000,5,5,0,0.25,1
mpnet,46,20,1000,in_bm25_top1000,18,18,0,0.9,1
mpnet,46,20,1000,outside_bm25_top1000,2,2,0,0.1,1
mpnet,47,20,1000,in_bm25_top1000,3,3,0,0.15,1
mpnet,47,20,1000,outside_bm25_top1000,17,6,11,0.85,0.352941176471
mpnet,48,20,1000,in_bm25_top1000,19,18,1,0.95,0.947368421053
mpnet,48,20,1000,outside_bm25_top1000,1,0,1,0.05,0
mpnet,49,20,1000,in_bm25_top1000,3,3,0,0.15,1
mpnet,49,20,1000,outside_bm25_top1000,17,9,8,0.85,0.529411764706
mpnet,50,20,1000,in_bm25_top1000,13,13,0,0.65,1
mpnet,50,20,1000,outside_bm25_top1000,7,1,6,0.35,0.142857142857
mpnet,1,50,1000,in_bm25_top1000,7,5,2,0.14,0.714285714286
mpnet,1,50,1000,outside_bm25_top1000,43,0,43,0.86,0
mpnet,2,50,1000,in_bm25_top1000,2,1,1,0.04,0.5
mpnet,2,50,1000,outside_bm25_top1000,48,2,46,0.96,0.0416666666667
mpnet,3,50,1000,in_bm25_top1000,6,5,1,0.12,0.833333333333
mpnet,3,50,1000,outside_bm25_top1000,44,5,39,0.88,0.113636363636
mpnet,4,50,1000,in_bm25_top1000,12,7,5,0.24,0.583333333333
mpnet,4,50,1000,outside_bm25_top1000,38,9,29,0.76,0.236842105263
mpnet,5,50,1000,in_bm25_top1000,16,9,7,0.32,0.5625
mpnet,5,50,1000,outside_bm25_top1000,34,8,26,0.68,0.235294117647
mpnet,6,50,1000,in_bm25_top1000,21,17,4,0.42,0.809523809524
mpnet,6,50,1000,outside_bm25_top1000,29,8,21,0.58,0.275862068966
mpnet,7,50,1000,in_bm25_top1000,20,18,2,0.4,0.9
mpnet,7,50,1000,outside_bm25_top1000,30,12,18,0.6,0.4
mpnet,8,50,1000,in_bm25_top1000,14,7,7,0.28,0.5
mpnet,8,50,1000,outside_bm25_top1000,36,10,26,0.72,0.277777777778
mpnet,9,50,1000,in_bm25_top1000,31,27,4,0.62,0.870967741935
mpnet,9,50,1000,outside_bm25_top1000,19,6,13,0.38,0.315789473684
mpnet,10,50,1000,in_bm25_top1000,47,37,10,0.94,0.787234042553
mpnet,10,50,1000,outside_bm25_top1000,3,2,1,0.06,0.666666666667
mpnet,11,50,1000,in_bm25_top1000,22,13,9,0.44,0.590909090909
mpnet,11,50,1000,outside_bm25_top1000,28,7,21,0.56,0.25
mpnet,12,50,1000,in_bm25_top1000,8,8,0,0.16,1
mpnet,12,50,1000,outside_bm25_top1000,42,9,33,0.84,0.214285714286
mpnet,13,50,1000,in_bm25_top1000,5,5,0,0.1,1
mpnet,13,50,1000,outside_bm25_top1000,45,4,41,0.9,0.0888888888889
mpnet,14,50,1000,in_bm25_top1000,16,15,1,0.32,0.9375
mpnet,14,50,1000,outside_bm25_top1000,34,4,30,0.68,0.117647058824
mpnet,15,50,1000,in_bm25_top1000,2,2,0,0.04,1
mpnet,15,50,1000,outside_bm25_top1000,48,4,44,0.96,0.0833333333333
mpnet,16,50,1000,in_bm25_top1000,26,26,0,0.52,1
mpnet,16,50,1000,outside_bm25_top1000,24,15,9,0.48,0.625
mpnet,17,50,1000,in_bm25_top1000,35,23,12,0.7,0.657142857143
mpnet,17,50,1000,outside_bm25_top1000,15,3,12,0.3,0.2
mpnet,18,50,1000,in_bm25_top1000,49,34,15,0.98,0.69387755102
mpnet,18,50,1000,outside_bm25_top1000,1,1,0,0.02,1
mpnet,19,50,1000,in_bm25_top1000,31,30,1,0.62,0.967741935484
mpnet,19,50,1000,outside_bm25_top1000,19,10,9,0.38,0.526315789474
mpnet,20,50,1000,in_bm25_top1000,49,44,5,0.98,0.897959183673
mpnet,20,50,1000,outside_bm25_top1000,1,0,1,0.02,0
mpnet,21,50,1000,in_bm25_top1000,13,12,1,0.26,0.923076923077
mpnet,21,50,1000,outside_bm25_top1000,37,9,28,0.74,0.243243243243
mpnet,22,50,1000,in_bm25_top1000,28,19,9,0.56,0.678571428571
mpnet,22,50,1000,outside_bm25_top1000,22,5,17,0.44,0.227272727273
mpnet,23,50,1000,in_bm25_top1000,42,37,5,0.84,0.880952380952
mpnet,23,50,1000,outside_bm25_top1000,8,5,3,0.16,0.625
mpnet,24,50,1000,in_bm25_top1000,40,24,16,0.8,0.6
mpnet,24,50,1000,outside_bm25_top1000,10,3,7,0.2,0.3
mpnet,25,50,1000,in_bm25_top1000,20,11,9,0.4,0.55
mpnet,25,50,1000,outside_bm25_top1000,30,17,13,0.6,0.566666666667
mpnet,26,50,1000,in_bm25_top1000,10,5,5,0.2,0.5
mpnet,26,50,1000,outside_bm25_top1000,40,10,30,0.8,0.25
mpnet,27,50,1000,in_bm25_top1000,35,30,5,0.7,0.857142857143
mpnet,27,50,1000,outside_bm25_top1000,15,0,15,0.3,0
mpnet,28,50,1000,in_bm25_top1000,46,28,18,0.92,0.608695652174
mpnet,28,50,1000,outside_bm25_top1000,4,0,4,0.08,0
mpnet,29,50,1000,in_bm25_top1000,23,18,5,0.46,0.782608695652
mpnet,29,50,1000,outside_bm25_top1000,27,9,18,0.54,0.333333333333
mpnet,30,50,1000,in_bm25_top1000,50,38,12,1,0.76
mpnet,30,50,1000,outside_bm25_top1000,0,0,0,0,
mpnet,31,50,1000,in_bm25_top1000,4,4,0,0.08,1
mpnet,31,50,1000,outside_bm25_top1000,46,3,43,0.92,0.0652173913043
mpnet,32,50,1000,in_bm25_top1000,2,0,2,0.04,0
mpnet,32,50,1000,outside_bm25_top1000,48,4,44,0.96,0.0833333333333
mpnet,33,50,1000,in_bm25_top1000,12,12,0,0.24,1
mpnet,33,50,1000,outside_bm25_top1000,38,12,26,0.76,0.315789473684
mpnet,34,50,1000,in_bm25_top1000,7,6,1,0.14,0.857142857143
mpnet,34,50,1000,outside_bm25_top1000,43,12,31,0.86,0.279069767442
mpnet,35,50,1000,in_bm25_top1000,2,2,0,0.04,1
mpnet,35,50,1000,outside_bm25_top1000,48,8,40,0.96,0.166666666667
mpnet,36,50,1000,in_bm25_top1000,41,35,6,0.82,0.853658536585
mpnet,36,50,1000,outside_bm25_top1000,9,3,6,0.18,0.333333333333
mpnet,37,50,1000,in_bm25_top1000,46,46,0,0.92,1
mpnet,37,50,1000,outside_bm25_top1000,4,3,1,0.08,0.75
mpnet,38,50,1000,in_bm25_top1000,11,10,1,0.22,0.909090909091
mpnet,38,50,1000,outside_bm25_top1000,39,21,18,0.78,0.538461538462
mpnet,39,50,1000,in_bm25_top1000,50,49,1,1,0.98
mpnet,39,50,1000,outside_bm25_top1000,0,0,0,0,
mpnet,40,50,1000,in_bm25_top1000,46,46,0,0.92,1
mpnet,40,50,1000,outside_bm25_top1000,4,4,0,0.08,1
mpnet,41,50,1000,in_bm25_top1000,26,26,0,0.52,1
mpnet,41,50,1000,outside_bm25_top1000,24,19,5,0.48,0.791666666667
mpnet,42,50,1000,in_bm25_top1000,50,50,0,1,1
mpnet,42,50,1000,outside_bm25_top1000,0,0,0,0,
mpnet,43,50,1000,in_bm25_top1000,39,37,2,0.78,0.948717948718
mpnet,43,50,1000,outside_bm25_top1000,11,3,8,0.22,0.272727272727
mpnet,44,50,1000,in_bm25_top1000,39,36,3,0.78,0.923076923077
mpnet,44,50,1000,outside_bm25_top1000,11,9,2,0.22,0.818181818182
mpnet,45,50,1000,in_bm25_top1000,35,28,7,0.7,0.8
mpnet,45,50,1000,outside_bm25_top1000,15,12,3,0.3,0.8
mpnet,46,50,1000,in_bm25_top1000,28,28,0,0.56,1
mpnet,46,50,1000,outside_bm25_top1000,22,7,15,0.44,0.318181818182
mpnet,47,50,1000,in_bm25_top1000,8,8,0,0.16,1
mpnet,47,50,1000,outside_bm25_top1000,42,12,30,0.84,0.285714285714
mpnet,48,50,1000,in_bm25_top1000,43,39,4,0.86,0.906976744186
mpnet,48,50,1000,outside_bm25_top1000,7,3,4,0.14,0.428571428571
mpnet,49,50,1000,in_bm25_top1000,10,10,0,0.2,1
mpnet,49,50,1000,outside_bm25_top1000,40,15,25,0.8,0.375
mpnet,50,50,1000,in_bm25_top1000,36,34,2,0.72,0.944444444444
mpnet,50,50,1000,outside_bm25_top1000,14,2,12,0.28,0.142857142857
mpnet,1,100,1000,in_bm25_top1000,13,11,2,0.13,0.846153846154
mpnet,1,100,1000,outside_bm25_top1000,87,3,84,0.87,0.0344827586207
mpnet,2,100,1000,in_bm25_top1000,8,6,2,0.08,0.75
mpnet,2,100,1000,outside_bm25_top1000,92,7,85,0.92,0.0760869565217
mpnet,3,100,1000,in_bm25_top1000,14,12,2,0.14,0.857142857143
mpnet,3,100,1000,outside_bm25_top1000,86,13,73,0.86,0.151162790698
mpnet,4,100,1000,in_bm25_top1000,22,16,6,0.22,0.727272727273
mpnet,4,100,1000,outside_bm25_top1000,78,12,66,0.78,0.153846153846
mpnet,5,100,1000,in_bm25_top1000,36,22,14,0.36,0.611111111111
mpnet,5,100,1000,outside_bm25_top1000,64,14,50,0.64,0.21875
mpnet,6,100,1000,in_bm25_top1000,36,28,8,0.36,0.777777777778
mpnet,6,100,1000,outside_bm25_top1000,64,14,50,0.64,0.21875
mpnet,7,100,1000,in_bm25_top1000,48,41,7,0.48,0.854166666667
mpnet,7,100,1000,outside_bm25_top1000,52,18,34,0.52,0.346153846154
mpnet,8,100,1000,in_bm25_top1000,25,13,12,0.25,0.52
mpnet,8,100,1000,outside_bm25_top1000,75,19,56,0.75,0.253333333333
mpnet,9,100,1000,in_bm25_top1000,49,42,7,0.49,0.857142857143
mpnet,9,100,1000,outside_bm25_top1000,51,7,44,0.51,0.137254901961
mpnet,10,100,1000,in_bm25_top1000,94,76,18,0.94,0.808510638298
mpnet,10,100,1000,outside_bm25_top1000,6,3,3,0.06,0.5
mpnet,11,100,1000,in_bm25_top1000,29,17,12,0.29,0.586206896552
mpnet,11,100,1000,outside_bm25_top1000,71,9,62,0.71,0.12676056338
mpnet,12,100,1000,in_bm25_top1000,11,10,1,0.11,0.909090909091
mpnet,12,100,1000,outside_bm25_top1000,89,21,68,0.89,0.23595505618
mpnet,13,100,1000,in_bm25_top1000,7,5,2,0.07,0.714285714286
mpnet,13,100,1000,outside_bm25_top1000,93,8,85,0.93,0.0860215053763
mpnet,14,100,1000,in_bm25_top1000,19,18,1,0.19,0.947368421053
mpnet,14,100,1000,outside_bm25_top1000,81,6,75,0.81,0.0740740740741
mpnet,15,100,1000,in_bm25_top1000,4,3,1,0.04,0.75
mpnet,15,100,1000,outside_bm25_top1000,96,7,89,0.96,0.0729166666667
mpnet,16,100,1000,in_bm25_top1000,43,40,3,0.43,0.93023255814
mpnet,16,100,1000,outside_bm25_top1000,57,27,30,0.57,0.473684210526
mpnet,17,100,1000,in_bm25_top1000,64,46,18,0.64,0.71875
mpnet,17,100,1000,outside_bm25_top1000,36,7,29,0.36,0.194444444444
mpnet,18,100,1000,in_bm25_top1000,92,70,22,0.92,0.760869565217
mpnet,18,100,1000,outside_bm25_top1000,8,5,3,0.08,0.625
mpnet,19,100,1000,in_bm25_top1000,46,43,3,0.46,0.934782608696
mpnet,19,100,1000,outside_bm25_top1000,54,17,37,0.54,0.314814814815
mpnet,20,100,1000,in_bm25_top1000,94,84,10,0.94,0.893617021277
mpnet,20,100,1000,outside_bm25_top1000,6,3,3,0.06,0.5
mpnet,21,100,1000,in_bm25_top1000,23,20,3,0.23,0.869565217391
mpnet,21,100,1000,outside_bm25_top1000,77,16,61,0.77,0.207792207792
mpnet,22,100,1000,in_bm25_top1000,48,31,17,0.48,0.645833333333
mpnet,22,100,1000,outside_bm25_top1000,52,11,41,0.52,0.211538461538
mpnet,23,100,1000,in_bm25_top1000,73,60,13,0.73,0.821917808219
mpnet,23,100,1000,outside_bm25_top1000,27,11,16,0.27,0.407407407407
mpnet,24,100,1000,in_bm25_top1000,81,50,31,0.81,0.617283950617
mpnet,24,100,1000,outside_bm25_top1000,19,3,16,0.19,0.157894736842
mpnet,25,100,1000,in_bm25_top1000,37,26,11,0.37,0.702702702703
mpnet,25,100,1000,outside_bm25_top1000,63,30,33,0.63,0.47619047619
mpnet,26,100,1000,in_bm25_top1000,22,8,14,0.22,0.363636363636
mpnet,26,100,1000,outside_bm25_top1000,78,15,63,0.78,0.192307692308
mpnet,27,100,1000,in_bm25_top1000,50,42,8,0.5,0.84
mpnet,27,100,1000,outside_bm25_top1000,50,0,50,0.5,0
mpnet,28,100,1000,in_bm25_top1000,84,55,29,0.84,0.654761904762
mpnet,28,100,1000,outside_bm25_top1000,16,5,11,0.16,0.3125
mpnet,29,100,1000,in_bm25_top1000,48,35,13,0.48,0.729166666667
mpnet,29,100,1000,outside_bm25_top1000,52,9,43,0.52,0.173076923077
mpnet,30,100,1000,in_bm25_top1000,100,80,20,1,0.8
mpnet,30,100,1000,outside_bm25_top1000,0,0,0,0,
mpnet,31,100,1000,in_bm25_top1000,13,12,1,0.13,0.923076923077
mpnet,31,100,1000,outside_bm25_top1000,87,7,80,0.87,0.0804597701149
mpnet,32,100,1000,in_bm25_top1000,2,0,2,0.02,0
mpnet,32,100,1000,outside_bm25_top1000,98,11,87,0.98,0.112244897959
mpnet,33,100,1000,in_bm25_top1000,21,21,0,0.21,1
mpnet,33,100,1000,outside_bm25_top1000,79,20,59,0.79,0.253164556962
mpnet,34,100,1000,in_bm25_top1000,7,6,1,0.07,0.857142857143
mpnet,34,100,1000,outside_bm25_top1000,93,19,74,0.93,0.204301075269
mpnet,35,100,1000,in_bm25_top1000,10,9,1,0.1,0.9
mpnet,35,100,1000,outside_bm25_top1000,90,15,75,0.9,0.166666666667
mpnet,36,100,1000,in_bm25_top1000,83,70,13,0.83,0.843373493976
mpnet,36,100,1000,outside_bm25_top1000,17,5,12,0.17,0.294117647059
mpnet,37,100,1000,in_bm25_top1000,86,81,5,0.86,0.941860465116
mpnet,37,100,1000,outside_bm25_top1000,14,6,8,0.14,0.428571428571
mpnet,38,100,1000,in_bm25_top1000,26,24,2,0.26,0.923076923077
mpnet,38,100,1000,outside_bm25_top1000,74,41,33,0.74,0.554054054054
mpnet,39,100,1000,in_bm25_top1000,97,93,4,0.97,0.958762886598
mpnet,39,100,1000,outside_bm25_top1000,3,1,2,0.03,0.333333333333
mpnet,40,100,1000,in_bm25_top1000,86,84,2,0.86,0.976744186047
mpnet,40,100,1000,outside_bm25_top1000,14,8,6,0.14,0.571428571429
mpnet,41,100,1000,in_bm25_top1000,47,47,0,0.47,1
mpnet,41,100,1000,outside_bm25_top1000,53,42,11,0.53,0.792452830189
mpnet,42,100,1000,in_bm25_top1000,99,99,0,0.99,1
mpnet,42,100,1000,outside_bm25_top1000,1,1,0,0.01,1
mpnet,43,100,1000,in_bm25_top1000,59,57,2,0.59,0.966101694915
mpnet,43,100,1000,outside_bm25_top1000,41,3,38,0.41,0.0731707317073
mpnet,44,100,1000,in_bm25_top1000,68,60,8,0.68,0.882352941176
mpnet,44,100,1000,outside_bm25_top1000,32,20,12,0.32,0.625
mpnet,45,100,1000,in_bm25_top1000,65,53,12,0.65,0.815384615385
mpnet,45,100,1000,outside_bm25_top1000,35,19,16,0.35,0.542857142857
mpnet,46,100,1000,in_bm25_top1000,40,36,4,0.4,0.9
mpnet,46,100,1000,outside_bm25_top1000,60,11,49,0.6,0.183333333333
mpnet,47,100,1000,in_bm25_top1000,20,18,2,0.2,0.9
mpnet,47,100,1000,outside_bm25_top1000,80,21,59,0.8,0.2625
mpnet,48,100,1000,in_bm25_top1000,84,71,13,0.84,0.845238095238
mpnet,48,100,1000,outside_bm25_top1000,16,7,9,0.16,0.4375
mpnet,49,100,1000,in_bm25_top1000,20,20,0,0.2,1
mpnet,49,100,1000,outside_bm25_top1000,80,27,53,0.8,0.3375
mpnet,50,100,1000,in_bm25_top1000,65,60,5,0.65,0.923076923077
mpnet,50,100,1000,outside_bm25_top1000,35,6,29,0.35,0.171428571429
mpnet,1,1000,1000,in_bm25_top1000,82,59,23,0.082,0.719512195122
mpnet,1,1000,1000,outside_bm25_top1000,918,69,849,0.918,0.0751633986928
mpnet,2,1000,1000,in_bm25_top1000,56,45,11,0.056,0.803571428571
mpnet,2,1000,1000,outside_bm25_top1000,944,113,831,0.944,0.119703389831
mpnet,3,1000,1000,in_bm25_top1000,121,85,36,0.121,0.702479338843
mpnet,3,1000,1000,outside_bm25_top1000,879,79,800,0.879,0.0898748577929
mpnet,4,1000,1000,in_bm25_top1000,126,76,50,0.126,0.603174603175
mpnet,4,1000,1000,outside_bm25_top1000,874,94,780,0.874,0.107551487414
mpnet,5,1000,1000,in_bm25_top1000,231,138,93,0.231,0.597402597403
mpnet,5,1000,1000,outside_bm25_top1000,769,102,667,0.769,0.132639791938
mpnet,6,1000,1000,in_bm25_top1000,217,153,64,0.217,0.705069124424
mpnet,6,1000,1000,outside_bm25_top1000,783,149,634,0.783,0.190293742018
mpnet,7,1000,1000,in_bm25_top1000,394,307,87,0.394,0.779187817259
mpnet,7,1000,1000,outside_bm25_top1000,606,127,479,0.606,0.209570957096
mpnet,8,1000,1000,in_bm25_top1000,100,62,38,0.1,0.62
mpnet,8,1000,1000,outside_bm25_top1000,900,120,780,0.9,0.133333333333
mpnet,9,1000,1000,in_bm25_top1000,119,93,26,0.119,0.781512605042
mpnet,9,1000,1000,outside_bm25_top1000,881,42,839,0.881,0.0476730987514
mpnet,10,1000,1000,in_bm25_top1000,476,311,165,0.476,0.653361344538
mpnet,10,1000,1000,outside_bm25_top1000,524,96,428,0.524,0.18320610687
mpnet,11,1000,1000,in_bm25_top1000,182,99,83,0.182,0.543956043956
mpnet,11,1000,1000,outside_bm25_top1000,818,55,763,0.818,0.0672371638142
mpnet,12,1000,1000,in_bm25_top1000,90,49,41,0.09,0.544444444444
mpnet,12,1000,1000,outside_bm25_top1000,910,93,817,0.91,0.102197802198
mpnet,13,1000,1000,in_bm25_top1000,117,75,42,0.117,0.641025641026
mpnet,13,1000,1000,outside_bm25_top1000,883,126,757,0.883,0.142695356738
mpnet,14,1000,1000,in_bm25_top1000,44,40,4,0.044,0.909090909091
mpnet,14,1000,1000,outside_bm25_top1000,956,54,902,0.956,0.0564853556485
mpnet,15,1000,1000,in_bm25_top1000,38,15,23,0.038,0.394736842105
mpnet,15,1000,1000,outside_bm25_top1000,962,101,861,0.962,0.10498960499
mpnet,16,1000,1000,in_bm25_top1000,97,85,12,0.097,0.876288659794
mpnet,16,1000,1000,outside_bm25_top1000,903,163,740,0.903,0.180509413068
mpnet,17,1000,1000,in_bm25_top1000,249,176,73,0.249,0.706827309237
mpnet,17,1000,1000,outside_bm25_top1000,751,58,693,0.751,0.0772303595206
mpnet,18,1000,1000,in_bm25_top1000,489,323,166,0.489,0.660531697342
mpnet,18,1000,1000,outside_bm25_top1000,511,97,414,0.511,0.189823874755
mpnet,19,1000,1000,in_bm25_top1000,158,121,37,0.158,0.76582278481
mpnet,19,1000,1000,outside_bm25_top1000,842,109,733,0.842,0.12945368171
mpnet,20,1000,1000,in_bm25_top1000,516,334,182,0.516,0.647286821705
mpnet,20,1000,1000,outside_bm25_top1000,484,78,406,0.484,0.161157024793
mpnet,21,1000,1000,in_bm25_top1000,151,118,33,0.151,0.781456953642
mpnet,21,1000,1000,outside_bm25_top1000,849,157,692,0.849,0.18492343934
mpnet,22,1000,1000,in_bm25_top1000,369,201,168,0.369,0.544715447154
mpnet,22,1000,1000,outside_bm25_top1000,631,136,495,0.631,0.215530903328
mpnet,23,1000,1000,in_bm25_top1000,282,202,80,0.282,0.716312056738
mpnet,23,1000,1000,outside_bm25_top1000,718,114,604,0.718,0.158774373259
mpnet,24,1000,1000,in_bm25_top1000,438,265,173,0.438,0.60502283105
mpnet,24,1000,1000,outside_bm25_top1000,562,86,476,0.562,0.153024911032
mpnet,25,1000,1000,in_bm25_top1000,152,90,62,0.152,0.592105263158
mpnet,25,1000,1000,outside_bm25_top1000,848,187,661,0.848,0.220518867925
mpnet,26,1000,1000,in_bm25_top1000,135,70,65,0.135,0.518518518519
mpnet,26,1000,1000,outside_bm25_top1000,865,132,733,0.865,0.152601156069
mpnet,27,1000,1000,in_bm25_top1000,139,102,37,0.139,0.73381294964
mpnet,27,1000,1000,outside_bm25_top1000,861,23,838,0.861,0.0267131242741
mpnet,28,1000,1000,in_bm25_top1000,643,368,275,0.643,0.57231726283
mpnet,28,1000,1000,outside_bm25_top1000,357,92,265,0.357,0.257703081232
mpnet,29,1000,1000,in_bm25_top1000,314,203,111,0.314,0.646496815287
mpnet,29,1000,1000,outside_bm25_top1000,686,103,583,0.686,0.150145772595
mpnet,30,1000,1000,in_bm25_top1000,348,214,134,0.348,0.614942528736
mpnet,30,1000,1000,outside_bm25_top1000,652,51,601,0.652,0.0782208588957
mpnet,31,1000,1000,in_bm25_top1000,97,72,25,0.097,0.742268041237
mpnet,31,1000,1000,outside_bm25_top1000,903,73,830,0.903,0.0808416389812
mpnet,32,1000,1000,in_bm25_top1000,79,25,54,0.079,0.316455696203
mpnet,32,1000,1000,outside_bm25_top1000,921,68,853,0.921,0.0738327904452
mpnet,33,1000,1000,in_bm25_top1000,122,104,18,0.122,0.852459016393
