method,candidate_source,query_id,k,n_method_only,n_source_only,identical_sets,n_positions_changed,judged_count_delta,relevant_count_delta_strict,relevant_count_delta_relaxed
direct_mmr_rerank,direct,24,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,25,1000,0,0,1,1000,0,0,0
direct_mmr_rerank,direct,26,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,27,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,28,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,29,1000,0,0,1,997,0,0,0
direct_mmr_rerank,direct,30,1000,0,0,1,1000,0,0,0
direct_mmr_rerank,direct,31,1000,0,0,1,997,0,0,0
direct_mmr_rerank,direct,32,1000,0,0,1,998,0,0,0
direct_mmr_rerank,direct,33,1000,0,0,1,998,0,0,0
direct_mmr_rerank,direct,34,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,35,1000,0,0,1,998,0,0,0
direct_mmr_rerank,direct,36,1000,0,0,1,1000,0,0,0
direct_mmr_rerank,direct,37,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,38,1000,0,0,1,998,0,0,0
direct_mmr_rerank,direct,39,1000,0,0,1,1000,0,0,0
direct_mmr_rerank,direct,40,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,41,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,42,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,43,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,44,1000,0,0,1,998,0,0,0
direct_mmr_rerank,direct,45,1000,0,0,1,998,0,0,0
direct_mmr_rerank,direct,46,1000,0,0,1,1000,0,0,0
direct_mmr_rerank,direct,47,1000,0,0,1,998,0,0,0
direct_mmr_rerank,direct,48,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,49,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,50,1000,0,0,1,998,0,0,0
