method,baseline,query_id,k,n_shared,n_method_only,n_bm25_only,n_union,overlap_fraction,jaccard
mpnet,bm25,23,50,12,38,38,88,0.24,0.136363636364
mpnet,bm25,24,50,1,49,49,99,0.02,0.010101010101
mpnet,bm25,25,50,3,47,47,97,0.06,0.0309278350515
mpnet,bm25,26,50,0,50,50,100,0,0
mpnet,bm25,27,50,8,42,42,92,0.16,0.0869565217391
mpnet,bm25,28,50,4,46,46,96,0.08,0.0416666666667
mpnet,bm25,29,50,10,40,40,90,0.2,0.111111111111
mpnet,bm25,30,50,16,34,34,84,0.32,0.190476190476
mpnet,bm25,31,50,0,50,50,100,0,0
mpnet,bm25,32,50,0,50,50,100,0,0
mpnet,bm25,33,50,4,46,46,96,0.08,0.0416666666667
mpnet,bm25,34,50,0,50,50,100,0,0
mpnet,bm25,35,50,0,50,50,100,0,0
mpnet,bm25,36,50,12,38,38,88,0.24,0.136363636364
mpnet,bm25,37,50,20,30,30,80,0.4,0.25
mpnet,bm25,38,50,0,50,50,100,0,0
mpnet,bm25,39,50,16,34,34,84,0.32,0.190476190476
mpnet,bm25,40,50,17,33,33,83,0.34,0.204819277108
mpnet,bm25,41,50,9,41,41,91,0.18,0.0989010989011
mpnet,bm25,42,50,8,42,42,92,0.16,0.0869565217391
mpnet,bm25,43,50,12,38,38,88,0.24,0.136363636364
mpnet,bm25,44,50,5,45,45,95,0.1,0.0526315789474
mpnet,bm25,45,50,8,42,42,92,0.16,0.0869565217391
mpnet,bm25,46,50,21,29,29,79,0.42,0.26582278481
mpnet,bm25,47,50,0,50,50,100,0,0
mpnet,bm25,48,50,7,43,43,93,0.14,0.0752688172043
mpnet,bm25,49,50,1,49,49,99,0.02,0.010101010101
mpnet,bm25,50,50,10,40,40,90,0.2,0.111111111111
mpnet,bm25,1,100,9,91,91,191,0.09,0.0471204188482
mpnet,bm25,2,100,3,97,97,197,0.03,0.0152284263959
mpnet,bm25,3,100,6,94,94,194,0.06,0.0309278350515
mpnet,bm25,4,100,9,91,91,191,0.09,0.0471204188482
mpnet,bm25,5,100,8,92,92,192,0.08,0.0416666666667
mpnet,bm25,6,100,16,84,84,184,0.16,0.0869565217391
mpnet,bm25,7,100,21,79,79,179,0.21,0.117318435754
mpnet,bm25,8,100,12,88,88,188,0.12,0.063829787234
mpnet,bm25,9,100,28,72,72,172,0.28,0.162790697674
mpnet,bm25,10,100,23,77,77,177,0.23,0.129943502825
mpnet,bm25,11,100,7,93,93,193,0.07,0.0362694300518
mpnet,bm25,12,100,6,94,94,194,0.06,0.0309278350515
mpnet,bm25,13,100,4,96,96,196,0.04,0.0204081632653
mpnet,bm25,14,100,15,85,85,185,0.15,0.0810810810811
mpnet,bm25,15,100,1,99,99,199,0.01,0.00502512562814
mpnet,bm25,16,100,10,90,90,190,0.1,0.0526315789474
mpnet,bm25,17,100,12,88,88,188,0.12,0.063829787234
mpnet,bm25,18,100,20,80,80,180,0.2,0.111111111111
mpnet,bm25,19,100,25,75,75,175,0.25,0.142857142857
mpnet,bm25,20,100,18,82,82,182,0.18,0.0989010989011
mpnet,bm25,21,100,7,93,93,193,0.07,0.0362694300518
mpnet,bm25,22,100,16,84,84,184,0.16,0.0869565217391
mpnet,bm25,23,100,29,71,71,171,0.29,0.169590643275
mpnet,bm25,24,100,8,92,92,192,0.08,0.0416666666667
mpnet,bm25,25,100,13,87,87,187,0.13,0.0695187165775
mpnet,bm25,26,100,0,100,100,200,0,0
mpnet,bm25,27,100,19,81,81,181,0.19,0.104972375691
mpnet,bm25,28,100,18,82,82,182,0.18,0.0989010989011
mpnet,bm25,29,100,20,80,80,180,0.2,0.111111111111
mpnet,bm25,30,100,45,55,55,155,0.45,0.290322580645
mpnet,bm25,31,100,1,99,99,199,0.01,0.00502512562814
mpnet,bm25,32,100,0,100,100,200,0,0
mpnet,bm25,33,100,5,95,95,195,0.05,0.025641025641
mpnet,bm25,34,100,2,98,98,198,0.02,0.010101010101
mpnet,bm25,35,100,3,97,97,197,0.03,0.0152284263959
mpnet,bm25,36,100,33,67,67,167,0.33,0.197604790419
mpnet,bm25,37,100,33,67,67,167,0.33,0.197604790419
mpnet,bm25,38,100,5,95,95,195,0.05,0.025641025641
mpnet,bm25,39,100,39,61,61,161,0.39,0.242236024845
mpnet,bm25,40,100,54,46,46,146,0.54,0.369863013699
mpnet,bm25,41,100,36,64,64,164,0.36,0.219512195122
mpnet,bm25,42,100,38,62,62,162,0.38,0.234567901235
mpnet,bm25,43,100,37,63,63,163,0.37,0.226993865031
mpnet,bm25,44,100,16,84,84,184,0.16,0.0869565217391
mpnet,bm25,45,100,19,81,81,181,0.19,0.104972375691
mpnet,bm25,46,100,24,76,76,176,0.24,0.136363636364
mpnet,bm25,47,100,4,96,96,196,0.04,0.0204081632653
mpnet,bm25,48,100,17,83,83,183,0.17,0.0928961748634
mpnet,bm25,49,100,6,94,94,194,0.06,0.0309278350515
mpnet,bm25,50,100,20,80,80,180,0.2,0.111111111111
mpnet,bm25,1,1000,82,918,918,1918,0.082,0.0427528675704
mpnet,bm25,2,1000,56,944,944,1944,0.056,0.0288065843621
mpnet,bm25,3,1000,121,879,879,1879,0.121,0.0643959552954
mpnet,bm25,4,1000,126,874,874,1874,0.126,0.0672358591249
mpnet,bm25,5,1000,231,769,769,1769,0.231,0.130582249859
mpnet,bm25,6,1000,217,783,783,1783,0.217,0.121704991587
mpnet,bm25,7,1000,394,606,606,1606,0.394,0.245330012453
mpnet,bm25,8,1000,100,900,900,1900,0.1,0.0526315789474
mpnet,bm25,9,1000,119,881,881,1881,0.119,0.063264221159
mpnet,bm25,10,1000,476,524,524,1524,0.476,0.312335958005
mpnet,bm25,11,1000,182,818,818,1818,0.182,0.100110011001
mpnet,bm25,12,1000,90,910,910,1910,0.09,0.0471204188482
mpnet,bm25,13,1000,117,883,883,1883,0.117,0.0621348911312
mpnet,bm25,14,1000,44,956,956,1956,0.044,0.0224948875256
mpnet,bm25,15,1000,38,962,962,1962,0.038,0.0193679918451
mpnet,bm25,16,1000,97,903,903,1903,0.097,0.050972149238
mpnet,bm25,17,1000,249,751,751,1751,0.249,0.142204454597
mpnet,bm25,18,1000,489,511,511,1511,0.489,0.32362673726
mpnet,bm25,19,1000,158,842,842,1842,0.158,0.085776330076
mpnet,bm25,20,1000,516,484,484,1484,0.516,0.347708894879
mpnet,bm25,21,1000,151,849,849,1849,0.151,0.0816657652785
mpnet,bm25,22,1000,369,631,631,1631,0.369,0.226241569589
mpnet,bm25,23,1000,282,718,718,1718,0.282,0.1641443539
mpnet,bm25,24,1000,438,562,562,1562,0.438,0.280409731114
mpnet,bm25,25,1000,152,848,848,1848,0.152,0.0822510822511
mpnet,bm25,26,1000,135,865,865,1865,0.135,0.0723860589812
mpnet,bm25,27,1000,139,861,861,1861,0.139,0.0746910263299
mpnet,bm25,28,1000,643,357,357,1357,0.643,0.473839351511
mpnet,bm25,29,1000,314,686,686,1686,0.314,0.186239620403
mpnet,bm25,30,1000,348,652,652,1652,0.348,0.210653753027
mpnet,bm25,31,1000,97,903,903,1903,0.097,0.050972149238
mpnet,bm25,32,1000,79,921,921,1921,0.079,0.0411244143675
mpnet,bm25,33,1000,122,878,878,1878,0.122,0.0649627263046
mpnet,bm25,34,1000,43,957,957,1957,0.043,0.021972406745
mpnet,bm25,35,1000,58,942,942,1942,0.058,0.0298661174047
mpnet,bm25,36,1000,564,436,436,1436,0.564,0.392757660167
mpnet,bm25,37,1000,552,448,448,1448,0.552,0.381215469613
mpnet,bm25,38,1000,171,829,829,1829,0.171,0.0934937124112
mpnet,bm25,39,1000,451,549,549,1549,0.451,0.291155584248
mpnet,bm25,40,1000,390,610,610,1610,0.39,0.242236024845
mpnet,bm25,41,1000,162,838,838,1838,0.162,0.0881392818281
mpnet,bm25,42,1000,290,710,710,1710,0.29,0.169590643275
mpnet,bm25,43,1000,127,873,873,1873,0.127,0.06780565937
mpnet,bm25,44,1000,383,617,617,1617,0.383,0.236858379716
mpnet,bm25,45,1000,473,527,527,1527,0.473,0.309757694826
mpnet,bm25,46,1000,159,841,841,1841,0.159,0.0863661053775
mpnet,bm25,47,1000,236,764,764,1764,0.236,0.133786848073
mpnet,bm25,48,1000,208,792,792,1792,0.208,0.116071428571
mpnet,bm25,49,1000,118,882,882,1882,0.118,0.0626992561105
mpnet,bm25,50,1000,359,641,641,1641,0.359,0.218769043266
direct,bm25,1,20,13,7,7,27,0.65,0.481481481481
direct,bm25,2,20,8,12,12,32,0.4,0.25
direct,bm25,3,20,10,10,10,30,0.5,0.333333333333
direct,bm25,4,20,11,9,9,29,0.55,0.379310344828
direct,bm25,5,20,11,9,9,29,0.55,0.379310344828
direct,bm25,6,20,11,9,9,29,0.55,0.379310344828
direct,bm25,7,20,14,6,6,26,0.7,0.538461538462
direct,bm25,8,20,15,5,5,25,0.75,0.6
direct,bm25,9,20,9,11,11,31,0.45,0.290322580645
direct,bm25,10,20,14,6,6,26,0.7,0.538461538462
direct,bm25,11,20,10,10,10,30,0.5,0.333333333333
direct,bm25,12,20,8,12,12,32,0.4,0.25
direct,bm25,13,20,15,5,5,25,0.75,0.6
direct,bm25,14,20,18,2,2,22,0.9,0.818181818182
direct,bm25,15,20,9,11,11,31,0.45,0.290322580645
direct,bm25,16,20,6,14,14,34,0.3,0.176470588235
direct,bm25,17,20,10,10,10,30,0.5,0.333333333333
direct,bm25,18,20,11,9,9,29,0.55,0.379310344828
direct,bm25,19,20,13,7,7,27,0.65,0.481481481481
direct,bm25,20,20,15,5,5,25,0.75,0.6
direct,bm25,21,20,13,7,7,27,0.65,0.481481481481
direct,bm25,22,20,17,3,3,23,0.85,0.739130434783
direct,bm25,23,20,14,6,6,26,0.7,0.538461538462
direct,bm25,24,20,9,11,11,31,0.45,0.290322580645
direct,bm25,25,20,6,14,14,34,0.3,0.176470588235
direct,bm25,26,20,15,5,5,25,0.75,0.6
direct,bm25,27,20,6,14,14,34,0.3,0.176470588235
direct,bm25,28,20,9,11,11,31,0.45,0.290322580645
direct,bm25,29,20,14,6,6,26,0.7,0.538461538462
direct,bm25,30,20,14,6,6,26,0.7,0.538461538462
direct,bm25,31,20,15,5,5,25,0.75,0.6
direct,bm25,32,20,14,6,6,26,0.7,0.538461538462
direct,bm25,33,20,11,9,9,29,0.55,0.379310344828
direct,bm25,34,20,8,12,12,32,0.4,0.25
direct,bm25,35,20,10,10,10,30,0.5,0.333333333333
direct,bm25,36,20,14,6,6,26,0.7,0.538461538462
direct,bm25,37,20,15,5,5,25,0.75,0.6
direct,bm25,38,20,10,10,10,30,0.5,0.333333333333
direct,bm25,39,20,14,6,6,26,0.7,0.538461538462
direct,bm25,40,20,14,6,6,26,0.7,0.538461538462
direct,bm25,41,20,11,9,9,29,0.55,0.379310344828
direct,bm25,42,20,12,8,8,28,0.6,0.428571428571
direct,bm25,43,20,13,7,7,27,0.65,0.481481481481
direct,bm25,44,20,12,8,8,28,0.6,0.428571428571
direct,bm25,45,20,10,10,10,30,0.5,0.333333333333
direct,bm25,46,20,11,9,9,29,0.55,0.379310344828
direct,bm25,47,20,6,14,14,34,0.3,0.176470588235
direct,bm25,48,20,11,9,9,29,0.55,0.379310344828
direct,bm25,49,20,9,11,11,31,0.45,0.290322580645
direct,bm25,50,20,14,6,6,26,0.7,0.538461538462
direct,bm25,1,50,26,24,24,74,0.52,0.351351351351
direct,bm25,2,50,34,16,16,66,0.68,0.515151515152
direct,bm25,3,50,29,21,21,71,0.58,0.408450704225
direct,bm25,4,50,33,17,17,67,0.66,0.492537313433
direct,bm25,5,50,24,26,26,76,0.48,0.315789473684
direct,bm25,6,50,26,24,24,74,0.52,0.351351351351
direct,bm25,7,50,34,16,16,66,0.68,0.515151515152
direct,bm25,8,50,28,22,22,72,0.56,0.388888888889
direct,bm25,9,50,34,16,16,66,0.68,0.515151515152
direct,bm25,10,50,29,21,21,71,0.58,0.408450704225
direct,bm25,11,50,33,17,17,67,0.66,0.492537313433
direct,bm25,12,50,28,22,22,72,0.56,0.388888888889
direct,bm25,13,50,38,12,12,62,0.76,0.612903225806
direct,bm25,14,50,43,7,7,57,0.86,0.754385964912
direct,bm25,15,50,16,34,34,84,0.32,0.190476190476
direct,bm25,16,50,15,35,35,85,0.3,0.176470588235
direct,bm25,17,50,21,29,29,79,0.42,0.26582278481
direct,bm25,18,50,32,18,18,68,0.64,0.470588235294
direct,bm25,19,50,41,9,9,59,0.82,0.694915254237
direct,bm25,20,50,29,21,21,71,0.58,0.408450704225
direct,bm25,21,50,34,16,16,66,0.68,0.515151515152
direct,bm25,22,50,34,16,16,66,0.68,0.515151515152
direct,bm25,23,50,30,20,20,70,0.6,0.428571428571
direct,bm25,24,50,33,17,17,67,0.66,0.492537313433
direct,bm25,25,50,16,34,34,84,0.32,0.190476190476
direct,bm25,26,50,34,16,16,66,0.68,0.515151515152
direct,bm25,27,50,19,31,31,81,0.38,0.234567901235
direct,bm25,28,50,30,20,20,70,0.6,0.428571428571
direct,bm25,29,50,39,11,11,61,0.78,0.639344262295
direct,bm25,30,50,34,16,16,66,0.68,0.515151515152
direct,bm25,31,50,28,22,22,72,0.56,0.388888888889
direct,bm25,32,50,27,23,23,73,0.54,0.369863013699
direct,bm25,33,50,32,18,18,68,0.64,0.470588235294
direct,bm25,34,50,20,30,30,80,0.4,0.25
direct,bm25,35,50,33,17,17,67,0.66,0.492537313433
direct,bm25,36,50,37,13,13,63,0.74,0.587301587302
direct,bm25,37,50,41,9,9,59,0.82,0.694915254237
direct,bm25,38,50,24,26,26,76,0.48,0.315789473684
direct,bm25,39,50,36,14,14,64,0.72,0.5625
direct,bm25,40,50,40,10,10,60,0.8,0.666666666667
direct,bm25,41,50,34,16,16,66,0.68,0.515151515152
direct,bm25,42,50,31,19,19,69,0.62,0.449275362319
direct,bm25,43,50,34,16,16,66,0.68,0.515151515152
direct,bm25,44,50,32,18,18,68,0.64,0.470588235294
direct,bm25,45,50,25,25,25,75,0.5,0.333333333333
direct,bm25,46,50,38,12,12,62,0.76,0.612903225806
direct,bm25,47,50,21,29,29,79,0.42,0.26582278481
direct,bm25,48,50,21,29,29,79,0.42,0.26582278481
direct,bm25,49,50,17,33,33,83,0.34,0.204819277108
direct,bm25,50,50,21,29,29,79,0.42,0.26582278481
direct,bm25,1,100,51,49,49,149,0.51,0.342281879195
direct,bm25,2,100,68,32,32,132,0.68,0.515151515152
direct,bm25,3,100,66,34,34,134,0.66,0.492537313433
direct,bm25,4,100,72,28,28,128,0.72,0.5625
direct,bm25,5,100,47,53,53,153,0.47,0.307189542484
direct,bm25,6,100,47,53,53,153,0.47,0.307189542484
direct,bm25,7,100,68,32,32,132,0.68,0.515151515152
direct,bm25,8,100,55,45,45,145,0.55,0.379310344828
direct,bm25,9,100,69,31,31,131,0.69,0.526717557252
direct,bm25,10,100,66,34,34,134,0.66,0.492537313433
direct,bm25,11,100,74,26,26,126,0.74,0.587301587302
direct,bm25,12,100,58,42,42,142,0.58,0.408450704225
direct,bm25,13,100,66,34,34,134,0.66,0.492537313433
direct,bm25,14,100,76,24,24,124,0.76,0.612903225806
direct,bm25,15,100,30,70,70,170,0.3,0.176470588235
direct,bm25,16,100,31,69,69,169,0.31,0.183431952663
direct,bm25,17,100,51,49,49,149,0.51,0.342281879195
direct,bm25,18,100,65,35,35,135,0.65,0.481481481481
direct,bm25,19,100,71,29,29,129,0.71,0.550387596899
direct,bm25,20,100,59,41,41,141,0.59,0.418439716312
direct,bm25,21,100,67,33,33,133,0.67,0.503759398496
direct,bm25,22,100,68,32,32,132,0.68,0.515151515152
direct,bm25,23,100,58,42,42,142,0.58,0.408450704225
direct,bm25,24,100,65,35,35,135,0.65,0.481481481481
direct,bm25,25,100,44,56,56,156,0.44,0.282051282051
direct,bm25,26,100,73,27,27,127,0.73,0.574803149606
direct,bm25,27,100,57,43,43,143,0.57,0.398601398601
direct,bm25,28,100,75,25,25,125,0.75,0.6
direct,bm25,29,100,80,20,20,120,0.8,0.666666666667
direct,bm25,30,100,67,33,33,133,0.67,0.503759398496
direct,bm25,31,100,56,44,44,144,0.56,0.388888888889
direct,bm25,32,100,33,67,67,167,0.33,0.197604790419
direct,bm25,33,100,65,35,35,135,0.65,0.481481481481
direct,bm25,34,100,40,60,60,160,0.4,0.25
direct,bm25,35,100,61,39,39,139,0.61,0.438848920863
direct,bm25,36,100,71,29,29,129,0.71,0.550387596899
direct,bm25,37,100,78,22,22,122,0.78,0.639344262295
direct,bm25,38,100,55,45,45,145,0.55,0.379310344828
direct,bm25,39,100,70,30,30,130,0.7,0.538461538462
direct,bm25,40,100,85,15,15,115,0.85,0.739130434783
direct,bm25,41,100,72,28,28,128,0.72,0.5625
direct,bm25,42,100,58,42,42,142,0.58,0.408450704225
direct,bm25,43,100,70,30,30,130,0.7,0.538461538462
direct,bm25,44,100,62,38,38,138,0.62,0.449275362319
direct,bm25,45,100,60,40,40,140,0.6,0.428571428571
direct,bm25,46,100,60,40,40,140,0.6,0.428571428571
direct,bm25,47,100,38,62,62,162,0.38,0.234567901235
direct,bm25,48,100,44,56,56,156,0.44,0.282051282051
direct,bm25,49,100,42,58,58,158,0.42,0.26582278481
direct,bm25,50,100,56,44,44,144,0.56,0.388888888889
direct,bm25,1,1000,754,246,246,1246,0.754,0.605136436597
direct,bm25,2,1000,449,551,551,1551,0.449,0.289490651193
direct,bm25,3,1000,767,233,233,1233,0.767,0.622060016221
direct,bm25,4,1000,797,203,203,1203,0.797,0.66251039069
direct,bm25,5,1000,765,235,235,1235,0.765,0.619433198381
direct,bm25,6,1000,657,343,343,1343,0.657,0.489203276247
direct,bm25,7,1000,775,225,225,1225,0.775,0.632653061224
direct,bm25,8,1000,594,406,406,1406,0.594,0.422475106686
direct,bm25,9,1000,752,248,248,1248,0.752,0.602564102564
direct,bm25,10,1000,791,209,209,1209,0.791,0.654259718776
direct,bm25,11,1000,800,200,200,1200,0.8,0.666666666667
direct,bm25,12,1000,729,271,271,1271,0.729,0.573564122738
direct,bm25,13,1000,744,256,256,1256,0.744,0.592356687898
direct,bm25,14,1000,320,680,680,1680,0.32,0.190476190476
direct,bm25,15,1000,418,582,582,1582,0.418,0.264222503161
direct,bm25,16,1000,586,414,414,1414,0.586,0.414427157001
direct,bm25,17,1000,812,188,188,1188,0.812,0.683501683502
direct,bm25,18,1000,819,181,181,1181,0.819,0.693480101609
direct,bm25,19,1000,598,402,402,1402,0.598,0.426533523538
direct,bm25,20,1000,840,160,160,1160,0.84,0.724137931034
direct,bm25,21,1000,688,312,312,1312,0.688,0.524390243902
direct,bm25,22,1000,785,215,215,1215,0.785,0.646090534979
direct,bm25,23,1000,735,265,265,1265,0.735,0.581027667984
direct,bm25,24,1000,709,291,291,1291,0.709,0.549186676995
direct,bm25,25,1000,746,254,254,1254,0.746,0.594896331738
direct,bm25,26,1000,776,224,224,1224,0.776,0.633986928105
direct,bm25,27,1000,910,90,90,1090,0.91,0.834862385321
direct,bm25,28,1000,830,170,170,1170,0.83,0.709401709402
direct,bm25,29,1000,809,191,191,1191,0.809,0.679261125105
direct,bm25,30,1000,759,241,241,1241,0.759,0.611603545528
direct,bm25,31,1000,744,256,256,1256,0.744,0.592356687898
direct,bm25,32,1000,426,574,574,1574,0.426,0.270648030496
direct,bm25,33,1000,685,315,315,1315,0.685,0.520912547529
direct,bm25,34,1000,583,417,417,1417,0.583,0.411432604093
direct,bm25,35,1000,751,249,249,1249,0.751,0.60128102482
direct,bm25,36,1000,861,139,139,1139,0.861,0.755926251097
direct,bm25,37,1000,840,160,160,1160,0.84,0.724137931034
direct,bm25,38,1000,691,309,309,1309,0.691,0.527883880825
direct,bm25,39,1000,889,111,111,1111,0.889,0.800180018002
direct,bm25,40,1000,717,283,283,1283,0.717,0.558846453624
direct,bm25,41,1000,642,358,358,1358,0.642,0.472754050074
direct,bm25,42,1000,766,234,234,1234,0.766,0.62074554295
direct,bm25,43,1000,453,547,547,1547,0.453,0.292824822237
direct,bm25,44,1000,710,290,290,1290,0.71,0.550387596899
direct,bm25,45,1000,795,205,205,1205,0.795,0.659751037344
direct,bm25,46,1000,687,313,313,1313,0.687,0.523229246002
direct,bm25,47,1000,622,378,378,1378,0.622,0.451378809869
direct,bm25,48,1000,781,219,219,1219,0.781,0.640689089418
direct,bm25,49,1000,676,324,324,1324,0.676,0.510574018127
direct,bm25,50,1000,765,235,235,1235,0.765,0.619433198381
direct_minmax,bm25,1,20,13,7,7,27,0.65,0.481481481481
direct_minmax,bm25,2,20,8,12,12,32,0.4,0.25
direct_minmax,bm25,3,20,10,10,10,30,0.5,0.333333333333
direct_minmax,bm25,4,20,10,10,10,30,0.5,0.333333333333
direct_minmax,bm25,5,20,9,11,11,31,0.45,0.290322580645
direct_minmax,bm25,6,20,12,8,8,28,0.6,0.428571428571
direct_minmax,bm25,7,20,13,7,7,27,0.65,0.481481481481
direct_minmax,bm25,8,20,16,4,4,24,0.8,0.666666666667
direct_minmax,bm25,9,20,9,11,11,31,0.45,0.290322580645
direct_minmax,bm25,10,20,13,7,7,27,0.65,0.481481481481
direct_minmax,bm25,11,20,10,10,10,30,0.5,0.333333333333
direct_minmax,bm25,12,20,8,12,12,32,0.4,0.25
direct_minmax,bm25,13,20,15,5,5,25,0.75,0.6
direct_minmax,bm25,14,20,18,2,2,22,0.9,0.818181818182
direct_minmax,bm25,15,20,9,11,11,31,0.45,0.290322580645
direct_minmax,bm25,16,20,6,14,14,34,0.3,0.176470588235
direct_minmax,bm25,17,20,9,11,11,31,0.45,0.290322580645
direct_minmax,bm25,18,20,11,9,9,29,0.55,0.379310344828
direct_minmax,bm25,19,20,13,7,7,27,0.65,0.481481481481
direct_minmax,bm25,20,20,15,5,5,25,0.75,0.6
direct_minmax,bm25,21,20,13,7,7,27,0.65,0.481481481481
direct_minmax,bm25,22,20,17,3,3,23,0.85,0.739130434783
direct_minmax,bm25,23,20,14,6,6,26,0.7,0.538461538462
direct_minmax,bm25,24,20,9,11,11,31,0.45,0.290322580645
direct_minmax,bm25,25,20,6,14,14,34,0.3,0.176470588235
direct_minmax,bm25,26,20,15,5,5,25,0.75,0.6
direct_minmax,bm25,27,20,6,14,14,34,0.3,0.176470588235
direct_minmax,bm25,28,20,9,11,11,31,0.45,0.290322580645
direct_minmax,bm25,29,20,13,7,7,27,0.65,0.481481481481
direct_minmax,bm25,30,20,14,6,6,26,0.7,0.538461538462
direct_minmax,bm25,31,20,15,5,5,25,0.75,0.6
direct_minmax,bm25,32,20,14,6,6,26,0.7,0.538461538462
direct_minmax,bm25,33,20,11,9,9,29,0.55,0.379310344828
direct_minmax,bm25,34,20,8,12,12,32,0.4,0.25
direct_minmax,bm25,35,20,11,9,9,29,0.55,0.379310344828
direct_minmax,bm25,36,20,13,7,7,27,0.65,0.481481481481
direct_minmax,bm25,37,20,14,6,6,26,0.7,0.538461538462
direct_minmax,bm25,38,20,8,12,12,32,0.4,0.25
direct_minmax,bm25,39,20,13,7,7,27,0.65,0.481481481481
direct_minmax,bm25,40,20,14,6,6,26,0.7,0.538461538462
direct_minmax,bm25,41,20,11,9,9,29,0.55,0.379310344828
direct_minmax,bm25,42,20,12,8,8,28,0.6,0.428571428571
direct_minmax,bm25,43,20,13,7,7,27,0.65,0.481481481481
