method,k,bm25_candidate_depth,stratum,n_queries,n_nonempty_queries,n_pairs,n_judged,n_unjudged,mean_retrieved_fraction,pooled_judged_fraction,macro_nonempty_judged_fraction
direct_minmax,100,1000,in_bm25_top1000,50,50,4875,4199,676,0.975,0.861333333333,0.860437120487
direct_minmax,100,1000,outside_bm25_top1000,50,19,125,47,78,0.025,0.376,0.655830232146
direct_minmax,1000,1000,in_bm25_top1000,50,50,35286,16814,18472,0.70572,0.476506263107,0.473303875835
direct_minmax,1000,1000,outside_bm25_top1000,50,50,14714,3351,11363,0.29428,0.227742286258,0.239435909778
uniform_random,20,1000,in_bm25_top1000,50,4,4,2,2,0.004,0.5,0.5
uniform_random,20,1000,outside_bm25_top1000,50,50,996,2,994,0.996,0.00200803212851,0.002
uniform_random,50,1000,in_bm25_top1000,50,8,8,2,6,0.0032,0.25,0.25
uniform_random,50,1000,outside_bm25_top1000,50,50,2492,11,2481,0.9968,0.00441412520064,0.00440816326531
uniform_random,100,1000,in_bm25_top1000,50,18,19,8,11,0.0038,0.421052631579,0.388888888889
uniform_random,100,1000,outside_bm25_top1000,50,50,4981,25,4956,0.9962,0.00501907247541,0.00501616161616
uniform_random,1000,1000,in_bm25_top1000,50,50,300,117,183,0.006,0.39,0.394802974803
uniform_random,1000,1000,outside_bm25_top1000,50,50,49700,291,49409,0.994,0.00585513078471,0.00585316082155
direct_mmr,20,1000,in_bm25_top1000,50,50,508,124,384,0.508,0.244094488189,0.284787890988
direct_mmr,20,1000,outside_bm25_top1000,50,50,492,25,467,0.492,0.0508130081301,0.0525002220002
direct_mmr,50,1000,in_bm25_top1000,50,50,987,233,754,0.3948,0.236068895643,0.255447611079
direct_mmr,50,1000,outside_bm25_top1000,50,50,1513,93,1420,0.6052,0.0614672835426,0.063047166172
direct_mmr,100,1000,in_bm25_top1000,50,50,1597,411,1186,0.3194,0.257357545398,0.264742020455
direct_mmr,100,1000,outside_bm25_top1000,50,50,3403,209,3194,0.6806,0.0614163972965,0.0617597858329
direct_mmr,1000,1000,in_bm25_top1000,50,50,11162,4077,7085,0.22324,0.36525712238,0.36230667501
direct_mmr,1000,1000,outside_bm25_top1000,50,50,38838,2727,36111,0.77676,0.0702147381431,0.0703508813292
direct_mmr_rerank,20,1000,in_bm25_top1000,50,50,932,325,607,0.932,0.348712446352,0.352123077301
direct_mmr_rerank,20,1000,outside_bm25_top1000,50,30,68,15,53,0.068,0.220588235294,0.29
direct_mmr_rerank,50,1000,in_bm25_top1000,50,50,2178,772,1406,0.8712,0.354453627181,0.358956120986
direct_mmr_rerank,50,1000,outside_bm25_top1000,50,47,322,55,267,0.1288,0.170807453416,0.183021702953
direct_mmr_rerank,100,1000,in_bm25_top1000,50,50,4061,1507,2554,0.8122,0.371090864319,0.375344670261
direct_mmr_rerank,100,1000,outside_bm25_top1000,50,50,939,178,761,0.1878,0.189563365282,0.204418294473
direct_mmr_rerank,1000,1000,in_bm25_top1000,50,50,35598,16950,18648,0.71196,0.476150345525,0.472153250832
direct_mmr_rerank,1000,1000,outside_bm25_top1000,50,50,14402,3268,11134,0.28804,0.22691292876,0.243472206388
query_expansion,20,1000,in_bm25_top1000,50,50,993,939,54,0.993,0.945619335347,0.945131578947
query_expansion,20,1000,outside_bm25_top1000,50,3,7,1,6,0.007,0.142857142857,0.333333333333
query_expansion,50,1000,in_bm25_top1000,50,50,2470,2261,209,0.988,0.915384615385,0.914420618501
query_expansion,50,1000,outside_bm25_top1000,50,7,30,9,21,0.012,0.3,0.515037593985
query_expansion,100,1000,in_bm25_top1000,50,50,4867,4168,699,0.9734,0.856379700021,0.855180553447
query_expansion,100,1000,outside_bm25_top1000,50,21,133,47,86,0.0266,0.353383458647,0.496897733452
query_expansion,1000,1000,in_bm25_top1000,50,50,30960,15830,15130,0.6192,0.511304909561,0.509319878339
query_expansion,1000,1000,outside_bm25_top1000,50,50,19040,2784,16256,0.3808,0.146218487395,0.144292017602
retrieval_random,20,1000,in_bm25_top1000,50,50,979,849,130,0.979,0.867211440245,0.864671826625
retrieval_random,20,1000,outside_bm25_top1000,50,6,21,4,17,0.021,0.190476190476,0.333333333333
retrieval_random,50,1000,in_bm25_top1000,50,50,2306,1738,568,0.9224,0.753686036427,0.748337071199
retrieval_random,50,1000,outside_bm25_top1000,50,36,194,82,112,0.0776,0.422680412371,0.41124494756
retrieval_random,100,1000,in_bm25_top1000,50,50,4161,2608,1553,0.8322,0.626772410478,0.617045602405
retrieval_random,100,1000,outside_bm25_top1000,50,47,839,278,561,0.1678,0.331346841478,0.348413244431
retrieval_random,1000,1000,in_bm25_top1000,50,50,9348,3742,5606,0.18696,0.400299529311,0.395446911301
retrieval_random,1000,1000,outside_bm25_top1000,50,50,40652,3245,37407,0.81304,0.0798238709043,0.0799260808223
splade,20,1000,in_bm25_top1000,50,50,895,828,67,0.895,0.925139664804,0.914745443153
splade,20,1000,outside_bm25_top1000,50,30,105,64,41,0.105,0.609523809524,0.670951178451
splade,50,1000,in_bm25_top1000,50,50,2127,1884,243,0.8508,0.885754583921,0.874644348985
splade,50,1000,outside_bm25_top1000,50,40,373,186,187,0.1492,0.498659517426,0.573559152406
splade,100,1000,in_bm25_top1000,50,50,3950,3272,678,0.79,0.82835443038,0.81425793993
splade,100,1000,outside_bm25_top1000,50,48,1050,410,640,0.21,0.390476190476,0.456469286256
splade,1000,1000,in_bm25_top1000,50,50,19332,11128,8204,0.38664,0.575625905235,0.57303497644
splade,1000,1000,outside_bm25_top1000,50,50,30668,4805,25863,0.61336,0.156677970523,0.160443482079
bge,20,1000,in_bm25_top1000,50,50,819,767,52,0.819,0.936507936508,0.926696585922
bge,20,1000,outside_bm25_top1000,50,35,181,115,66,0.181,0.635359116022,0.627020320949
bge,50,1000,in_bm25_top1000,50,50,1884,1675,209,0.7536,0.88906581741,0.877769154387
bge,50,1000,outside_bm25_top1000,50,43,616,336,280,0.2464,0.545454545455,0.531419544772
bge,100,1000,in_bm25_top1000,50,50,3380,2875,505,0.676,0.850591715976,0.836749820722
bge,100,1000,outside_bm25_top1000,50,49,1620,731,889,0.324,0.451234567901,0.457996772607
bge,1000,1000,in_bm25_top1000,50,50,15775,10108,5667,0.3155,0.640760697306,0.640948405871
bge,1000,1000,outside_bm25_top1000,50,50,34225,5382,28843,0.6845,0.157253469686,0.158126458566
bm25_ce,20,1000,in_bm25_top1000,50,50,1000,912,88,1,0.912,0.912
bm25_ce,20,1000,outside_bm25_top1000,50,0,0,0,0,0,,
bm25_ce,50,1000,in_bm25_top1000,50,50,2500,2097,403,1,0.8388,0.8388
bm25_ce,50,1000,outside_bm25_top1000,50,0,0,0,0,0,,
bm25_ce,100,1000,in_bm25_top1000,50,50,5000,3792,1208,1,0.7584,0.7584
bm25_ce,100,1000,outside_bm25_top1000,50,0,0,0,0,0,,
bm25_ce,1000,1000,in_bm25_top1000,50,50,50000,18610,31390,1,0.3722,0.3722
bm25_ce,1000,1000,outside_bm25_top1000,50,0,0,0,0,0,,
